id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LASHJJ-0001,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,29,29,土地是建厂的根本，土地问题不先解决，一切都将无法推动。,经营格言,李敖,以建厂论事，强调先解决根本条件。,
LASHJJ-0002,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,33,33,这算不上是企业管理，这是常识。,常识格言,李敖,把复杂事务拉回常识判断。,
LASHJJ-0003,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,37,37,比算命乱猜还不准,讽刺短语,李敖,讽刺估算荒唐失准。,
LASHJJ-0004,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,79,79,照着葫芦画瓢,俗语,俗语,比喻照样仿作即可。,
LASHJJ-0005,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,79,79,头疼医头脚疼医脚,俗语,俗语,比喻只治表面症状。,
LASHJJ-0006,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,121,121,引狼入室,成语,成语,比喻把祸患引进门。,
LASHJJ-0007,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,121,121,叹为观止,成语,成语,形容令人惊叹到极点。,
LASHJJ-0008,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,125,125,我要研究的是怎样把先生赚来的钱花掉！,现代引语,叶青青《珍珠集》转述,以幽默口吻写花钱之道。,
LASHJJ-0009,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,357,357,利令智昏,成语,成语,利益驱动会使人昏乱。,
LASHJJ-0010,李敖书简集,怎样修理财阀,001.怎样修理财阀.txt,393,393,“狮子之份”（the lion's share）,西方习语,英语习语,指占去最大、最有利的一份。,
LASHJJ-0011,李敖书简集,党报的狂妄,002.党报的狂妄.txt,31,31,世情如斯、人情如斯,世情短语,李敖,概括世态与人情的冷暖。,
LASHJJ-0012,李敖书简集,党报的狂妄,002.党报的狂妄.txt,69,69,盖棺论定,成语,成语,人死之后方可作定评。,
LASHJJ-0013,李敖书简集,党报的狂妄,002.党报的狂妄.txt,73,73,不忍卒读,成语,成语,形容文字令人难以读完。,
LASHJJ-0014,李敖书简集,党报的狂妄,002.党报的狂妄.txt,73,73,士林之耻,文人短语,李敖引文,以士林之耻概括文人圈的羞愧。,
LASHJJ-0015,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,11,11,父为子隐，子为父隐,古语引用,《论语》,亲属之间互相隐护的古语。,
LASHJJ-0016,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,11,11,其父攘羊，而子证之,古语引用,《论语》,父亲偷羊而儿子作证的典故。,
LASHJJ-0017,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,33,33,法律只是六十分的道德,法律格言,李敖,把法律视为道德的最低及格线。,
LASHJJ-0018,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,35,35,众口铄金,成语,成语,众人之言可以混淆真相。,
LASHJJ-0019,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,35,35,不义灭夫,改写短语,李敖,反用大义灭亲，写婚姻中的不义。,
LASHJJ-0020,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,37,37,只有“大男人主义”的大丈夫，才能容忍她这一串的“大女人主义”,爱情格言,李敖,以反讽写大丈夫的容忍。,
LASHJJ-0021,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,39,39,君子之爱人也，以德；细人之爱人也，以姑息。,古语引用,古话,君子以德爱人，小人以姑息爱人。,
LASHJJ-0022,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,41,41,博学、审问、慎思、明辨以后，勇于笃行,古语化用,《中庸》化用,把求知与行动连为一体。,
LASHJJ-0023,李敖书简集,胡茵梦是夹心饼干吗？,004.胡茵梦是夹心饼干吗？.txt,43,43,当夕阳的黄昏里、当风霜的烟雨下、当春残、当梦断、当谄媚已退、当掌声已歇、当红颜已老，她会，呵，她会，她会听到“丹尼少年”的哀歌，从她耳边响起，她会带着孤独、凄艳和正义，来上我坟。,抒情文句,李敖,以黄昏、风霜、梦断写迟来的哀歌与墓前相见。,
LASHJJ-0025,李敖书简集,给黄少谷先生的公开信,005.给黄少谷先生的公开信.txt,11,11,徒法不足以自行！,古语引用,古话,法律条文本身不能自动实行。,
LASHJJ-0026,李敖书简集,给黄少谷先生的公开信,005.给黄少谷先生的公开信.txt,13,13,听者藐藐,古语短语,古语,听者轻忽不以为意。,
LASHJJ-0027,李敖书简集,给黄少谷先生的公开信,005.给黄少谷先生的公开信.txt,13,13,行不得也,古语短语,古语,虽有良法美意，仍可能无法实行。,
LASHJJ-0028,李敖书简集,给黄少谷先生的公开信,005.给黄少谷先生的公开信.txt,17,17,少了“目击”，却多了“耳福”,幽默短语,李敖,把代读说成失去目击却增添耳福。,
LASHJJ-0029,李敖书简集,给黄少谷先生的公开信,005.给黄少谷先生的公开信.txt,39,39,断章取账,改写短语,李敖,由断章取义改出，讽刺只取账目一半。,
LASHJJ-0032,李敖书简集,殷海光·呆·鸟,006.殷海光·呆·鸟.txt,21,21,你看，是真的人在唱歌呢！,轶事引语,夏道平,书呆轶事中的天真惊叹。,
LASHJJ-0033,李敖书简集,环游·还原·抢,007.环游·还原·抢.txt,9,9,一点也不赞成人哭得太凶，看看月亮，流两滴泪，也就够了。,爱情引语,来信引语,把哭泣节制到看月亮时的两滴泪。,
LASHJJ-0034,李敖书简集,环游·还原·抢,007.环游·还原·抢.txt,13,13,白头偕老后又可青梅竹马,爱情格言,李敖,想象时间循环中老后复少的爱情趣味。,
LASHJJ-0035,李敖书简集,环游·还原·抢,007.环游·还原·抢.txt,17,17,"A person when we know well enough to borrow from, but not well enough to lend to",英文幽默,英文谐语,讽刺只适合借钱、不适合借钱给他的人。,
LASHJJ-0036,李敖书简集,环游·还原·抢,007.环游·还原·抢.txt,19,19,天无三日晴，地无三里平，人无三两银,俗谚,云贵俗谚,以三无概括地方艰苦。,
LASHJJ-0037,李敖书简集,环游·还原·抢,007.环游·还原·抢.txt,19,19,不要在云贵地区作案，也不要做狼。,幽默格言,李敖,从强盗和狼的故事引出的反讽结论。,
LASHJJ-0038,李敖书简集,论看看也好,010.论看看也好.txt,5,5,看看也好,人生短语,于右任,老来仍愿欣赏美色的幽默境界。,
LASHJJ-0039,李敖书简集,论看看也好,010.论看看也好.txt,9,9,亦知美之为美,古语化短语,左舜生转述,人老仍知道美之为美。,
LASHJJ-0040,李敖书简集,论看看也好,010.论看看也好.txt,9,9,“看看也好”，是多么有趣味的境界！又是多么潇洒的境界、纯真的境界、婉而虐兮的境界！,人生格言,李敖,把看看也好解释成潇洒纯真的人生趣味。,
LASHJJ-0041,李敖书简集,介绍《我爱李敖》,011.介绍《我爱李敖》.txt,15,15,李敖是台湾文化界的一颗“星”、一个“现象”、一个“奇观”,人物评语,金延湘《我爱李敖》,把李敖写成文化现象和奇观。,
LASHJJ-0042,李敖书简集,介绍《我爱李敖》,011.介绍《我爱李敖》.txt,17,17,李敖就是李敖，你不能把他划为某一类，不能把他归为哪一格,人物评语,金延湘《我爱李敖》,强调李敖难以被常规定性。,
LASHJJ-0043,李敖书简集,介绍《我爱李敖》,011.介绍《我爱李敖》.txt,21,21,没有这些做硬里子，所有的“表演”又何所依附呢？,文论格言,李敖,认为表演须有学问、见解和人格作底。,
LASHJJ-0044,李敖书简集,介绍《我爱李敖》,011.介绍《我爱李敖》.txt,29,29,天不生仲尼，都万古如长夜，何况不生李敖呢？,古语改写,李敖,借天不生仲尼自嘲式夸饰自己。,
LASHJJ-0045,李敖书简集,介绍《我爱李敖》,011.介绍《我爱李敖》.txt,31,31,今天我就不骂人——我只捧自己。哈哈哈。,幽默短语,李敖,以自捧代替骂人的玩笑。,
