file	line	text	context
001.《文化论战丹火录》开场白.txt	23	妖猴	在这次论战中，我的遭遇很像《西游记》里的“妖猴”，我也来自“傲来国”，我也有“始不介意，继而成精”的运气，并且直到现在，还能“降龙伏虎，自削死籍，整天东游西荡”。
001.《文化论战丹火录》开场白.txt	23	傲来国	在这次论战中，我的遭遇很像《西游记》里的“妖猴”，我也来自“傲来国”，我也有“始不介意，继而成精”的运气，并且直到现在，还能“降龙伏虎，自削死籍，整天东游西荡”。
001.《文化论战丹火录》开场白.txt	23	始不介意，继而成精	在这次论战中，我的遭遇很像《西游记》里的“妖猴”，我也来自“傲来国”，我也有“始不介意，继而成精”的运气，并且直到现在，还能“降龙伏虎，自削死籍，整天东游西荡”。
001.《文化论战丹火录》开场白.txt	23	降龙伏虎，自削死籍，整天东游西荡	在这次论战中，我的遭遇很像《西游记》里的“妖猴”，我也来自“傲来国”，我也有“始不介意，继而成精”的运气，并且直到现在，还能“降龙伏虎，自削死籍，整天东游西荡”。
001.《文化论战丹火录》开场白.txt	27	再莫行凶，皈依佛法	但是天有不测风云，即使齐天大圣孙猴子，也早晚被如来佛翻掌一扑，压在五行山下，最后只好被迫“再莫行凶，皈依佛法”，敬陪老王八唐三藏西天取经去也。
001.《文化论战丹火录》开场白.txt	31	固一世之‘猴’也	在这个悲剧还没扮演以前，孙行者应该把他降龙伏虎孤军奋战的光荣纪录，先记它一两笔，一来可供自我陶醉之需；二来可证老子当年“固一世之‘猴’也”！传记文学俱在，猪八戒们还敢多嘴吗？
002.文化论战丹火录.txt	35	趋向	这次1962年的中西文化论战，真正在思想“趋向”方面指路的文献，只是胡适的《科学发展所需要的社会改革》和李敖的《给谈中西文化的人看看病》。其他的大量文字，有的是这条路上的压路机、有的是这条路上的拦路虎……它们有的可能很细腻、很雄壮，但都不能算是真正划时代的指路文字，也不能算是大刀阔斧地明显指出思想“趋向”的文字。
002.文化论战丹火录.txt	37	趋向	胡适的演说和李敖的文字，它们的基本重点都是在避开枝节，直截了当地指出我们中国思想“趋向”该走哪条路。这种用心，似乎被许多人误解。因为误解，所以有的指出这是一个不必要的老问题；有的一方面承认这个老问题有推陈出新的必要，一方面却又把它带入缠讼和曲解的境地。
002.文化论战丹火录.txt	45	保存国粹	彼蕞尔三岛之日本，自明治维新以降，于西方各国所有著作，几无不尽译出之，固不闻其有“日”西文化之论战，或所谓“保存国粹”与“全盘西化”之争。我们直至今日，大敌当前，而犹互为西化对国粹之呶呶谩骂，是亦可慨也已。（《肯尼迪与我们反攻大陆》，1962年4月21日香港《自由报》）
002.文化论战丹火录.txt	45	全盘西化	彼蕞尔三岛之日本，自明治维新以降，于西方各国所有著作，几无不尽译出之，固不闻其有“日”西文化之论战，或所谓“保存国粹”与“全盘西化”之争。我们直至今日，大敌当前，而犹互为西化对国粹之呶呶谩骂，是亦可慨也已。（《肯尼迪与我们反攻大陆》，1962年4月21日香港《自由报》）
