score	file	line	text	context
5	《我梦碎，所以我梦醒》序.txt	5	我梦碎，所以我梦醒	2011年2月，我花了40天，写了那本《大江大海骗了你》；9个月后，我花了17天，写了这本“我梦碎，所以我梦醒”。其实，对我而言，写这类书有点失之浪费青春，不，浪费老年。
4	《我梦碎，所以我梦醒》序.txt	21	向来枉费推移力，此日中流自在行。	二、“向来枉费推移力，此日中流自在行。”时机不对，“推移”会失败。
4	《我梦碎，所以我梦醒》序.txt	43	恶紫，以其乱朱也。	紫色的可恶是它赶走红色又冒充红色。如果它就是本来颜色，我们还可理解，但它不此之图，却冒充起红色来，就太不像话了。“恶紫，以其乱朱也。”难怪古之圣人要特别讨厌它。
8	《我梦碎，所以我梦醒》序.txt	47	圣人不空出，贤者不虚生	61年来，我坐看打着国民党旗号的一批坏人，在祸国殃民以后，退居海隅、窃中国一岛以自娱。随后，又坐看这批坏人，孵出打着民进党旗号的一批混人，在有样学样以后，退居边陲、恃中国一岛以自毁。我生也雄奇，志不在一岛，只缘阴错阳差，不幸与彼辈同土，自不免于周旋、纠缠、与作弄；爱国情殷，亦不免于救溺、热讽、与冷嘲。大体说来，对雄奇之人，未免浪费。只有做做圣人，才能于此释怀...
3	《我梦碎，所以我梦醒》序.txt	65	第三势力	大方向是需要制衡力量，可叫它做“第三势力”。虽然“第三势力”这个词汇已经给用滥过，我们还是不妨一用，因为这个岛的确需要两个党以外的第三种势力。
5	《我梦碎，所以我梦醒》序.txt	87	大圈圈里的小圈圈、小圈圈里的黄圈圈	今日在国民党当家的，其实还不如蒋介石。蒋介石还有“大圈圈里的小圈圈、小圈圈里的黄圈圈”，在做“小军机处式”的看蒋介石脸色的讨论，而马英九呢？却连这种“小军机处式”的讨论一下都给免了，马英九一切“干纲独断”，但自己又是“昏君”，所以决策草率，比蒋介石更有过之，只是他没有外蒙古领土可卖了而已。
3	《我梦碎，所以我梦醒》序.txt	97	劝人不要做混蛋的声音，是以代数级数（an arithmetical ratio）增加的；但人做混蛋的事实，是以几何级数（a geometrical ratio）增加的。	马尔萨斯（Malthus）应该有新定律了：“劝人不要做混蛋的声音，是以代数级数（an arithmetical ratio）增加的；但人做混蛋的事实，是以几何级数（a geometrical ratio）增加的。”
6	002.“公投”梦碎.txt	9	全民公投，才能确认台湾自有主权，否则所谓‘中华民国早已是主权独立国家’的说法，只是在自欺欺人！	要公民投票，得先有公投法，于是1999年4月10日，由彭明敏、李镇源、林义雄、黄石城、辜宽敏、陈隆志带头，由蔡同荣、高俊明、许世楷、黄昭堂等为召集人，发动促使“通过公民投票法”，并不得有台湾前途议题的“排除条款”大行动。他们白纸黑字宣告：“全民公投，才能确认台湾自有主权，否则所谓‘中华民国早已是主权独立国家’的说法，只是在自欺欺人！”
4	002.“公投”梦碎.txt	9	通过公民投票法	要公民投票，得先有公投法，于是1999年4月10日，由彭明敏、李镇源、林义雄、黄石城、辜宽敏、陈隆志带头，由蔡同荣、高俊明、许世楷、黄昭堂等为召集人，发动促使“通过公民投票法”，并不得有台湾前途议题的“排除条款”大行动。他们白纸黑字宣告：“全民公投，才能确认台湾自有主权，否则所谓‘中华民国早已是主权独立国家’的说法，只是在自欺欺人！”
3	002.“公投”梦碎.txt	9	排除条款	要公民投票，得先有公投法，于是1999年4月10日，由彭明敏、李镇源、林义雄、黄石城、辜宽敏、陈隆志带头，由蔡同荣、高俊明、许世楷、黄昭堂等为召集人，发动促使“通过公民投票法”，并不得有台湾前途议题的“排除条款”大行动。他们白纸黑字宣告：“全民公投，才能确认台湾自有主权，否则所谓‘中华民国早已是主权独立国家’的说法，只是在自欺欺人！”
5	002.“公投”梦碎.txt	11	公投救台湾，绝食为公投	随即展开“公投救台湾，绝食为公投”的壮举。参加绝食的有蔡同荣、高俊明、黄昭堂、许世楷、尤清、罗荣光和立法委员级的张俊雄、沈富雄、林浊水、许荣淑、周清玉、李俊毅、陈其迈、蔡明宪等123人。声势浩荡，令人惊悚。
3	002.“公投”梦碎.txt	13	无限期绝食以宣示催生公投的决心	本来是“无限期绝食以宣示催生公投的决心”的，“气氛严肃悲壮”，可惜悲壮下来，竟演变成“以‘打卡’弹性自由进出方式绝食”起来了，最后，识食物者为俊杰，都吃起来了，一场绝食公投，大吃告终。
5	002.“公投”梦碎.txt	19	国旗、国歌、国号、领土变更、国家主权等国家定位议题	蔡同荣版的提案是：《公投法》“适用事项”应包括“国旗、国歌、国号、领土变更、国家主权等国家定位议题”，这就是呼应他们在1999年所推动的《公投法》“不得有台湾前途议题的‘排除条款’”，可是，投票的时候，当主席宣布“首先就蔡委员同荣等提案条文进行表决”，蔡同荣不但不投票同意自己提的案，反倒投了弃权票！同样妙的是：跟他一起提案的以绿色为主的100名立委，也都投了...
5	002.“公投”梦碎.txt	21	国旗、国歌、国号、领土变更、国家主权等国家定位议题	原来他们不敢玩真的！绝食是假的！提案也是假的！他们口口声声要向中国、向中华民国、向外来政权争回“国旗、国歌、国号、领土变更、国家主权等国家定位议题”，可是真正有机会对决的时候，他们都吓跑了，他们口中的台湾人尊严与勇敢，都不见了！
4	002.“公投”梦碎.txt	23	公投绑大选	结果，2004年“公投绑大选”中，公投项目，竟然是买不买飞弹等枝枝节节选项，真正该依《民进党党纲》“以公民投票方式”建立“台湾共和国”的大目标，也就是所谓“台独公投”，反倒给出局了。
4	002.“公投”梦碎.txt	23	以公民投票方式	结果，2004年“公投绑大选”中，公投项目，竟然是买不买飞弹等枝枝节节选项，真正该依《民进党党纲》“以公民投票方式”建立“台湾共和国”的大目标，也就是所谓“台独公投”，反倒给出局了。
4	002.“公投”梦碎.txt	23	台湾共和国	结果，2004年“公投绑大选”中，公投项目，竟然是买不买飞弹等枝枝节节选项，真正该依《民进党党纲》“以公民投票方式”建立“台湾共和国”的大目标，也就是所谓“台独公投”，反倒给出局了。
4	002.“公投”梦碎.txt	23	台独公投	结果，2004年“公投绑大选”中，公投项目，竟然是买不买飞弹等枝枝节节选项，真正该依《民进党党纲》“以公民投票方式”建立“台湾共和国”的大目标，也就是所谓“台独公投”，反倒给出局了。
3	002.“公投”梦碎.txt	37	公投！公投！	但是，台独英雄们嘴巴喊“公投！公投！”手却不敢投票。
