id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LATS-001,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,39,39,人生如戏,西方文学格言,莎士比亚语意,李敖开场借莎士比亚语意说明人生如舞台。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-002,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,43,43,采葑采菲，无以下体,诗经名句,《诗经·邶风·谷风》,李敖谈“裤腰带以下”话题时引用《诗经》句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-003,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,97,97,满街皆圣人,心学名句,王阳明语,李敖谈处女定义时借王阳明语作类比。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-004,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,459,459,潘驴邓小闲,小说俗语,《水浒传》王婆说法,李敖解释《水浒传》中王婆论勾引女人的五条件。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-005,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,479,479,奇货可居,成语典故,《史记·吕不韦列传》,李敖讲吕不韦故事时引用的成语。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-006,李敖Talk秀,20000517李敖Talk秀,001.20000517李敖Talk秀.txt,479,479,以其阴关桐轮而行,史传文句,《史记·吕不韦列传》,李敖展示《史记》中嫪毐故事的文句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-007,李敖Talk秀,20000524李敖Talk秀,002.20000524李敖Talk秀.txt,43,43,食色性也,古典名句,《孟子·告子上》,李敖说明此语出自告子而非孔子。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-008,李敖Talk秀,20000524李敖Talk秀,002.20000524李敖Talk秀.txt,45,45,寡能守就守，不能守寡就改嫁吧,民间故事格言,清代贞节牌坊故事,李敖转述守寡故事中老太太临终告诫女眷的话。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-009,李敖Talk秀,20000531李敖Talk秀,003.20000531李敖Talk秀.txt,39,39,言教不如身教,古语,中国传统教育格言,李敖谈校园暴力与教育样板时引用。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-010,李敖Talk秀,20000531李敖Talk秀,003.20000531李敖Talk秀.txt,343,343,古往今来，凡是能够被人家立铜像的，都不是批评家,西方文艺格言,西贝流士老师语,李敖鼓励创作者时引用西贝流士老师的话。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-011,李敖Talk秀,20000607李敖Talk秀,004.20000607李敖Talk秀.txt,185,185,爱情的代价是痛苦，爱情的方法是忍受痛苦,现代文人格言,胡适题句,李敖谈金岳霖与林徽因故事时引用胡适扇面题句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-012,李敖Talk秀,20000607李敖Talk秀,004.20000607李敖Talk秀.txt,247,269,"不爱那么多，
只爱一点点。
别人的爱情像海深，
我的爱情浅。
不爱那么多，
只爱一点点。
别人的爱情像天长，
我的爱情短。
不爱那么多，
只爱一点点。
别人眉来又眼去，
我只偷看你一眼。",诗/歌词,李敖《只爱一点点》,李敖在节目中完整朗读自己写的爱情诗/歌词。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-013,李敖Talk秀,20000614李敖Talk秀,005.20000614李敖Talk秀.txt,23,23,天机不可泄露,成语/戏曲台词,京剧《空城计》轶事,李敖讲谭鑫培临场应对海派演员加词时引用的台词。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-014,李敖Talk秀,20000614李敖Talk秀,005.20000614李敖Talk秀.txt,471,471,更好是好的敌人,西方哲学格言,伏尔泰语,李敖劝许志安不要因追求更好而错过推出作品时引用伏尔泰格言。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-015,李敖Talk秀,20000621李敖Talk秀,006.20000621李敖Talk秀.txt,23,23,挂羊头卖狗肉,俗语,中国俗语,李敖谈口号与实践不符时引用。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-016,李敖Talk秀,20000621李敖Talk秀,006.20000621李敖Talk秀.txt,175,175,经世济民,古典词语,中国古语,李敖解释“经济”一词古义时引用。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-017,李敖Talk秀,20000628李敖Talk秀,007.20000628李敖Talk秀.txt,9,9,赵四风流朱五狂，翩翩胡蝶最当行。温柔乡是英雄冢，哪管东师入沈阳。,近代诗句,马君武《哀沈阳二首》,李敖谈张学良九一八传闻时引用马君武讽刺诗。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-018,李敖Talk秀,20000628李敖Talk秀,007.20000628李敖Talk秀.txt,297,297,散愁自少以来，不登娈童之床，不入妓女之室,史传文句,《北史·齐纪》,李敖讨论古代男色女色习俗时引用北齐史料。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-019,李敖Talk秀,20000705李敖Talk秀,008.20000705李敖Talk秀.txt,375,375,既生瑜，何生亮；卿不死，孤不安,联语,宋教仁案讽袁联,李敖讲宋教仁被刺后讽刺袁世凯的对联。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-020,李敖Talk秀,20000719李敖Talk秀,010.20000719李敖Talk秀.txt,25,25,兔子不吃窝边草,俗语,中国俗语,李敖谈师生恋时引用的俗语。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-021,李敖Talk秀,20000809李敖Talk秀,013.20000809李敖Talk秀.txt,135,135,待月西厢下，迎风户半开。隔墙花影动，疑似玉人来,戏曲诗句,《西厢记》,李敖说明中文词汇之美时引用《西厢记》句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-022,李敖Talk秀,20000809李敖Talk秀,013.20000809李敖Talk秀.txt,135,135,夺门而出,成语,中国成语,李敖举例说明中文动词“夺”的力量。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-023,李敖Talk秀,20000809李敖Talk秀,013.20000809李敖Talk秀.txt,135,135,夺眶而出,成语,中国成语,李敖举例说明中文动词“夺”的表现力。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-024,李敖Talk秀,20000816李敖Talk秀,014.20000816李敖Talk秀.txt,19,19,不封不树,古礼成语,古代葬礼制度,李敖谈古礼葬制时引用的古礼说法。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-025,李敖Talk秀,20000823李敖Talk秀,015.20000823李敖Talk秀.txt,97,97,二三其德，昊天罔极,诗经名句,《诗经》语,李敖借《诗经》语同来宾名字开玩笑。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-026,李敖Talk秀,20000823李敖Talk秀,015.20000823李敖Talk秀.txt,323,323,男女媾进，万物化生,易经文句,《易经》语意,李敖谈春宫画与性教育时引用《易经》语句，源文作“媾进”。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-027,李敖Talk秀,20000913李敖Talk秀,018.20000913李敖Talk秀.txt,5,5,一年老一年，一日衰一日；譬如东周亡，岂复须大疾,诗句,陆游诗句,李敖谈台湾前途时引用陆游诗句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-028,李敖Talk秀,20000913李敖Talk秀,018.20000913李敖Talk秀.txt,5,5,思子之故怕闻鼙鼓之声来,联语,康有为赠蔡锷联,李敖谈局势时引用康有为联语。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-029,李敖Talk秀,20000913李敖Talk秀,018.20000913李敖Talk秀.txt,5,5,闻鼓鼙而思良将,古典成句,传统成句,李敖承接康有为联语，引用闻鼓鼙思良将的成句。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
LATS-030,李敖Talk秀,20000913李敖Talk秀,018.20000913李敖Talk秀.txt,11,11,两个不对，第一个他不该开除你，第二你不该加入,现代文人警句,梁实秋语,李敖转述梁实秋评价郭良惠被中国文艺协会开除的机智语。,首轮保守收入：节目文字稿政论和访谈口语密度高，仅取可独立成立的诗文、古文名句、成语俗谚、戏曲/小说文句和少量非政治格言。
