file	line	text
001.2009-01-01：为什么重返萤光幕？.txt	5	我离开电视界很久了，可是每次我看到别人的电视节目，我都觉得三个字——不够看！只有我的节目才好看，别的节目不够看。换句话说，我下了台，我还余风犹在，这就是我整体的感觉。为什么我这么神气？“我感到很骄傲。”这句话可以这样说吗？有人在这样翻译哦！请大家看，有一位哈佛大学毕业的博士，理论上他的英文应该很好。他做过台北市的市长，在做台北市市长选举活动里面，他们出了一本小册子，就是这本书，叫做《二十一世纪台北》。这个小册子出版以后，里面有一段话，大家看这段话，这个人说“去年，北一女校庆，然后我的女儿（他的女儿）参加校庆，回来以后呢，（他女儿那天回家），第一句话就说：爸（我们可以大特写这个字），I‘m proud of you!”这位台北市市长候选人，他说：“翻译成，我以你为傲。” “I'm proud of you!”翻译成“我以你为傲。”这句英文和中文是这位市长候选人亲笔写的，所以赖也赖不掉，没有拍错。他是谁呢？就是这个漂亮的小男生——马英九。英文写的也好。问题“I'm proud of you!”能翻译成“我以你为傲”吗？可以这样翻吗？很多人都这样翻。事实上，我们看马英九在同一本书里面。他一段话，我以“在地”的台北人为傲。请问可以这样子表达意思吗？我必须说，这位哈佛大学的博士在这一句的翻译上面出了问题。为什么出了问题？因为英文字Pride名词跟Proud形容词，都有它一个正反两面的意思，正面跟负面的意思。正面的意思啊，是我感到很光荣，“I'm proud of you!”——“我是以你为荣，不是以你为骄傲。”可是这个字在负面的意思里面，才是骄傲。英文的意思里面，有正面的和负面的。很多人学英文没学通，把它当负面的意思来翻译，所以我们看到很多人，我以你为感到骄傲，我以你为傲，我以在地人为傲，统统翻译错了。因为他们没有看到，这个Pride和Proud这个字正面的意思，正面的意思是感到光荣。好比说Proud City，不是说个骄傲的城市，而是一个堂皇的城市。这个字在正面的意思被忽略了，大家只注意它的负面的意思，跟着就翻错了。而哈佛大学的这位博士，也跟着就翻错了。
001.2009-01-01：为什么重返萤光幕？.txt	9	我在节目里面这样展示，目的何在呢？展示的目的就是告诉大家，在我的节目里面，你可以看到一个万花筒，不断地展示资料、展示图片、展示不同的解释，在这一小时里面。如果你用心，你可以学到很多东西。学到什么东西呢？学到外面所学不到的东西。再看有名的女歌星弗塞尔，再看世界三大男高音帕瓦罗蒂，死掉了啊，他跟我同岁，去年死掉了。再看他们两人一起合唱的图片，弗塞尔跟帕瓦罗蒂合唱的图片。我曾经告诉大家，这个合唱其实是很窘的，西洋的这种对唱啊，你唱，我唱。一个人唱的时候啊，另外一个人除非合唱，他不能唱，他听你唱。听你唱什么呢。就是一个糟糕的结果出现了，就是万一女歌星听男歌星唱歌的时候，这个男歌星有口臭，唱个不停，使大家觉得很窘。我看了2002年世界三大男高音，另外一个高音他指挥出来的《茶花女》，这个茶花女啊。这个唱得非常好，茶花女，Bonfadelli，那个男歌星叫做Piper，叫做派波尔。看到这个画面没有，这个男的在唱的时候，搂着这个女的，这个女的在听，可是她表情啊，充满了这个，当然演戏的，充满了惊恐，何尝不是因为他口臭。近距离唱歌，她又不能躲开，不能说他跟茶花女谈情说爱的时候她闪开，做不到。我曾经跟大家说，在我们节目里面，你们看到四个字，就是——转脸打背。转脸打背就是在中国的京戏里面解决了这个问题。就是一个人唱歌的时候啊，唱戏的时候，另外的一个人呢，他又不下台，他走到旁边，转身背对着观众，然后你唱你的，这台上好像没有我一样。所以你的口臭我听不到，然后我再转过来，你再转脸打背。可是在外国的歌剧里面，尤其茶花女这种场面的歌唱里面，躲不掉。可是大家如何学会这四个字呢？转脸打背呢？只有在我的节目里面才能学到。现在我在教大家四个字，叫做岔枝借译。什么叫做岔枝借译？马英九翻的这个“我以你为傲。”就是赵元任，语言学家赵元任所挖苦的叫岔枝借译。它本来一个植物长出来，他有另外一个枝，正面的、负面的、左面的、右面的。你把它弄错，正面的意思把它翻成负面的。“我以你为荣”翻成“我以你为傲”就是错误的。所以我们看看，普通的英文字典就可以看到这个饿的人，Too proud to beg for food，他有自尊心，所以不吃嗟来之食。你把这个Proud翻成这个乞丐，这个穷人很骄傲地不吃嗟来之食。不好的！他那个自尊心，他不肯吃你的这个嗟来之食。好比说，正面的意思好比说，这个Proud cities 就讲了就是讲堂皇的城市。Proud Stallion就是很雄壮的那个种马，可以专门搞这个母马的那个公马。这个Proud不是很骄傲的，性能力很强的公马，而是很强壮的这个公马。他就是正面的意思，你把它翻成这个很骄傲的这个公马，种马。就是错的。所以这种翻译叫做“岔枝借译”，是个很严重的现象。很不幸，发生在台北市市长候选人，也是两届台北市市长的当选人，哈佛博士马英九的身上。
001.2009-01-01：为什么重返萤光幕？.txt	11	我告诉大家，我李敖没有离开过中国的领土一步。我去过香港，可是香港是中国的领土，在台湾，台湾是中国的一部分。可是我英文怎么能够跟哈佛留学的博士来比他们习惯的用法呢？不能比。可是我们因为读书很用心，我们不会发生这种“岔枝借译”的这种怪现象。原因就是，我们书念得很细心。现在，说了一大堆，回到了电视节目，电视节目对我说起来是个杀人放火的节目。古人杀人放火要杀真的人，放真的火。对李敖说起来，就不一样了。我用我的文字写了一段给大家看。标题是杀人放火——任何好人有时候都想杀人放火，任何坏人有时候都会杀人放火。杀人放火是人类遗传的冲动之一。现在人无奈了，要杀要放，只好靠电视。这是我的，李敖的语录。请注意这种文字的技巧。因为你看到文字技巧，就知道李敖如何在语妙天下。请看“任何好人有时候都想杀人放火，任何坏人有时候都会杀人放火。”看到没有，一个字的不同，代表了好人只能想，坏人就会做。很严格的看起来是不同的。然后我再看我的李语录，大家看“极权国家的垃圾不会丢在马路上，只会丢在电视里。”为什么极权国家的电视不好看？因为没有李敖这种节目出现。即使有李敖的节目出现，也会重重的关卡，就不好看，所以在他们的电视里面我们看到的，不是精彩的节目，而是垃圾。虽然全世界很多的极权国家，虽然全世界哪个国家都有电视，可是当我们打开的时候，总觉得他们千篇一律，千篇一律的什么？千篇一律的那种众口一声的那种烂套，那种烂的电视剧，烂的对话剧，都是一样的。看起来非常地不愉快，所以大家想看到一个耳目一新的并且充满了一个万花筒式知识的电视，请看《李敖语妙天下》。干电视这一行，我已经有十几年的经验了。我这种经验在电视的范畴里面是个怪的经验。台北市世新大学曾经做过一次调查，好多年以前。他说“这叫什么节目？李敖的节目违反了电视制作的原理，电视要有活动的画面，要有变化的画面，可是李敖没有这些画面。电视里面要有很多人，可是李敖只有一个人。电视里面展示的图片要能活动的，可是李敖的图片像大字报一样，没有那么多变化。为什么这个节目，能够在台湾，在周荃的真相电视主持之下做过一千集，为什么有这么高的记录？原因他有他的特色。”这个答案到今天为止，从事于电视活动的这些专家们，还没有得到真的答案。觉得怎么一个人违反电视制作的原理，能够把这个节目做得这么样的成功。
001.2009-01-01：为什么重返萤光幕？.txt	15	我举个例子好了，在八年以前，公元2000年，我做过一件很顽皮的举动，由于我的好朋友，新党的主席李庆华的安排，他请了一个从来没有加入过任何党的我，参加了所谓2000年台湾地区这个领导人的选举。台湾有所谓总统选举，我当然不承认，我立刻在香港就写了一篇文章发表了。我说我选的是中国台湾地区的领导人，并不是什么中华民国总统。我李敖是不承认中华民国的。为什么你不承认中华民国？我讲过了，因为中华民国，所谓的中华民国的总统说的，中华民国亡国了，亡国了怎么承认他？什么证据？请看蒋介石的全集，1950年3月13号蒋介石在阳明山的秘密谈话，蒋介石说“中华民国亡国了。”中华民国亡国了，是当时所谓的总统偷偷的讲话透露出来的，他都说亡国了，我们只好跟着走啊。既然亡国了，选什么总统啊，骗人的。可是这场闹剧我也参加了，但是最有趣的一个文件，我今天给大家看。选举公报，看到没有，抽到1号的是宋楚瑜，抽到2号的是连战，抽到3号的是我李敖，抽到4号的是许信良，抽到5号的是陈水扁。请看大家的这个政见啊，这个学历和政见这么一大堆，你看宋楚瑜洋洋洒洒，连战洋洋洒洒，许信良洋洋洒洒，陈水扁洋洋洒洒，请看我的政见和学历，你看到没有。李敖，国立台湾大学历史系毕业。我的政见是什么政见？“勃起台湾（从台湾勃起），挺进大陆（朝大陆挺进），威尔刚世界（用大陆的翻译，就是伟哥世界）”勃起台湾，挺进大陆，伟哥世界。就是这么简单的，是我的政见。大家看到我中文的这种犀利。意思表达地很完整，从台湾勃起，朝大陆勃起，从台湾勃起，朝大陆挺进，向大陆挺进，威尔刚世界。大家以为这是我八年以前的游戏制作吗？错了！八年以后，我今天干的事情，就正好是这种事情，我做这种电视节目，在郑乃嘉佳思比公司安排之下，推出这个节目，目标以22亿华人人口为目标。可是是在全世界都努力在学华文，学中文的这种风气云涌的这个气候之下，氛围之下。我所干的事情，正好就是“勃起台湾，挺进大陆，伟哥世界。”干的就是这个事情。别以为这是我的游戏之作，这是我一个处心积虑，也是深谋远虑努力的一个目标。台湾对我太小了，严格说来台湾对优秀的台湾人也太小了。可是今天被搞得乌烟瘴气，我们真的要勃起台湾，走出台湾，台湾不再是我们的目标了。
001.2009-01-01：为什么重返萤光幕？.txt	17	在1949年，蒋介石和他的国民党政府兵败山倒，逃到台湾来以后。那一批人大部分人都死光了，那个时候我也夹在其中，来到台湾，我才14岁，当时蒋介石才63岁，比现在的我还年轻10岁。当时有一个80开外的老先生做监察员院长，他的名字叫做于右任，他也不做弹劾的事情，他只是写毛笔字，这就是当年的革命元老于右任。他的毛笔字写得还不错。有一首诗我念给大家听。给你看，你可能看不出来，这都是草书。“不信（不相信）青春唤不回（青春是可以唤回来的），不容青史尽成灰（都变成灰了）。低（低头）回（回想）海上酬功宴，万里江山酒一杯。”这是民国元年，就是1912年，于右任写的诗，《右任诗存》里面，他把它印出来，就这个诗，这个比较好看了。“不信青春唤不回，不容青史尽成灰。低回海上酬功宴，万里江山酒一杯。”诗写得不错，意思只有一句说对了，他还做不到。哪一句呢？就是“不容青史尽成灰。”他做不到。我把它改写了，大家看我改写的：“不信青春能唤回（什么叫做不信青春唤不回呢，当然唤不回啊，青春走了以后再也回不来了，所以我不信青春能唤。）（可是）不容青史尽成灰。（我们可以做到这一点）（宋朝人有一句词，叫做）老眼平生空四海（我平生，我这个敏锐的老去的眼睛，把四海之内都看空了，我看不起别人，我李敖老眼平生空四海），（最后一句）于有声处听惊雷（在有声音的听到更大的雷声）。”我在念一遍“不信青春能唤回，不容青史尽成灰。老眼平生空四海，于有声处听惊雷（在有声音的听到更大的雷声）。”这是我在2008年11月25号拿起钢笔就写出来的。请大家看最后一句“于有声处听惊雷。”内地的朋友啊，喜欢看书的人，就知道我这句诗有所本。本哪一句呢？就是鲁迅有一句诗，叫做“于无声处听惊雷”在没有声音的地方，我听到雷声了。我什么我李敖改成了“于有声处听惊雷”呢？请大家看我的解释，这是鲁迅，这张画像啊，一般人看不到的，当然我有，就是告诉你，这是当年登在良友画报上的。鲁迅的一首诗叫做“万家墨面没蒿莱，敢有歌吟动地哀。心事浩茫连广宇，于无声处听惊雷。”这个字写得很烂了，跟他的老师章太炎写得一样，毛笔字写得很烂。我在念一遍，“万家墨面没蒿莱，敢有歌吟动地哀。心事浩茫连广宇，于无声处听惊雷。”墨面就是脸上刺了字，罪犯脸上刺了字，刺了字以后要用墨给涂上去，就变成古代这个刑罚，你脸上就刻字了，纹身了，就证明你是罪犯。很多人都给墨面，都给受了刑罚，然后埋没到这些草野，这个荒草里面去了。歌声，哪里敢有歌声，声音动地哀，敢有，难道没有吗？难道有吗？动地哀。心事浩茫连广宇，我心事，我心里面有一片这个担心可以直接上达天空，天庭。于无声处听惊雷，忽然一声，我们没有声音，可是一个雷打下来了。我把它改了“于有声处听惊雷”，为什么这么改呢？因为你们看我的电视，我在杀人放火。用什么工具呢？用电视。你们听到我的声音，你有没有听到了？可是呢，它是个雷震，是个雷的声音，我把它改写这个诗，请大家看。“万家粉墨去复来，鬼哭狼嚎动地哀。心事浩茫连广宇，于有声处听惊雷。”什么叫做万家粉墨呢？你看看电视台，别人那个节目，干什么呢？粉墨登场嘛，天天演戏嘛。所以我说万家粉墨去复来。多少人来来去去，节目是一样的，他们干什么，他们在鬼哭狼嚎动地哀。我呢？心事浩茫连广宇，于有声处听惊雷。为什么呢？你们在电视机里面听到我的声音，这不是一个普通的一个节目哦，这是语妙天下，这是一个雷声，上达天听的一个雷声。我告诉大家不要把它看作一个普通的电视节目，因为它是一个知识上，思想上的一个万花筒，你可以学到很多。
001.2009-01-01：为什么重返萤光幕？.txt	19	我们看到鲁迅死的时候这张速写像。鲁迅过去了，为什么过去了？他们那个时代的人，没有李敖这个时代，这种好的机会，能够用声光，现代科技，画面来传达我们的思想。他们的方式是老式的，就是用笔杆。可是鲁迅在鲁迅的时代里面有他的成就，今天我们在看到鲁迅用他的方法来传达我们的思想，表示我们没有进步。澳门大学一位教书的博士，叫做老志钧，他姓老，老志钧。他写过一本书就研究鲁迅的很多文体，本来我们看《鲁迅全集》，我们都看到过，可是当这个老志钧先生把它整理出来以后呢。我们才发现，非常地使我们震惊，鲁迅的中文怎们会变得这么别扭呢？老志钧先生收集了很多，我再把老志钧先生收集的，再把它挑出几句来给大家看。大家看，你会写这样的中文吗？你看。“因为是特意地地光降这大阪市到现在为止还没有前例的纯艺术的集会的诸位”这是什么中文呢？是描写你们要讲演了，你们各位啊。什么各位呢？他用很长一段形容词来描写你们各位“因为是特意地地光降这大阪市到现在为止还没有前例的纯艺术的集会的诸位”请问，这是中文吗？如果你说这是中文，你佩服这种文字。对不起，这就是鲁迅写的。如果你说这种文字是好的，证明了一点，你阁下的中文出了问题。你怎么会，这种文字是好的呢？你说不对啊，鲁迅写的。鲁迅写的又怎么样呢？所以我说这是一个标杆，鲁迅给我们一个标杆。当你说鲁迅中文好的时候，请你看看这句话。我刚才说澳门大学教书的老志钧先生，他写了一本专书，研究鲁迅的文体，给我们一个很爆炸性的感觉，就是怎么这些文章是鲁迅写的呢？原来真的是鲁迅写的。怎么可以这样子不通呢？就这样不通。我再念一部分给大家看，鲁迅的文章，你看：“我只记得还做孩子时候的吃尽一碗拌着驱除蛔虫药粉的沙糖才有这样难。”请问这是中文的句子吗，英文也没有这种句子，这么别扭吗，鲁迅写的。大家再看，鲁迅写的，“朦胧而灰暗地向两旁展开着长的单调的房屋的排列。”这什么句子啊。再看鲁迅写的，“他的行踪不定的出奔和领地的自愿底的推让”，请问这是什么句子啊。再看，“我被袭于仿佛忽被白刃冰冷的砍断了似的恐怖，单是蓦地发一声惊怖的呻呼，便僵直了一般的立着。以为心脏是骤然冻结似的停止的了，而立刻又几乎作痛的大而且锐的鼓动起来。”天啊，这是什么句子啊。再看，鲁迅写的啊。“上了走向那大而黑暗的都市即人性和他们的悲痛之所在的艰难的路”，描写一个路，一个路，可以前面那么大一段，你看，描写这个路，你看。上了什么路呢？上了走向那大而黑暗的都市即人性和他们的悲痛之所在的艰难的路。这就是鲁迅，鲁迅的作品啊。在《鲁迅全集》里面，我们就可以看到的，只是老志钧先生有耐心把它一条一条找出来。不是我们不肯定鲁迅，我们肯定鲁迅在他的时代里面，他有他的历史的地位，可是今天我们在说鲁迅的中文好，至少我们看到刚才这些中文。这叫什么中文呢？难道没有人敢讲话吗？我李敖实在不服这口气，要一开始在我的语妙天下里面，就跟大家谈谈看，这种中文是能不能成立的。
001.2009-01-01：为什么重返萤光幕？.txt	21	可是我告诉你们，我在凤凰电视，在刘长乐老板的支持跟赏识之下，我做了720集（wjm_tcy注：《李敖有话说》总集数735集，其中6集重复，所以是729集。其中233与430重复；250与431重复；252与432重复；261与433重复；494与729重复；629与730重复。）的电视里面，有5集是播不出来的，其中有两集就是因为我批评了鲁迅。并不是刘老板不让它播出了，而是社会的氛围说这个东西不能播的。为什么不能播？如果这都不能播，等于我们承认了这种文章是好文章，让他流传下去。鲁迅是天之骄子耶，大家不要搞错啊。在文化大革命时代，鲁迅的书没有一本被查禁，有几个中国人有这种殊荣，他的书没有被查禁？鲁迅享受了这个结果的，可是我们在看鲁迅的时候，在碰到鲁迅的时候，至少你的文章好坏我们可以碰碰嘛。难道鲁迅的文章是这样的写法吗？难道认为这种写法我们都不能批评吗？难道这种文章是好文章？能证明了我们中国人的文学或者文字，语文程度就变好吗？这对我们的退步是一种讽刺，所以我说不是鲁迅不好，鲁迅在他的时代里面有他的历史位置，可是今天我们还抱着鲁迅不放。甚至认为鲁迅的文章都是好文章的时候，我们在自欺又自欺。所以我说鲁迅的文章至少我们有批评的自由。上帝我们都敢批评，何况鲁迅！
002.2009-01-02：连战及陈长文欠台湾人一个道歉！.txt	3	在我的节目里面大家可以看到文化万花筒，思想万花筒，五花八门，可以使大家得到很多意想不到的知识跟启发。为什么你这样子说大话？这样子不谦虚？对的，我是说大话，我也不谦虚。为什么？因为我干的这一行就是打人的这一行，只是用思想，用文化来打人而已。我的一位朋友，当年有名的电影明星、武打明星，叫做王羽。他有一次跟《时报周刊》访问他的记者说：我好羡慕李敖，因为李敖恨张三就骂张三，恨李四就骂李四。他只要用嘴巴，用笔杆，就可以达到报仇的效果。可是我王羽很辛苦，我恨张三就要打张三，恨李四就要打李四。打来打去啊，打得好辛苦。所以，王羽很羡慕李敖。大家看这张照片，拳王泰森Tyson，他就是作奸犯科，坐牢打架，他就讲他是靠揍人为生的，靠着打人来活的。有的人比他有思想，虽然是拳王，有思想。这个人就是阿里，阿里现在年轻人可能不太记得他了，他当年不但会打拳，而且会说大话，会吹牛吹自己，说自己是诗人。人家说你怎么会写诗呢？他说我有钱，叫哈佛毕业的学生帮我写诗，哈佛又怎么样，老子有钱，你写诗给我。他说他打起拳来飘来飘去，在那个比赛的时候，像个蝴蝶，可是打起拳来叮人像个蜜蜂那样子快，那样子狠。可是飘动起来是那样子优美，他说他是全世界最伟大的人，这样子吹牛，这就是阿里。这是阿里当年盛极一时的时候，大家看他把对手打倒。可是，今天的阿里什么样子呢？六七十岁了，再也不能打拳了，人也发胖了，并且得了帕金森症，也流口水了。请大家看，现在阿里的照片，看到没有啊，胖起来了，人胖起来了。大家看这个阿里很忧郁的，充满了蓝色色调地坐在椅子上面，他的朋友安慰他，他变得不快乐。大家在看，这个阿里也是一个人变得不快乐。
002.2009-01-02：连战及陈长文欠台湾人一个道歉！.txt	5	我李敖庆幸我73岁还能够干我这一行，打拳20几岁，你寿命告一段落了，不能再打了嘛。可是我庆幸我73岁还在干这一行，并且告诉大家我还在干下去。所以我说我这一行干得不错，因为我没选到打拳这一行。好，又开始吹牛了。大家看，蒙娜丽莎。哎，怎么把蒙娜丽莎画成这个样子呢？画成画家自己的样子了，这个画家是谁呢？就是达利，看他的胡子，达利怎么样描写他的画呢？他说所有毕加索的画摆在一起，我的画比他好一千倍，比毕加索好一千倍。毕加索还是他的朋友，还是帮了他的忙，可是达利吹起牛来啊，不得了。他说，他每天早上起来啊，刚睡醒一想到，哎，我是谁呢？原来我就是大画家达利，他就好高兴啊，他说我每一想到我是达利本人，我就好高兴。就好像我李敖一样，一想到我是李敖语妙天下的主持人，我就好高兴，在我没有被赶走以前。这是达利画的这种画！《纽约时报》也谈到达利，他是特别吹牛的这种家伙，变成害了他自己。为什么我喜欢吹牛？因为基本上我不太看得起别人，我自己的生活方式非常的狭窄，我很孤独地在生活，可是我一点都没有为自己。人家说你在那个山上，阳明山上一个人过，能够耐得住寂寞。错了，我没有寂寞，没有寂寞去耐。有了寂寞能够耐住寂寞，这是不够格的，根本没有寂寞。要训练到自己没有负面的情绪。我李敖看着这个日月潭，大家看我并没有那种负面的情绪。我的一个特色，我的一个朋友，叫做陈文茜发现了。陈文茜是很聪明很聪明的女人。我认识他的时候，她刚刚大学毕业。那个时候我们在办一个党外杂志，陈文茜就跟她男朋友到了我们杂志社，不到一个星期，她就发现这些杂志社的这些男生相互之间有冲突，有矛盾。陈文茜在里面就挑拨，很快的我们的杂志社就垮掉了。我最早认识的陈文茜，是个大学毕业的女学生，喜欢挑拨我们的一个聪明的女学生。陈文茜算是我的好朋友，可是到现在为止我告诉大家，我在阳明山有个书房，她在阳明山有个别墅。我居高临下正好看到她那个别墅，我从来不打电话给她，要打电话你这个小马子打给我，我从来不打电话给你。为什么？我架子大。陈文茜也请我上她的节目，后来，我心里打定主意，不上她节目了。为什么？不是因为她给我钱少，她给我钱比别人好几倍。别人的名嘴节目费，她的三千、四千，我去一次两万块，并且讲好了一对一，没有别的人，就是你跟我对讲。陈文茜接受了，可是后来我发现播出来的时候不对了，两个人对讲话，陈文茜讲的话呢播出来时候畅行无阻，我的讲话，李敖讲的话播出来进广告，再讲话进广告，再讲话进广告，我骂了连战进广告，我骂了连战的儿子连胜文进广告。为什么我都被广告挡住呢？原来我才知道我要想做节目就要老子一个人玩自己做，跟别人对谈，即使是好朋友陈文茜都不行。
002.2009-01-02：连战及陈长文欠台湾人一个道歉！.txt	7	可是我可以上陈文茜别的节目，有一次请她上节目，也请我一起上节目，好像是吴宗宪，这些演综艺的这些小弟们请我们两个上节目。那个吴宗宪，好像是吴宗宪，就盯着陈文茜的胸部看，就这样看看看，就问了一句话，说文茜姐啊，你的（胸部）到底几寸，你可以告诉我，你多大吗?你可以告诉我，你多大吗？我在看陈文茜的反应第一流的。陈文茜呢，脸色冷冷地讲了一句话，陈文茜说，你告诉我你多长，我就告诉你我多大。你告诉我你多长，我就告诉你我多大。弄得吴宗宪就下不了台。陈文茜的反应是非常快的，她非常的聪明。可是她还有一个特色，大家被忽略了，也被她自己浪费了，就是陈文茜有很好的文笔，很会写文章，她不念什么文言文的，她没有中国文化的这种熏陶，她没有。可是她写白话文，写得非常地洗练。我念一段她写我的话给大家听，陈文茜这个书《文茜语录》里面的一段话。她有一篇文章叫做“给亲爱的李敖大哥”，她里面有一段话讲我。“李敖捧自己（捧他自己）已非猖狂，而是艺术。”我从来没有看过这样子赞美我的话，别人不敢捧我都躲我很远，我自己在捧我自己。为什么自己捧你自己呢？因为别人不捧我，我看不到别人捧我。就好像应该文学家GBS，就是萧伯纳讲的话，他说“每当别人赞美我的时候我就扭捏不安，为什么不安呢？因为别人赞美地不够。”所以我们要自己赞美自己，这样子才能够畅所欲言，可是别人会说你在吹牛，你在夸大，陈文茜看出来，陈文茜说“李敖捧自己已非猖狂，而是艺术；他自我歌颂起来旁人若插个两句，不只捧得不够高明，还有点像澎恰恰跑入达芬奇古油画，蒙娜丽莎都笑不出来。”蒙娜丽莎笑不出来原因很多，其中一个就是被达利画出来以后呢，我看她也笑不出来。陈文茜说“李敖在北京演讲时，我就想写这么一篇文章给他（就是想写一篇给亲爱的李敖大哥），当时那么多人给他掌声，或给他嘘声，我却只能激动且静静地看着他。我知道这个天才一直被埋没了，整整七十年。从五四之后，再也没有一个真正顶天立地的中国知识分子，拥有和李敖一样的影响力。可是他一直被埋没了，一直要等到七十岁，“人书俱老”，这位天才才在奇特的两岸氛围下，站上了没有人可以否认的历史高度。”这是陈文茜说我，还有一段，请大家看。说李敖“说穿了李敖有什么武器，一支笔，一个不低头的灵魂，一对看穿人性的眼睛，没啥用处的小李飞刀，还有无人可及的聪明才华。他做得到的，除了才华之外，本来人人都做得到。但是，就在看的人愈多，我们愈知道人与人若要分高下，不在财富地位，而在一股气。李敖的精彩之处，不止在他的学问功力，而是那股气，由于欠缺那股气，两岸当今知识分子全没了，只剩下一个李敖。李敖在中国大陆的旋风，正是把那股气给唤回古来曾存在于北京的记忆。”这是陈文茜给亲爱的李敖大哥里面的几句话。我认为陈文茜相当地了解我，可是毕竟她才50出头，我已经73岁了。她承担的历史跟我不一样，所以陈文茜虽然是我很少的朋友里面的一位好朋友。可是我认为，她是她，我是我。我在电视里面这样走过来，告诉大家，我的一点生活的情况，我没有什么朋友，朋友也吃不消我。朋友，老朋友，家里面出现了婚丧喜庆，我一概不参加，礼物会到。老朋友女儿结婚，我李敖礼物会到，可是人不参加。原因就是说我跟别人的关系几乎都断掉了。为什么我过这样子的生活？因为我是一个怪人。
