file	line	text	reason	context
001.景福门，你们来个屁！.txt	3	两个世界的英雄	modern-political-news-context	美国独立战争时候，一个法国贵族叫拉斐德（Marquis de Lafayette）的，在1777年7月抵达新大陆，参加了反抗英国的作战。他那时二十岁，被任命为少将，很有战功。1779年他回法国，劝说法国国王路易十六（Louis ⅩⅥ）派出六千人的远征军支持殖民地人民。1780年他再返新大陆，协助美国独立战争，直到成功为止。1782年他回法国。1784年访问美国，成为好几个州的公民，极得美国人的景仰。此后五年中，他成为法国开明贵族的领袖。1789年法国大革命爆发，他躬与其役。但他反对国王退位、反对过激的权力转移，最后亡命在外，被奥地利幽囚五年。直到1799年拿破仑（Bonaparte Napoleon）当政，他才回归祖国。路易十八（Louis ⅩⅧ）在位期间，他任众议院议员。1824到1825年间，他又访问美国，受到热烈的欢迎。1830年他指挥国民自卫军，推翻查理十世（Charles Ⅹ），迎接路易腓力普（Louis-Philip...
001.景福门，你们来个屁！.txt	9	台湾的社会近年来颇以民主自许，自由自豪。难道我们在争取两千万人的民主与自由之余，竟然无视十亿同胞的民主与自由吗？……天安门广场的胜利，是全中国也是全世界民主自由的胜利。相反地，天安门广场的失败，也是全中国甚至全世界民主自由的挫折，在历史炯炯的注视下，让我们及时站起来，从台北到屏东，一起向对岸大叫：‘天安门，我们来了！’	modern-political-news-context	最近北京天安门前风起云涌，大陆学生与人民，为争取自由民主，波澜壮阔，蔚为奇观。相形之下，台湾地区的委琐畏葸，显得不成一比。国民党老脸兜不住，乃由巧宦施启扬出面，召集行政院大陆工作会报，徒以空话，加以声援。在上者粉拳绣腿如此，在下者自然希旨成风，也就纷纷绣花枕头而出。其中最恶心人者，是今早看报，有所谓国立中山大学教职员发表的支援大陆民主运动声明。该声明由马屁诗人余光中主稿，最后说：“台湾的社会近年来颇以民主自许，自由自豪。难道我们在争取两千万人的民主与自由之余，竟然无视十亿同胞的民主与自由吗？……天安门广场的胜利，是全中国也是全世界民主自由的胜利。相反地，天安门广场的失败，也是全中国甚至全世界民主自由的挫折，在历史炯炯的注视下，让我们及时站起来，从台北到屏东，一起向对岸大叫：‘天安门，我们来了！’”
001.景福门，你们来个屁！.txt	11	拉斐德，我们来了！	modern-political-news-context	显然的，马屁诗人余光中在窃取“拉斐德，我们来了！”之意，以为比附与贴金。但是，这些国民党御用文人，他们在“争取两千万人的民主与自由”上，根本就是一纸空白，而没有任何实际行动。如今又朝十一亿人口大放厥词，且以当年美法战士自况自脱，其无耻也，真可腾笑古今中外。事实上，国民党“总统府”前的景福门，早已是压迫自由民主的标志，又何足以自炫骄人？如今景福门下的御用文人，竟成群结队而要“我们来了！”别不要脸啦，你们来个屁！
001.景福门，你们来个屁！.txt	11	争取两千万人的民主与自由	modern-political-news-context	显然的，马屁诗人余光中在窃取“拉斐德，我们来了！”之意，以为比附与贴金。但是，这些国民党御用文人，他们在“争取两千万人的民主与自由”上，根本就是一纸空白，而没有任何实际行动。如今又朝十一亿人口大放厥词，且以当年美法战士自况自脱，其无耻也，真可腾笑古今中外。事实上，国民党“总统府”前的景福门，早已是压迫自由民主的标志，又何足以自炫骄人？如今景福门下的御用文人，竟成群结队而要“我们来了！”别不要脸啦，你们来个屁！
001.景福门，你们来个屁！.txt	11	总统府	modern-political-news-context	显然的，马屁诗人余光中在窃取“拉斐德，我们来了！”之意，以为比附与贴金。但是，这些国民党御用文人，他们在“争取两千万人的民主与自由”上，根本就是一纸空白，而没有任何实际行动。如今又朝十一亿人口大放厥词，且以当年美法战士自况自脱，其无耻也，真可腾笑古今中外。事实上，国民党“总统府”前的景福门，早已是压迫自由民主的标志，又何足以自炫骄人？如今景福门下的御用文人，竟成群结队而要“我们来了！”别不要脸啦，你们来个屁！
001.景福门，你们来个屁！.txt	11	我们来了！	modern-political-news-context	显然的，马屁诗人余光中在窃取“拉斐德，我们来了！”之意，以为比附与贴金。但是，这些国民党御用文人，他们在“争取两千万人的民主与自由”上，根本就是一纸空白，而没有任何实际行动。如今又朝十一亿人口大放厥词，且以当年美法战士自况自脱，其无耻也，真可腾笑古今中外。事实上，国民党“总统府”前的景福门，早已是压迫自由民主的标志，又何足以自炫骄人？如今景福门下的御用文人，竟成群结队而要“我们来了！”别不要脸啦，你们来个屁！
002.中国双城记.txt	5	圣巴托罗缪节大屠杀	modern-political-news-context	对在北京那些真正为争取自由民主而死去的中国人而言，他们求自由民主而得仁，虽然自由民主没求到手，但从我们历史家长程的观点看，一点也不意外。自由民主的争取，本是长程的、艰苦的、要付惨痛代价的。至于出之以大屠杀场面，甚至所求非自由民主，也照样在劫难逃。一五七二年法国统治者在八月二十四日的“圣巴托罗缪节大屠杀”（The Massacre of St. Bartholomew），所用武器没有机枪坦克，照样把自己新教徒同胞，一干掉就在五万人以上。相形之下，中共犹小焉者也！
002.中国双城记.txt	7	成功必须在我	modern-political-news-context	正因为自由民主的争取，是长程的、艰苦的、要付惨痛代价的，所以争取它的人，必须有牺牲自己的心理准备，希图侥幸或临难苟免固然不可以，认为一击而中或“成功必须在我”，也未免太乐观。对中共的结构与处境如有认知的人应该评估到，在这次大屠杀前，中共有很长一段时间采取自制性的和策略性的低姿势，接受了与学生的对话等条件；但是，当学生把中共的结构和处境评估错误，开价开得除了逼垮“开明派”赵紫阳、逼垮同情他们的势力以外，此后就落居下风。
002.中国双城记.txt	7	开明派	modern-political-news-context	正因为自由民主的争取，是长程的、艰苦的、要付惨痛代价的，所以争取它的人，必须有牺牲自己的心理准备，希图侥幸或临难苟免固然不可以，认为一击而中或“成功必须在我”，也未免太乐观。对中共的结构与处境如有认知的人应该评估到，在这次大屠杀前，中共有很长一段时间采取自制性的和策略性的低姿势，接受了与学生的对话等条件；但是，当学生把中共的结构和处境评估错误，开价开得除了逼垮“开明派”赵紫阳、逼垮同情他们的势力以外，此后就落居下风。
002.中国双城记.txt	13	我不怕死，谁不愿意为祖国而死呢？	modern-political-news-context	为这种心态提供最明确点化的、把握住最正确心理准备的，是圣雄甘地。甘地在献身与反抗的开始，他就首先认清牺牲是不可避免的、牺牲是必要的。甘地在南非从事与黑暗政府周旋的年代里，他领导南非的印度人，用大批入狱来表示他们的消极抵抗。在消极抵抗中，有七十五岁的老太太哈巴津（Harbatsingh），受不住煎熬，死在狱里；有十六岁的小女生维丽玛（villiamma R. Mudaliar），受不住苦炼，丧生鬼门。维丽玛是印度人的安妮·法兰克，她临死前，甘地跑去问她感觉，她说：“我不怕死，谁不愿意为祖国而死呢？”她死后，印度人为她建立了维丽玛堂，甘地激动的说：“她是用她自己的手，为她自己建立庙，她的光荣典型，将永远活在我们心中。”
