id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAYBJZ-001,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,11,11,读书破万卷，下笔如有神,古典诗句,杜甫诗句,用杜甫名句点出博览与写作之间的关系。,
LAYBJZ-002,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,11,11,读书五十载,读书格言,陈梦雷自述,陈梦雷以五十年读书概括自身治学积累。,
LAYBJZ-003,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,11,11,凡在六合之内，巨细毕举，其在十三经、二十一史者，只字不遗；其在稗史集者，亦只删一二。,书籍评论,评《古今图书集成》,以宏阔语气形容类书搜罗之广。,
LAYBJZ-004,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,11,11,目营手检，无间晨夕,治学格言,陈梦雷编书事迹,形容编纂查检勤苦，日夜不辍。,
LAYBJZ-005,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,17,17,集天下之书为一书,书目格言,郑樵书目理想,概括汇聚典籍、贯通众书的类书理想。,
LAYBJZ-006,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,25,25,鸳鸯绣取凭君看，不把金针度与人,古典格言,题名来源旧语,以金针比喻读书作文的门径秘法。,
LAYBJZ-007,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,27,27,读书得间,读书成语,传统读书语,指读书读到关窍与门道。,
LAYBJZ-008,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,27,27,有脚书橱,读书成语,传统人物评语,形容记诵繁富却未必能运用的人。,
LAYBJZ-009,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,27,27,为往圣继绝学,治学格言,传统学术语,概括承续古代学术命脉的抱负。,
LAYBJZ-010,要把金针度与人,《要把金针度与人》（代序）,001.《要把金针度与人》（代序）.txt,31,31,读书无法使他们头脑变好，反倒变坏。,读书批评格言,李敖读书法,说明读书不得法会伤害判断力。,
