id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LAGMDNK-001	yes		1	一眠大一寸	001.向国民党讨十大债.txt	5	5
LAGMDNK-002	yes		1	天道好还	004.承认的暗杀和否认的暗杀.txt	9	9
LAGMDNK-003	yes		1	宋之亡也，死国事者多矣！陆秀夫、张世杰死于海；李芾死于潭；赵昂发死于池……不可胜数。虽然，死矣，未有如公之出万死而后死。……自古亡国之臣，未有如公之烈也！收宋三百年养士之功、立千万载为臣之极，不在于公乎？公非仁者之勇，浩然塞于天地之间者乎？	010.国民党的天祥症.txt	5	5
LAGMDNK-004	yes		1	孔曰成仁，孟云取义，唯其义尽，所以仁至；读圣贤书，所学何事，而今而后，庶几无愧。	010.国民党的天祥症.txt	11	11
LAGMDNK-005	yes		1	败军之将，不足以言勇。	011.不牺牲，只退却.txt	17	17
LAGMDNK-006	yes		1	狭巷短兵相接处，杀人如草不闻声。	014.“杀人如草不闻声”.txt	11	11
LAGMDNK-007	yes		1	天之亡我，我何渡为？且籍与江东子弟八千人渡江而西，今无一人还，纵江东父兄，怜而王我，我何面目见之？纵彼不言，籍独不愧于心乎？	016.比江东还江东.txt	17	17
LAGMDNK-008	yes		1	盗固不义，而跖非诛盗之人。	018.谁在“地方割据”？.txt	21	21
LAGMDNK-009	yes		1	甘危躯以成仁	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-010	yes		1	好名义不进仕者	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-011	yes		1	烈士肝肠名士胆，杀人手段救人心	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-012	yes		1	烈士暮年，壮心不已	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-013	yes		1	烈士壮心虽未减，狂奴故态有谁容？	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-014	yes		1	视死若生	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-015	yes		1	死节之行	023.国民党又捏造烈士了！.txt	3	3
LAGMDNK-016	yes		1	黄河之水天上来	026.国民党的演说狂.txt	13	13
LAGMDNK-017	yes		1	面目可憎，言语无味	026.国民党的演说狂.txt	13	13
LAGMDNK-018	yes		1	所有的礼物我都收下了，但从你的口里，我不敢收任何东西。	027.别遮了，中常委！.txt	7	7
LAGMDNK-019	yes		1	来如春梦、去似朝云	028.上台下台两不知.txt	9	9
LAGMDNK-020	yes		1	赏赐的是耶和华，收回的也是他。	028.上台下台两不知.txt	9	9
LAGMDNK-021	yes		1	赵孟之所贵，赵孟能贱之。	028.上台下台两不知.txt	9	9
LAGMDNK-022	yes		1	寇准好宰相，但年尚少耳！	029.国民党的政治年龄.txt	3	3
LAGMDNK-023	yes		1	救人一命，胜造七级浮屠	030.国民党懂什么文化！.txt	17	17
LAGMDNK-024	yes		1	我无为而民自化	030.国民党懂什么文化！.txt	17	17
LAGMDNK-025	yes		1	且作神仙舞，愿为流俗惊。曲终人又见，江上一峰青。	031.国民党不封建吗？.txt	3	3
LAGMDNK-026	yes		1	才子加流氓	036.《中央日报》别看错了人！.txt	21	21
LAGMDNK-027	yes		1	岂后辈龌龊小生所可语耶！	036.《中央日报》别看错了人！.txt	21	21
LAGMDNK-028	yes		1	回眸一笑百媚生	036.《中央日报》别看错了人！.txt	27	27
LAGMDNK-029	yes		1	识时务者为俊杰	036.《中央日报》别看错了人！.txt	33	33
LAGMDNK-030	yes		1	不待智者而后知	036.《中央日报》别看错了人！.txt	35	35
LAGMDNK-031	yes		1	I do not mind lying, but I hate inaccuracy.	038.你一说，就完蛋.txt	5	5
LAGMDNK-032	yes		1	狼来了！	038.你一说，就完蛋.txt	15	15
LAGMDNK-033	yes		1	天下之恶皆归之	041.咬贼一口烂三分.txt	5	5
LAGMDNK-034	yes		1	贼咬一口烂三分	041.咬贼一口烂三分.txt	5	5
LAGMDNK-035	yes		1	沉者自沉，浮者自浮，殷洪乔不能作致书邮！	042.国民党何必假惺惺呢？.txt	7	7
LAGMDNK-036	yes		1	苦心人天不负，有志者事竟成	044.国民党同路人的一件杰作.txt	11	11
LAGMDNK-037	yes		1	向壁虚造	044.国民党同路人的一件杰作.txt	27	27
LAGMDNK-038	yes		1	以讹传讹	044.国民党同路人的一件杰作.txt	27	27
LAGMDNK-039	yes		1	张冠李戴	044.国民党同路人的一件杰作.txt	27	27
LAGMDNK-040	yes		1	隔行如隔山	044.国民党同路人的一件杰作.txt	29	29
LAGMDNK-041	yes		1	某也幸，苟有过，人必知之	044.国民党同路人的一件杰作.txt	29	29
