source_file	line	text
001.没有窗，哪有“窗外”？.txt	11	二、新之乎者也派——掌故派、伪考据派、骈文派、自传派、寿序派、挽联派、对凌波“诗以张之”派等等都算。
001.没有窗，哪有“窗外”？.txt	17	五、表妹派——别名“林妹妹派”。不分男女，一写小说或诗就呻吟起来。有病呻吟无病也呻吟，反正老是呻吟，呻吟定了。
001.没有窗，哪有“窗外”？.txt	47	对《窗外》的作者来说，如果我不算高攀，我们可说是朋友。我第一次见她是在去年6月15号，那天是聂华苓、潘琦君、徐钟珮、张明、张兰熙、严停云（华严）诸美人下帖子，在《智慧的灯》的作者（我的“师姑”）家里吃晚饭，我们面对面，聊了不少。记得我们还讨论过西方的礼节，所以临走的时候，我对琼瑶，自然“吻手为礼”。——我们似乎都是最快的实行家。
001.没有窗，哪有“窗外”？.txt	63	“我的康南！我的康南！”她心中辗转呼号，泪水夺眶而出。她的康南哪里去了？她那诗一般的康南！那深邃的、脉脉含情的眼睛，那似笑非笑的嘴角，那微蹙着的眉峰，那潇洒的风度，和那旷世的才华！这一切，都到哪里去了？难道都是她的幻想吗？她的康南在哪里？难道真的如烟如云、如梦如影吗？多可怕的真实！她但愿自己没有来，没有见到这个康南！她还要她的康南，她梦里的那个康南！她朝思暮想的康南！（第342页）
001.没有窗，哪有“窗外”？.txt	95	余弱冠时，读书杭州，闻有某贾人女，明艳工诗，以酷嗜《红楼梦》，致成瘵疾。当绵惙时，父母以是书贻祸，取投之火。女在床，乃大哭曰：“奈何烧煞我宝玉！”遂死。杭州人传以为笑。
001.没有窗，哪有“窗外”？.txt	123	琼瑶用贫了梦似的和似梦的句子，为的只是告诉我们：梦，是女学生的另一名词！
001.没有窗，哪有“窗外”？.txt	209	魏子云在《从〈窗外〉观之》一文（《窗外》附录）里，就受了琼瑶错误的描写而发生错误的论断。魏子云坚持“江雁容并不是真心真意爱上康南”，他说：
001.没有窗，哪有“窗外”？.txt	227	我曾经有个女儿，生于民国三十年，死于民国三十二年，我这一生是没有女儿可教的了！如果我能够，我但愿能给你一份父爱，看着你成长和成功！酒后提笔写这封信，杂乱无章，不知所云。希望你能了解我醉后含泪写这封信的苦心，有一天，你们成功了，我也别无所求了！（第114页）
001.没有窗，哪有“窗外”？.txt	237	这段自问里头所谓“感情并没有越轨”的话，是一句大有问题的话，也是完全不通的话。什么叫“轨”？什么是“轨”？男人能跟女人恋爱，男老师就不能跟女学生恋爱吗？“师生恋爱”，只要不像沈刚伯那样的犯重婚罪，又有什么不可以呢？可是莫名其妙的是，传统中竟然跑出一种“师生恋爱大逆不道论”，这真是狗屁！
001.没有窗，哪有“窗外”？.txt	239	很显然的，琼瑶在《窗外》里，对“师生恋爱”这一基本观念并没有清楚彻底的理解，因此她在用字遣词中，也不能廓清这一个被人们误解已久的观念。琼瑶对“师生恋爱”的观念，显然仍旧受着传统的羁绊，因此她不能运用清楚爽快的文字，根本解除这一“意底牢结”（ideology）。所以《窗外》男女主角的言行上，也就处处对他们的“师生恋爱”行为感到理亏情怯。康南就曾向江雁容的妈妈说：
001.没有窗，哪有“窗外”？.txt	273	一般说来，每个女朋友都是可爱的，可是每个女朋友的妈妈却实在是不可爱的——她们可恨。女孩子的妈妈们，仗着她是女孩子的妈妈、仗着她们也做过“青春梦”、仗着她们的动机是所谓爱护女儿，所以她们总是死命的把那臃肿的、停经期快来的身体，夹到她的女儿和“那穷小子”中间去。又一般说来，女孩子妈妈们大都饱经忧患，咸盐比女儿吃得多，醋也吃得多。所以她们对人生的看法自然与女儿不同。她们的青春已经消逝，美容医院和法国香水的挽救效果也愈来愈小，小到最后香水是香水、她是她。停经期过去以后，她们已经不再是“女性”，她们只是“中性”的人，中性得跟宦官一样，也就益形乖谬。多年生活的惨痛经验，使她们深信一种“女儿钓金龟论”，这头金王八，是她多年钓失败了的，所以她寄全部的希望在她家的小姐身上。由大小姐开始，在妈妈梦中，有一长行的乘龙快婿的横队。可是事实的演变是，大小姐经常是第一个反叛者——爱上了“那穷小子”。于是母亲必须大哭大闹、必须平息大小姐的叛乱。因为她们深信：“老大若管不住，老二还得了吗？”所以杀鸡儆猴，妈妈必得防患于未然。
001.没有窗，哪有“窗外”？.txt	290	在《窗外》里，故事的演变是朝“最后的胜利是属于妈妈的”路线走的，所以这个妈妈也煞是厉害。她曾宣言：“为了救雁容，我可以不择手段，哪怕她恨我！”（第244—245页）所以她的一切作风，也就翻云覆雨、诡计多端。我们试看她的欺骗手段：
001.没有窗，哪有“窗外”？.txt	296	这一些话，是多么开明、多么冠冕堂皇的话呵！可是就在这些漂亮的词汇后面，这个停经前期的女人，开始露出白牙来了：
001.没有窗，哪有“窗外”？.txt	316	最后一招是一幕喊降戏。胜利者在高度优势下，居然手拿武器慷慨陈词起来，她向她女儿说：
001.没有窗，哪有“窗外”？.txt	366	赵刚又写道：
001.没有窗，哪有“窗外”？.txt	370	这段话的问题更大了。什么叫“康南之所以爱雁容，是一种‘情势所迫’”？“迫”个什么？男人爱女人是天经地义，有何“迫”可言？又和“爱女儿”有什么必要的关系？把这些不相干的扯在一起干什么？至于说“因为怀念妻子而发生这件事，在意识上就会有先天性的不纯洁感”云云，更是我不明白的话。什么叫“先天性的不纯洁感”？从两性社会学来看也好、从文化人类学来看也好、从性的生物学来看也好，人类“先天性的”毛病，赵刚可愿知道本是“杂交”（promiscuity）的吗？人类的“先天性”，既然不过如此，赵刚可知道“纯洁”云云或“不纯洁”云云，都是没有“认知意义”（cognitive meaning）的话头吗？
001.没有窗，哪有“窗外”？.txt	386	我这些打开天窗说的亮话，都是很正视现实、很正视人性限度的老实话，也是宣扬人生该多彩多姿的老实话。有了这种恢廓观念的人，他的情操一定是开放的，不做无谓的痛苦的；他的为人也一定是一个勇于生活勇于爱人的情圣，而不是一个钻在牛角尖里为抽象名词痛苦终生的傻瓜！
001.没有窗，哪有“窗外”？.txt	396	这里所谓“我是怎样一个人呢？”、所谓“忘掉为他而死的太太”，都犯了观念极度混淆的错误，都是些没有必要的观念。它们都是我前面指摘的“感情专一论”的毒害，这些有毒的思想，除了把人生搅成不必要的痛苦陷溺外，还有什么积极的价值吗？
001.没有窗，哪有“窗外”？.txt	422	请看上面这些话，统统都是有问题的话。什么叫“发乎情，止乎礼”？什么叫“侵犯”？什么叫“这嘴唇已经有别的男孩子碰过了”？什么叫“不尊重”？……这些片段语句，统统都是我所谓的“泛处女主义”的作祟。对这个问题，我在《论“处女膜整形”》（《为中国思想趋向求答案》第101—136页）里，已有详尽的申述，这里不再多说。我只是指出：康南和江雁容既然接吻、拥抱都来过，却单把“发生肉体关系”看做特殊，实在没有必要，也实在不通。老实说，在我李敖眼里，男女相悦，基于爱情，就没有一件事是不能做的、是有程度之分的。我实在笨得不能懂得什么“发乎情，止乎礼”的玄理。我不知道这个“礼”是他妈的什么？男女谈情，是心灵的愉快；男女性交，是肉体的愉快。男女既可谈情，为什么不可性交？难道谈情就是清高，性交就是“侵犯”“不尊重”吗？这是哪一门子的狗屁观念呀？
001.没有窗，哪有“窗外”？.txt	424	琼瑶笔下之所以有这些“侵犯”呀、“不尊重”呀的字眼，究其原因，又要怪她传统的“唯灵论”的偏见。在“唯灵论”者的眼中，“灵”是好的、神圣的；“肉”是不好的、卑下的。我实在看不出这种不通的观念有什么通达的根据。我是学历史的人，从历史上，我探源出这种灵上肉下的思想是来自中古前期的基督教。基督教相信克制肉欲是导向灵魂求生的必要途径。所以教棍子们慢慢将灵提升，直提升到不近人情的程度。教会中的学者，他们极端迷信心灵提升的成效，甚至有一位学者说，只要不怀邪念，一个信奉天主的人可以摸摸修女的乳房！这真是佛门弟子所谓的“目中有色，心中无色”了！
001.没有窗，哪有“窗外”？.txt	426	历史上最明目张胆的主张灵肉平等的人，依我看来，该算英国诗人勃朗宁。这位19世纪的大人物，在他美丽的诗里，曾有这么一句：“……灵对肉的援助并不比肉对灵来得多。”（“Nor soul helps flesh more, now than flesh helps soul.”）我觉得这是对灵肉观念的最伟大提示。这种提示，值得今天每一个脑袋“灵魂纯洁”“肉体不纯洁”的人的猛省。从这个角度来反看《窗外》，我们不免觉得，琼瑶的“灵魂”里，似乎极少对“肉体”的确认，这真是她的大悲哀！
001.没有窗，哪有“窗外”？.txt	446	这种质问，很可印证中国古人的调子。汉朝的王充在《论衡》的《物势》篇里就曾说：
001.没有窗，哪有“窗外”？.txt	448	儒者论曰：天地故生人，此言妄也！夫天地合气，人偶自生也。犹夫妇合气，子则自生也。夫妇合气，非当时欲得生子，情欲动而合，合而生子矣！且夫妇不故生子，以知天地不故生人也。
001.没有窗，哪有“窗外”？.txt	454	琼瑶笔下的江雁容的口气，颇有古人这种“父母于子无恩”的味道，这是很明白的看法。但是，由于《窗外》作者本人对这个大问题缺乏进一步的清晰认识，所以她这种上附古人的议论，也只落得灵光一闪，稍现即逝了。这是很可惜的现象。
001.没有窗，哪有“窗外”？.txt	514	表面上看，这是一件非常“伤感情”的事，可是我没法忍耐，我不得不说。我觉得必须由我起来说话，才能阻止今日文坛上的陈腐风气，才能挽救广大的青年少年，使他们知道他们只不过是在暗室中被熏陶、被围困，使他们知道暗室之中并没有“窗”。那些所谓“窗”，只是马其诺防线中画在墙上的假窗子。真正的“窗外”，绝不是台湾文坛乌烟瘴气这一套！
001.没有窗，哪有“窗外”？.txt	522	在许多学生和年轻人的臆底，琼瑶的笔，正如青春的彩像，勾出了黛绿年华的诗篇；也是属于这个年代的讴歌，使人能感受到翡翠色的生命乐章。
001.没有窗，哪有“窗外”？.txt	524	琼瑶本人，真的如这些肉麻麻的绮词丽语所说，写出了“这一代青年的梦和希望”了吗？这是一个有意义的题目。
