file	line	text	reason
005.魏院长.txt	57	If God Himself was sitting in that chair we would make him say what we wanted him to say.	布达佩斯问案/洗脑语境，近现代政治审讯语录，按“不要政治语录”排除。
025.昭陵六骏.txt	11	《白种人的重担》/ The White Man's Burden	出现在文物返还和反美政治文化批判段落中，本轮不收政治语境诗名。
026.白鲸.txt	23	Moby Dick seeks thee not. It is thou, thou, that madly seekest him！	同一《白鲸记》句已在第17行收入；第23行复现处紧接反美政治结论，排除重复和政治语境。
046.速写朱仑.txt	223	你这与奴才做奴才的奴才！	虽出《水浒传》，但被用作当代政党骂语，保守排除。
051.“免于资讯的自由”.txt	13	FOUR FREEDOMS / freedom of speech / freedom from want / freedom from fear	美国总统政治演说“四大自由”语录，按规则排除。
051.“免于资讯的自由”.txt	25	免于资讯的自由 / 免于垃圾的自由	由“四大自由”政治演说戏拟而来，本轮不收入正文。
012.蜚蠊后夜.txt	135	朱仑诗《全部忘掉》	校对剔除：小说内角色原创成段诗，不属于外部诗文格言引用。
049.模特儿第N+1次.txt	175	李敖诗《珍惜》	校对剔除：李敖在小说内自作成段诗，不属于外部引用。
055.朱仑十七帖.txt	503	朱仑十七帖中诗《雨》	校对剔除：小说内角色原创成段诗，不属于外部诗文格言引用。
056.从昏迷中醒来.txt	437	朱仑诗《还魂》	校对剔除：小说内角色原创成段诗，不属于外部诗文格言引用。
056.从昏迷中醒来.txt	477	李敖续写朱仑《还魂》	校对剔除：李敖续写小说内角色诗，不属于外部诗文格言引用。
