id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LAGTWRNK-001	yes		1	立德、立功、立言	001.孙子媚国民党，爷爷媚日本人.txt	5	5
LAGTWRNK-002	yes		1	名山绝业	001.孙子媚国民党，爷爷媚日本人.txt	19	19
LAGTWRNK-003	yes		1	温故知新	001.孙子媚国民党，爷爷媚日本人.txt	19	19
LAGTWRNK-004	yes		1	文献可征	001.孙子媚国民党，爷爷媚日本人.txt	19	19
LAGTWRNK-005	yes		1	鱼烂河决	003.辜振甫的信誉问题.txt	13	13
LAGTWRNK-006	yes		1	地阔钱穷	003.辜振甫的信誉问题.txt	23	23
LAGTWRNK-007	yes		1	观其姓名，已为鬼录，追思昔游，犹在心目	005.你不能只说一半.txt	29	29
LAGTWRNK-008	yes		1	达则兼济天下	005.你不能只说一半.txt	31	31
LAGTWRNK-009	yes		1	己欲立而立人，己欲达而达人	005.你不能只说一半.txt	31	31
LAGTWRNK-010	yes		1	一曲高歌一樽酒，一人独钓一江秋	005.你不能只说一半.txt	51	51
LAGTWRNK-011	yes		1	凯撒之妻当超乎怀疑之上。	009.林洋港与莎士比亚.txt	15	15
LAGTWRNK-012	yes		1	长者为行，不使人疑之。	009.林洋港与莎士比亚.txt	15	15
LAGTWRNK-013	yes		1	老子当年勇	011.高玉树的真面目.txt	17	17
LAGTWRNK-014	yes		1	前人种树，后人夺树而纳凉	025.张建邦霸占淡江校产内幕.txt	35	35
LAGTWRNK-015	yes		1	老圃闲谈未易欺	029.从郭婉容的谎话说起.txt	11	11
LAGTWRNK-016	yes		1	路上行人口似碑	029.从郭婉容的谎话说起.txt	11	11
LAGTWRNK-017	yes		1	夫舜恶得而禁之？夫有所受之也！	030.萧天赞错在哪儿？.txt	5	5
LAGTWRNK-018	yes		1	舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。	030.萧天赞错在哪儿？.txt	5	5
LAGTWRNK-019	yes		1	执之而已矣！	030.萧天赞错在哪儿？.txt	5	5
LAGTWRNK-020	yes		1	不私其父，非孝子也；不奉主法，非忠臣也。王赦其罪，上惠也；伏诛而死，臣职也。	030.萧天赞错在哪儿？.txt	7	7
LAGTWRNK-021	yes		1	追而不及，不当伏罪，子其治事矣。	030.萧天赞错在哪儿？.txt	7	7
LAGTWRNK-022	yes		1	当一名绅士的难处之一是，你不被允许粗暴的主张自己的权利。	034.朱高正组党以后.txt	19	19
LAGTWRNK-023	yes		1	其争也君子	034.朱高正组党以后.txt	19	19
LAGTWRNK-024	yes		1	彼有酒器！	035.斥“色情狂”卢修一！.txt	11	11
LAGTWRNK-025	yes		1	彼有淫具！	035.斥“色情狂”卢修一！.txt	11	11
LAGTWRNK-026	yes		1	淫者见之以为淫	035.斥“色情狂”卢修一！.txt	11	11
LAGTWRNK-027	yes		1	拿人的手短、吃人的嘴软	037.吴勇雄错在哪儿？.txt	5	5
LAGTWRNK-028	yes		1	他们所种的是风，所收的是暴风（They have sown the wind, and they shall reap the whirlwind.）。	037.吴勇雄错在哪儿？.txt	17	17
