id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJS3-001	003.蒋介石与一二八.txt	137	137	yes		干打雷，不下雨
LAJJS3-002	003.蒋介石与一二八.txt	169	169	yes		不立文字
LAJJS3-003	003.蒋介石与一二八.txt	169	169	yes		此地无银三百两
LAJJS3-004	004.蒋介石与八一三.txt	373	373	yes		乘大家热铛子头，更作一个。
LAJJS3-005	005.蒋介石怎样对待伤兵？.txt	17	17	yes		仁民爱物
LAJJS3-006	006.汪精卫主和、蒋介石主战吗？.txt	19	19	yes		桃花潭水深千尺，不及汪伦送我情。
LAJJS3-007	007.蒋介石捉奸记.txt	93	93	yes		染指于鼎
LAJJS3-008	007.蒋介石捉奸记.txt	93	93	yes		食指大动
LAJJS3-009	007.蒋介石捉奸记.txt	93	93	yes		要劫劫皇杠、要玩玩娘娘
LAJJS3-010	009.蒋介石的被俘观.txt	23	23	yes		可以死，可以无死，死，伤勇。
LAJJS3-011	009.蒋介石的被俘观.txt	31	31	yes		寡廉鲜耻
LAJJS3-012	016.蒋介石与祖坟.txt	7	7	yes		祸及贤慈当日顽梗悔已晚
LAJJS3-013	016.蒋介石与祖坟.txt	7	7	yes		愧为逆子终身沉痛恨靡涯
