id	source_file	line_start	line_end	present	political_hits	quote_text
LADJDH-001	001.缘起.txt	13	13	yes		Even Homer sometimes nods. 荷马也有打盹时、荷马也会有一失。
LADJDH-002	002.从“拾穗”到“拿锄头的人”.txt	21	21	yes		凡是你没读过的书，就是新书。
LADJDH-003	003.龙应台提议与我拥抱.txt	7	7	yes		悟以往之不谏，知来者之可追
LADJDH-004	010.龙应台怎样吃人肉？.txt	5	5	yes		虽欲从之，末由也已！
LADJDH-005	010.龙应台怎样吃人肉？.txt	25	25	yes		我现在用西餐叉子来吃了。”（I us'um fork now.）
LADJDH-006	017.“龙应台式错误”.txt	23	23	yes		金玉其外，败絮其中
LADJDH-007	028.关中玩马桶.txt	7	7	yes		美貌只是一层皮”（Beauty's but skin deep.）
LADJDH-008	034.何须走一趟才知道.txt	27	27	yes		不出户，知天下
LADJDH-009	066.孔夫子在质疑啊.txt	7	7	yes		子入太庙，每事问。或曰：“孰谓鄹人之子知礼乎？入太庙，每事问。”子闻之，曰：“是礼也？”
LADJDH-010	140.殷巢张占.txt	3	3	yes		鹊巢鸠占
LADJDH-011	140.殷巢张占.txt	3	3	yes		鹊巢柳树，鸠夺其处。
LADJDH-012	140.殷巢张占.txt	3	3	yes		维鹊有巢，维鸠居之。
LADJDH-013	141.我的屁股都引以为耻啊！.txt	19	19	yes		吾愧居卢前，耻居王后！
LADJDH-014	158.“一九四九”的郑成功们.txt	9	9	yes		无官一身轻
LADJDH-015	160.钱复的肉糜之言.txt	15	15	yes		何不食肉糜？（为什么不吃肉？）
LADJDH-016	164.吴处长的“内在美”.txt	7	7	yes		相逢一笑泯恩仇
LADJDH-017	180.龙应台“错用中文”.txt	15	15	yes		嫣然一笑
LADJDH-018	185.向往“博大真人”.txt	49	49	yes		不入于杨、则入于墨
LADJDH-019	186.抓乌龟与抓兔子.txt	13	13	yes		见诸行事
LADJDH-020	186.抓乌龟与抓兔子.txt	13	13	yes		上穷碧落下黄泉、动手动脚找东西。
LADJDH-021	186.抓乌龟与抓兔子.txt	13	13	yes		托诸空言
LADJDH-022	189.上天疼丑类.txt	3	3	yes		泯然众人矣。
LADJDH-023	189.上天疼丑类.txt	3	3	yes		上帝一定疼面目平常之人，不然为什么造那么多。
LADJDH-024	190.“我有点心软了”.txt	7	7	yes		无数只的脚，无穷尽的奋斗，一生的努力，只能走一点点的路。（打死它）我有点心软了。
