id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAWIS-001,李敖智慧书,《李敖智慧书》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/《李敖智慧书》题辞.txt,3,3,生公说法鬼神听,诗文典故,佛教典故,题辞借佛门说法典故谈智慧，语句可独立成典。,
LAWIS-002,李敖智慧书,《李敖智慧书》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/《李敖智慧书》题辞.txt,3,3,满街皆圣人,格言,王阳明,题辞引王阳明语，保留其普遍性智慧意味。,
LAWIS-003,李敖智慧书,《李敖智慧书》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/《李敖智慧书》题辞.txt,3,3,鸡飞蛋打,俗语,俗语,题辞中的俗语，用来写智慧不足的后果。,
LAWIS-004,李敖智慧书,001.为打倒而打倒,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/001.为打倒而打倒.txt,3,3,三月换一把，爱情如牙刷,格言,李敖化用,爱情比喻独立完整，未涉政治判断。,
LAWIS-005,李敖智慧书,002.要民主，先丑化,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/002.要民主，先丑化.txt,3,3,说大人，则藐之。勿视其巍巍然。……吾何畏彼哉!,古文,《孟子》,孟子语，虽被用于公共人物讨论，但原句可独立成古典格言。,
LAWIS-006,李敖智慧书,002.要民主，先丑化,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/002.要民主，先丑化.txt,5,5,年十三，杀人，人不敢忤视。,古文,《史记》荆轲典故,秦舞阳故事中的史传句。,
LAWIS-007,李敖智慧书,002.要民主，先丑化,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/002.要民主，先丑化.txt,5,5,色变振恐,成语,《史记》荆轲典故,史传语汇，可独立检索。,
LAWIS-008,李敖智慧书,002.要民主，先丑化,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/002.要民主，先丑化.txt,5,5,不敢忤视,成语,《史记》荆轲典故,史传语汇，可独立检索。,
LAWIS-009,李敖智慧书,004.具体骗人与抽象骗人,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/004.具体骗人与抽象骗人.txt,5,5,无心雕作木居士，便有无穷求福人。,诗句,古诗,木居士诗句，保留其讽喻性。,
LAWIS-010,李敖智慧书,004.具体骗人与抽象骗人,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/004.具体骗人与抽象骗人.txt,7,7,朝三暮四,成语,《庄子》寓言,庄子猴子寓言成语。,
LAWIS-011,李敖智慧书,004.具体骗人与抽象骗人,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/003.李敖智慧书/004.具体骗人与抽象骗人.txt,7,7,朝三暮四或暮三朝四，实质未变,格言,李敖概括《庄子》寓言,对庄子寓言的格言化概括。,
