source_file	line	flag	text
《坐牢家爸爸给女儿的八十封信》目录.txt	4		　　001.猫狗谚
《坐牢家爸爸给女儿的八十封信》目录.txt	31		　　028.说姓道名
《坐牢家爸爸给女儿的八十封信》目录.txt	59		　　056.从达芬奇到蒲公英
《坐牢家爸爸给女儿的八十封信》目录.txt	63		　　060.萨摩亚与自挽诗
《坐牢家爸爸给女儿的八十封信》自序.txt	3		　　我的独生女儿李文（Hedy Lee）生在1964年9月22日，生在美国纽约。她的降世，是偶然的，因为尚勤去美国时，局面已是分手，不料去了不久，来电说有了小孩，就这样的，李文生在美国，我阴错阳差的变成美国人的爸爸。
《坐牢家爸爸给女儿的八十封信》自序.txt	11		　　在我写的信中，为了增加趣味和理解，我尽量酌配插图，这些插图都是从书上割下来的。牢中没有剪刀或刀片，我把破皮鞋中的钢片抽出来，在水泥台上磨出锋口，用来切割，与刀片无异。冯音汝少校有一次奇怪我为什么能把图片割得那么整齐，我说我神通广大，他也没再追问。回想这些写信往事，实在恍然如昨。
001.猫狗谚.txt	1		猫狗谚
001.猫狗谚.txt	7		　　下大雨是rain cats and dogs，正是中文“大雨倾盆”的意思。中文描写雨大，说一盆水翻下来；英文则是猫狗都下下来。夫妻两人整天吵架，英文是He and his wife led a cat-and-dog life．（过猫狗一样的生活）。 
001.猫狗谚.txt	9		　　每个人都有得意的日子，瓦片也有翻身时候，英文是The cat will mew and dog will have his day．（猫会咪咪叫，狗有他的好日子），也可以说Every dog has his day． 
001.猫狗谚.txt	15		　　猫很灵巧，很多困难都可以闪过，所以有句话说“一条猫有九条命”（A cat has nine lives.）。其实猫只能活十四年，最高活到三十年（狗只活十二、三年）。猫虽有九条命，但操心也会操死，何况人只有一条命，英文有一句Care killed the cat．就是“忧能伤身”的意思。还有一句Curiosity killed a cat．（好奇会要了猫的命），是劝人不要太好打听。 
001.猫狗谚.txt	17		　　猫碰到吃的，总是不可靠的，中文说“猫枕着大鱼头睡，不吃也要摸几下”；英文也有类似的话——Honest as a cat when the cream is out of reach.也是描写一个人不可靠。 
001.猫狗谚.txt	29		　　2．Before you hit the dog, look at the master．（打狗看主人。这一句是中文成语翻成英文。因为打一个人的狗，你就得罪了它的主人。If you beat a dog, you insult his master.） 
001.猫狗谚.txt	31		　　3．When the dog is beaten, the lion is tamed．（狮子驯，狗挨捶。在中文中，有一句很像的成语：“高鸟尽，良弓藏；狡兔死，走狗烹。”也可以简单地说“兔死狗烹”，翻成英文是After the cunning hare is killed，the hound is boiled．这里hound是猎犬，hare是野兔。hare的多数也是hare，有一种游戏叫hare and hounds，装兔的一边撒纸一边跑，装狗的在后面追。还有一句英文是Run with the hare and hunt with the hounds.意思是跟兔子跑又跟狗追，表示一个人骑墙滑头，两边讨好，两边都不得罪。） 
001.猫狗谚.txt	35		　　5．Every dog has his day．是成语，但说成Every dog has its day and every cat its night．更有意思（每条狗都有它得意的一天，每只猫都有它得意的一晚上）。 
001.猫狗谚.txt	37		　　6．The more I see of men，the more I admire dogs．（我看到的人愈多，我愈欣赏狗。）狗的特色是忠心，尤其不因为主人倒霉就做打落水狗的事。打落水狗是人干的事，不是狗干的事。这句英文的意思是人不如狗。说这句话的是法国名女人罗兰夫人（Madame Roland）。她后来被老同志害死了。 
002.再会呀，鳄鱼呀！.txt	7		　　“鳄鱼的眼泪”（crocodile tears）就是中文“猫哭耗子”（假慈悲）的意思。因为传说鳄鱼吃被它咬死的动物的时候要哭。 
002.再会呀，鳄鱼呀！.txt	11		　　还有一个描写假哭的英文，就是“洋葱”（onion），因为用洋葱擦眼睛人就会被辣出眼泪来，但这是莎士比亚（Shakespeare）剧本中的用法，很旧了。 
002.再会呀，鳄鱼呀！.txt	13		　　当你跟小朋友们说再会（good-by）的时候，你可以说： 
002.再会呀，鳄鱼呀！.txt	19		　　美国俗语把crocodile简说成croc，把alligator简说成gator或gater。 
002.再会呀，鳄鱼呀！.txt	27		　　中国古代一个文学家叫韩愈，在广东做官，送了一只羊一只猪给一群鳄鱼，还写了一篇《祭鳄鱼文》警告它们，要它们“其率丑类南徙于海”！（带着你们那些丑八怪搬到南边的海里去吧！）你说这个书呆子多好玩！
003.纸上谈钱.txt	13		　　二十五分叫两毛五，就是一块钱的四分之一，所以叫quarter，另外有三个词儿只是算的时候用，并没有这种角子： 
003.纸上谈钱.txt	51	risk	　　但他人好，老百姓说他好，他竟当了两次（不是连任）美国总统。在他当总统前九十年，他的一位亲戚建了全Ohio州最大的城，就是克利夫兰。 
004.喊一声“芝麻开门！”就行了.txt	5		　　过生日姑姑给你烤蛋糕，多好啊！蛋糕叫sponge cake，sponge是海绵，蛋糕蓬蓬的，不是正像海绵吗？cake就是糕饼的意思，美国有一种“饼步舞”（cakewalk），谁表演得最好就给谁一块cake。有一句成语叫take the cake，怎么用，姐姐做完功课时，向她请教。“两者不可得兼”是You cannot eat your cake and have it．“望梅止渴，画饼充饥”是to gaze at plums to quench one's thirst, to sketch a cake to satisfy one's hunger.有一个故事说请人吃饭，主人光用嘴说一道一道的菜，并没有真的菜端上来，这叫“巴米赛德酒席”（a Barmecide feast），也正是“画饼充饥”的意思。这个故事是《天方夜谭》里头的，天方就是现在的伊朗（Iran）。《天方夜谭》是一本一千多年的故事书，非常有意思，你要把它看一遍。姥姥给八舅写信，一开头就叫“辛巴”，就是《天方夜谭》里的“辛巴达”（Sinbad或Sindbad the Sailor），因为姥姥想叫八舅七航妖岛，所以这样叫。这本书里还有中国小孩阿拉丁（Aladdin）神灯故事，还有阿里巴巴与四十大盗（Ali Baba and the Forty Thieves）， 一喊咒话（charm）“芝麻开门！”（open sesame!）（芝麻是由中国经墨西哥（Mexico）传到美国去的）门就开了（他们若活到今天，若想开六姑锁来锁去的保险箱，喊一声“芝麻开门！”就行了）。《天方夜谭》英文名字叫《阿拉伯之夜》（Arabian Nights），也叫《一千零一夜》（The Thousand and One Nights），英文中跟阿拉伯有关的还有： 
004.喊一声“芝麻开门！”就行了.txt	7		　　Arabic numerals，也叫Arabic figures（阿拉伯数字），就是你算术上用的1，2，3，4，5，6，7，8，9，0（姥姥说你算术很好，爸爸很高兴）。street Arab意思是街上阿拉伯人，就是无家可归流浪街头又偷又讨的小孩。 
