file	line	text
001.《李敖笑傲江湖》第一集.txt	1	《李敖笑傲江湖》第一集
001.《李敖笑傲江湖》第一集.txt	13	最长的一段时间有十四年之久，台湾所有的传播媒体没有李敖两个字出现，虽然如此，并不是说我就不存在了。我还存在，可是我的声名一直是靠着海外所带给我的声名，我举个例子给大家看：好比说，这是当年《纽约时报》登了我的照片跟特写。
001.《李敖笑傲江湖》第一集.txt	15	中国人能够在《纽约时报》被特写，并且有照片登出来的，据我所知只有几个人：像毛泽东，像蒋介石，像周恩来，只有几个人。可见呢台湾虽然把我封锁，可是在世界上面还不断承认我的存在，台湾虽然忘了我的存在，我在世界上面不断的在存在。这个是国际特赦协会当时发给全世界的海报，里面举了全世界三个有名的政治犯，大家要支援这个政治犯。这个就是我，这是当年我被世界上的，台湾岛以外的，所肯定的这个例子。
001.《李敖笑傲江湖》第一集.txt	31	我想后来周荃去找她的牙医去了，所以真相新闻网跟我谈判的过程呢，一直延续到今年十月，等于前后拉拉扯扯有十个月之久。才谈到了这个，今年10月20号我们才签约。所以变成了这个很有趣的一个现象，最后由崔姐跟小董谈判成功（注《李敖回忆录》——口诛）我们就达成了真相新闻网李敖笑傲江湖节目合约书。
001.《李敖笑傲江湖》第一集.txt	39	蒋孝文死掉了！他是蒋经国第一个儿子，跟我同岁，他已经死掉了。不但他死了，并且杠上开花，他的弟弟蒋孝武也死掉了。其实跟我同年龄的很多人都死掉了！好比说：猫王普雷斯利，猫王是跟我同年龄，死掉了；当然有的人还老不死，像这个达赖喇嘛跟我同岁的，活到现在；有的人还照这个裸照，像这个毕雷诺斯；有的人还跟他的养女发生这个特殊关系，像伍迪艾伦。这些都是我们1935年次的人，我今天以我六十岁的年龄来谈很多我的见闻，跟我对事情的举证，我想会有很多。
001.《李敖笑傲江湖》第一集.txt	41	我想今天我主要开的题目，就是第一个题目就谈最近最热门的一个新闻叫做吕安妮事件。吕安妮事件我是亲自参与，因为呢，我也讲过在8月底的时候。今年8月底，吕安妮透过了跟我一起坐牢的一个朋友叫做吴忠信，吴先生跟我们一起坐牢的（注《李敖回忆录》——监狱）。他出面找到我，在他出面找我以前呢，吕安妮为她台大考试不公，没有被录取，她已经做了很多努力。包括向监察院、立法院、台湾大学、教育部都陈情过，甚至她也写了律师信给对方。可是都不得要领，都石沉大海。
001.《李敖笑傲江湖》第一集.txt	73	这里一个关键，就是江炯聪传真里面说：说是吕同学，就是吕安妮，博士班入学考试的事情。他的意思就是告诉王文洋两点：第一点呢，“吾兄大错矣”，你错了，不管别人有没有先错；第二点呢，“吕同学”，就吕安妮，“对吾兄可能有毁灭的潜力”，毁灭他的潜力。他说我要提醒你。这个关键就在这个地方，然后江炯聪说，江炯聪也是他们系里面的教授。“不只是本次事件，包括其它方面，但希望弟判断错误”。
002.悲情满朝.txt	17	我给他一个排名表，大家看：叫做“爱哭面排名表”，谁在哭？第一名，马英九，自己承认自己哭名在外；第二名，宋楚瑜，宋楚瑜这好哭啊，从当年蒋经国死了以后，他就开始为了把李登辉哭成了主席，他当场在中常会就哭起来了，宋楚瑜也爱哭。马英九第一名，宋楚瑜第二名，这个爱哭的排名也正好是跟最近台湾所谓同性恋的他们做一个选举，同性恋的这些屁精们、屁哥儿们他们开始选举，选举他们的梦中情人。其中呢，马英九排名在前面，宋楚瑜也紧追其后。换句话说，在这些同性恋的眼中，你们这些小白脸式的这些屁精，就是他们的候选人。
002.悲情满朝.txt	21	6月25号我在《中国时报》看到一篇很好的文章。我李敖的眼里面很少会说别人的文章好，不过呢今天我夸奖一篇文章。这个文章叫做拿得起放得下，它的作者就是叫做“叶明勋”。叶明勋什么人呢？叶明勋就是现任的世界新闻传播学院的董事长。叶明勋先生严格讲跟我还有点交情，什么原因呢？我上次在谈到我的老师严侨的时候，就是女作家华严的哥哥的事情。我谈到我的老师严侨从大陆偷渡到台湾来以后，被国民党的特务抓到了。然后就问他：“你来台湾干什么呢？”严侨说：“我来投奔自由”。说你投奔自由，你台湾有没有人保你呢？他说我有一个妹夫，妹妹的丈夫，他可以保我，这个人就是叶明勋。叶明勋当时就很义气的保了他的大舅子，想不到啊大舅子是共产党。结果呢，大舅子坐了牢，叶明勋也垮下来。本来叶明勋可以做很大的官的。可是就因为很义气的保了他的大舅子，结果害的他在这方面，官场的前途啊，等于不是很顺利了。他是我所认识的老先生里面，我觉得他是最厚道的，最忠厚的，这个待朋友最好的一个人。
002.悲情满朝.txt	23	那时候他做文星杂志的发行人，我给文星杂志写文章，写了文章呢就山雨欲来，快闯祸了。结果他也是，他的发行人也做不下去了。后来胡秋原他们告我，连叶明勋先生也被告进去了，后来他们提前和解了。所以我跟胡秋原打官司一路打下来，打了十几年。这个我的老师严侨跟我，等于我们师徒二人都害了叶明勋先生。叶明勋先生现在情况很好，他做了世新的传播学院的董事长。他这篇文章谈到什么东西呢？谈到他说他在台湾哪，很有趣。他说“报载各部会首长办理移交的时候，若干首长有的牢骚满腹，有的面对着一群送别的老部属，声带呜咽，手遮泪眼，不胜依依”，“政府迁台以后，行政院的人事改组至少有十多次，我来宝岛五十年，很少看到这种情景，政务官忽上忽落，进退自如，从未闻像今日首长们那样情感丰富，洒下了离别之泪”。
