id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LAFD-001	keep-proofread	文学引文	独是这里的人很刁	《红楼梦》	《李敖放刁集》小引.txt	3	3	本书在相关章节使用或引录“独是这里的人很刁”，保留其可独立检索的文学引文性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-002	keep-proofread	中文成语	在劫难逃	传统成语	《李敖放刁集》小引.txt	3	3	本书在相关章节使用或引录“在劫难逃”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-003	keep-proofread	中文成语	瞒天过海	传统成语	001.驳台中市政府.txt	19	19	本书在相关章节使用或引录“瞒天过海”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-004	keep-proofread	中文熟语	不值一驳	中文熟语	001.驳台中市政府.txt	27	27	本书在相关章节使用或引录“不值一驳”，保留其可独立检索的中文熟语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-005	keep-proofread	古典成句	藏诸名山	传统藏书典故	001.驳台中市政府.txt	27	27	本书在相关章节使用或引录“藏诸名山”，保留其可独立检索的古典成句性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-006	keep-proofread	中文成语	孤陋寡闻	传统成语	001.驳台中市政府.txt	27	27	本书在相关章节使用或引录“孤陋寡闻”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-007	keep-proofread	中文成语	奇货可居	传统成语	001.驳台中市政府.txt	27	27	本书在相关章节使用或引录“奇货可居”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-008	add-proofread	中文成语	忍无可忍	传统成语	002.张桂贞控告张子源.txt	5	5	本书在相关章节使用或引录“忍无可忍”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。 校对轮补入。
LAFD-009	keep-proofread	中文成语	希旨承风	传统成语	002.张桂贞控告张子源.txt	5	5	本书在相关章节使用或引录“希旨承风”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
LAFD-010	add-proofread	中文成语	功德圆满	佛教语汇转为通用成语	002.张桂贞控告张子源.txt	9	9	本书在相关章节使用或引录“功德圆满”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。 校对轮补入。
LAFD-011	add-proofread	中文熟语	滑天下之大稽	传统熟语	002.张桂贞控告张子源.txt	15	15	本书在相关章节使用或引录“滑天下之大稽”，保留其可独立检索的中文熟语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。 校对轮补入。
LAFD-012	keep-proofread	中文成语	一望而知	传统成语	003.驳斥台中市长林柏榕.txt	43	43	本书在相关章节使用或引录“一望而知”，保留其可独立检索的中文成语性质。	校对轮保守收录：《李敖放刁集》为诉状、答辩状、查禁书刊、诽谤与财务争议密集文本；现代党政口号、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律格言、文学引文和少量李敖式仿成语。
