id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LANF-001	keep-first-pass	佛教成语	不二法门	佛教语汇	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“不二法门”，保留其可独立检索的佛教成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-002	keep-first-pass	中文成语	春秋笔法	传统成语	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“春秋笔法”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-003	keep-first-pass	古典成句	吏士舞文弄法	《史记》	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“吏士舞文弄法”，保留其可独立检索的古典成句性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-004	keep-first-pass	古典成句	儒以文乱法	《韩非子》	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“儒以文乱法”，保留其可独立检索的古典成句性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-005	keep-first-pass	佛教成语	现身说法	佛教语汇	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“现身说法”，保留其可独立检索的佛教成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-006	keep-first-pass	中文成语	知法犯法	传统成语	《李敖弄法集》小引.txt	3	3	本书在相关章节使用或引录“知法犯法”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-007	keep-first-pass	中文成语	节外生枝	传统成语	001.一个联合造成的冤狱.txt	7	7	本书在相关章节使用或引录“节外生枝”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-008	keep-first-pass	中文成语	落井下石	传统成语	001.一个联合造成的冤狱.txt	7	7	本书在相关章节使用或引录“落井下石”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-009	keep-first-pass	中文成语	息事宁人	传统成语	001.一个联合造成的冤狱.txt	7	7	本书在相关章节使用或引录“息事宁人”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-010	keep-first-pass	中文成语	与人为善	传统成语	001.一个联合造成的冤狱.txt	7	7	本书在相关章节使用或引录“与人为善”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-011	keep-first-pass	中文熟语	一面之词	中文熟语	001.一个联合造成的冤狱.txt	9	9	本书在相关章节使用或引录“一面之词”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-012	keep-first-pass	中文成语	恍然大悟	传统成语	001.一个联合造成的冤狱.txt	73	73	本书在相关章节使用或引录“恍然大悟”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-013	keep-first-pass	中文成语	差强人意	传统成语	001.一个联合造成的冤狱.txt	129	129	本书在相关章节使用或引录“差强人意”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-014	keep-first-pass	中文成语	仗义执言	传统成语	001.一个联合造成的冤狱.txt	129	129	本书在相关章节使用或引录“仗义执言”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-015	keep-first-pass	中文成语	大处着眼	传统成语	003.给林洋港先生上一课.txt	21	21	本书在相关章节使用或引录“大处着眼”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-016	keep-first-pass	中文法理格言	宁纵毋枉	传统法理熟语	003.给林洋港先生上一课.txt	21	21	本书在相关章节使用或引录“宁纵毋枉”，保留其可独立检索的中文法理格言性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-017	keep-first-pass	中文成语	枉费心思	传统成语	003.给林洋港先生上一课.txt	21	21	本书在相关章节使用或引录“枉费心思”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-018	keep-first-pass	中文熟语	一时一地	中文熟语	003.给林洋港先生上一课.txt	21	21	本书在相关章节使用或引录“一时一地”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-019	keep-first-pass	古典名句	先天下之忧而忧	范仲淹《岳阳楼记》	003.给林洋港先生上一课.txt	23	23	本书在相关章节使用或引录“先天下之忧而忧”，保留其可独立检索的古典名句性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
LANF-020	keep-first-pass	中文熟语	化大为小，化小为无	中文熟语	003.给林洋港先生上一课.txt	67	67	本书在相关章节使用或引录“化大为小，化小为无”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖弄法集》为法律个案、司法攻防、机关函件与现代党政人物议题密集文本；现代党政口号、政策判断、司法诉求、机关法条、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法理格言、文学引文和少量李敖式题句。
