file	line	text	context
《李敖风流自传》目录.txt	75	那破碎的战场	073.陈云裳与“那破碎的战场”
《李敖风流自传》目录.txt	210	中华台湾民主国	208.所谓“中华台湾民主国”
《李敖风流自传》目录.txt	679	Jeff Ao	李敖影音E书QQ群578505007：不自由的自由（wjm_tcy）与“Jeff Ao”联合制作！
001.《李敖风流自传》破题.txt	9	八十孩儿	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	9	文采风流今尚存	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	9	文采风流	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	9	后之视今，亦犹今之视昔	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	9	今之视昔	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	9	后之视今	宋朝有个风俗，叫“八十孩儿”。小孩出生，为了盼他长寿，在他脑门子上写“八十”两个大红字，以讨吉利。现在我真的活到八十岁了，脑门子上要写，得写“八百”才过癮了。看来“八百”是活不到了，但写几百条浮生杂忆是没问题的，于是我花四十天写它几百条。因为是浮生杂忆，不求齐全，随笔而为，尽得风流。书名原拟《李敖八十风流录》，嫌八十太老气，改为《李敖风流自传》。由于写法太破格，也可叫作《李敖浮生缤纷录》。看来破格的马劳（Andre Malraux）的《反回忆录》（Antimemoires）、葛拉斯（Gunter Grass）的《我的世纪》（Mein Jahrhundert）都写得太规矩了。唐朝诗人写“文采风流今尚存”，是吹牛的，实际上，他们的“文采风流”，直到李敖身上方得实现。“后之视今，亦犹今之视昔”，“今之视昔”者，我也；“后之视今”者，有乎哉？没有也。千山独行，千古一人，广陵之散，从此绝矣！
001.《李敖风流自传》破题.txt	11	Jeff Ao	李敖影音E书QQ群578505007：不自由的自由（wjm_tcy）与“Jeff Ao”联合制作！
