score	file	line	text	context
4	002.第一幕——夏至.txt	53	史子文啊！我们知道你是老共，你今天落网了，赶快承认了帐，免得受苦。	史处长：什么优待？那些问案的，一开口就说：“史子文啊！我们知道你是老共，你今天落网了，赶快承认了帐，免得受苦。”我一否认，他们就拍案怒骂，连十八代祖宗都被他们侮辱了。有一个二十来岁的小鬼，他当我的孙子还差不多哩！居然对我说：“史老先生，我老实告诉你：我们局长做事是很果决的，他交给我们办的案子，都是只许成功、不许失败的。你看，被我们请进来的人，哪一个可以不认罪...
8	002.第一幕——夏至.txt	57	我们办案还靠证据吗？你想一想，过去你是怎么办案的？	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。...
7	002.第一幕——夏至.txt	57	说我是共产党，你们要拿出证据来。	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。...
6	002.第一幕——夏至.txt	57	我们是自己人啊！	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。...
6	002.第一幕——夏至.txt	57	自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。...
3	002.第一幕——夏至.txt	57	跛脚蛤蟆	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。...
5	002.第一幕——夏至.txt	77	人生自古谁无死，留取丹心照汗青	史处长：我的父亲、伯叔、堂兄等，为国民党而死，被共产党杀了，国民党不领情、不认帐。而今，我被国民党指为共产党了，万一因此而死，我这个冒牌的，人家共产党还不是照样不领情、不认帐。虽然说“人生自古谁无死，留取丹心照汗青”，但我们究竟为谁而死的啊？留什么丹心照给谁啊？
3	002.第一幕——夏至.txt	81	猪八戒照镜子——里外不是人	史处长：唉！又国又共，真国假共，里国外共，“猪八戒照镜子——里外不是人”！连做假共产党都是杂牌的呀！
8	002.第一幕——夏至.txt	85	姓华的，你有几个爸爸？	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把...
8	002.第一幕——夏至.txt	85	混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把...
7	002.第一幕——夏至.txt	85	好了，好了，这游戏不玩了，换别的。	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把...
7	002.第一幕——夏至.txt	85	一天只须交代一件事，这件事必须是我们认为有价值的，否则不打开。	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把...
