id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LAGTWRNK-001	keep-initial	左传名句	立德、立功、立言	《左传·襄公二十四年》三不朽语	001.孙子媚国民党，爷爷媚日本人.txt	5	5	李敖引用古人三不朽说法中的立德、立功、立言。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-002	keep-initial	题辞成句	名山绝业	《台湾通史》日文原版题辞	001.孙子媚国民党，爷爷媚日本人.txt	19	19	李敖列举《台湾通史》题字，保存名山绝业一语。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。 仅收题辞本体，不收同段历史政治评价。
LAGTWRNK-003	keep-initial	论语成句	温故知新	《论语·为政》	001.孙子媚国民党，爷爷媚日本人.txt	19	19	李敖列举《台湾通史》原版题字时保存温故知新成句。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。 仅收成句本体，不收同段现代台湾史与民族大义论述。
LAGTWRNK-004	keep-initial	成语题辞	文献可征	《台湾通史》原版题辞	001.孙子媚国民党，爷爷媚日本人.txt	19	19	李敖列举《台湾通史》题字，保存文献可征成语。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。 仅收成句本体，不收同段历史政治评价。
LAGTWRNK-005	keep-initial	古典成语	鱼烂河决	中文成语	003.辜振甫的信誉问题.txt	13	13	李敖借鱼烂河决成语，写债务局面腐败崩坏、不可收拾。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-006	keep-initial	现代经济成句	地阔钱穷	Land Rich, Cash Poor	003.辜振甫的信誉问题.txt	23	23	李敖转述以地阔钱穷形容资产多而现金困窘的状态。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-007	keep-initial	魏晋文句	观其姓名，已为鬼录，追思昔游，犹在心目	曹丕《与吴质书》	005.你不能只说一半.txt	29	29	李敖引用曹丕致吴质书语，写旧友凋零后追念往游。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-008	keep-initial	儒家成句	达则兼济天下	《孟子·尽心上》相关成句	005.你不能只说一半.txt	31	31	李敖引用孟子成句，说明得志时兼善天下的理想。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-009	keep-initial	儒家名句	己欲立而立人，己欲达而达人	《论语·雍也》	005.你不能只说一半.txt	31	31	李敖引用儒家成句，说明成己成人、达己达人之胸襟。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
LAGTWRNK-010	keep-initial	清诗名句	一曲高歌一樽酒，一人独钓一江秋	王渔洋诗句	005.你不能只说一半.txt	51	51	李敖引用王渔洋诗句，写寂寞而高洁的审美境界。	首轮保守收入：《给台湾人难看》以台湾政党、人物、媒体、司法与选举攻防为主；现代政治宣言、新闻评论、法规条文、党派攻防、人物政论、统独/民主/人权/司法口号不收，只保留句子本体可独立检索的古典成句、诗文、俗谚、宗教与外国格言。
