file	line	quote	context
《李敖弄法集》小引.txt	3	不二法门	《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。
《李敖弄法集》小引.txt	3	现身说法	《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。
001.一个联合造成的冤狱.txt	7	节外生枝	案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听
001.一个联合造成的冤狱.txt	7	落井下石	案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听
001.一个联合造成的冤狱.txt	7	息事宁人	案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听
001.一个联合造成的冤狱.txt	7	与人为善	案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听
001.一个联合造成的冤狱.txt	9	一面之词	疑点1：□□□当年骗失身于他的女友一起殉情，等女友先上了吊，他却潜逃，并假造女友遗书脱罪。此人人品如何，刑警队人证俱在。此次诬告，竟由刑警队协助出面，而不直经法院程序，并完全采信□□□一面之词。
001.一个联合造成的冤狱.txt	11	息事宁人	疑点2：刑警队胁迫证人伪证。如证人马淑芬抵美后，在“马淑芬亲笔证词”中翻供，指出：“……刑警队气氛离奇，本人又不明法律，且无律师在旁保护，为恐一被缠讼，将误行期。故在刑警队仓促所陈，多出之保留方式。但求一时息事宁人，多以问李敖为归。故紧迫之时，由刑警写定由本人签署之文件，若与本人在自由时空内自动表达之文件有出入者，自以后者为准，方合情理。”可见当时刑警队如何向证人胁迫不利于李敖的证词。
001.一个联合造成的冤狱.txt	21	一面之词	疑点7：刑警队从未与我照面，即将一面之词成立，移送地检处。
001.一个联合造成的冤狱.txt	53	一面之词	一、采证只听一面之词，竟凭“臆测”断案；
001.一个联合造成的冤狱.txt	73	恍然大悟	疑点26：我细查郭监狱官拿给我这封信，信封上我写的收件人“第三组组长先生”左方居然有铅笔批“已走07.14”的字样，我才恍然大悟， 我的疑云重重并非没有根据！
