id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAYJJ-001,李敖演讲集,19601027军队演讲,001.19601027军队演讲.txt,19,19,为政不在多言，顾力行何如耳。,古典格言,汉代故事,李敖讲实践诚实荣誉时引古人答语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-002,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,37,37,暮投石壕村，有吏夜捉人,唐诗,杜甫《石壕吏》,李敖讲抓丁时引用杜甫诗。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-003,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,37,37,老翁逾墙走，老妇出看门,唐诗,杜甫《石壕吏》,李敖继续引《石壕吏》并说明字句。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-004,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,37,37,出入无完裙,唐诗,杜甫《石壕吏》,李敖引《石壕吏》说明无衣之苦。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-005,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,39,39,云南望乡鬼,唐诗,白居易《新丰折臂翁》,李敖讲避兵故事时引用白居易诗句。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-006,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,93,93,子不语怪力乱神,古典文句,《论语》,李敖批评公开谈迷信时引孔子语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-007,李敖演讲集,19890414李敖来台40周年演讲,003.19890414李敖来台40周年演讲.txt,161,161,穷则独善其身，达则兼济天下。,儒家格言,《孟子》,李敖回答听众时引用儒家处世语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-008,李敖演讲集,19901029李敖全美华人协会颁奖典礼录音演讲,004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,21,21,在齐太史简，在晋董狐笔,古典诗句,文天祥《正气歌》,李敖讲董狐笔时引用《正气歌》。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-009,李敖演讲集,19901029李敖全美华人协会颁奖典礼录音演讲,004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,23,23,立孤与死孰难？,古典文句,《史记》赵氏孤儿故事,李敖讲赵氏孤儿时引公孙杵臼语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-010,李敖演讲集,19901029李敖全美华人协会颁奖典礼录音演讲,004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,23,23,死易，立孤难耳！,古典文句,《史记》赵氏孤儿故事,李敖讲赵氏孤儿时引程婴答语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-011,李敖演讲集,19901029李敖全美华人协会颁奖典礼录音演讲,004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,23,23,赵氏先君遇子厚，子强为其难者，吾为其易者，请先死。,古典文句,《史记》赵氏孤儿故事,李敖讲程婴、公孙杵臼分任难易时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-012,李敖演讲集,1992年李敖社会大学演讲,005.1992年李敖社会大学演讲.txt,35,35,虽有镃基，不如待时；虽有智慧，不如乘势。,儒家格言,《孟子》,李敖借《孟子》说明智慧与时势的关系。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。 源文作“镃基”。
LAYJJ-013,李敖演讲集,19990509李敖来台50周年演讲,006.19990509李敖来台50周年演讲.txt,211,211,化祸而为福，转败而为功,史传格言,《史记·管晏列传》,李敖谈机会主义时引管子本领。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-014,李敖演讲集,19990509李敖来台50周年演讲,006.19990509李敖来台50周年演讲.txt,215,215,樽前作剧莫相笑，我死诸君思我狂,宋诗,陆游诗句,李敖演讲结尾引用陆游诗。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-015,李敖演讲集,19990509李敖来台50周年演讲,006.19990509李敖来台50周年演讲.txt,219,219,故人有子尚饘粥，抱君等身大著作,清诗,龚自珍诗句,李敖展示《李敖大全集》时引龚自珍诗。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-016,李敖演讲集,19991110李敖中山大学演讲,010.19991110李敖中山大学演讲.txt,19,19,一轮红日当空高，千家白旗随风飘。搢绅耆老相招邀，夹跪道旁俯折腰。,近代诗句,黄遵宪《台湾行》,李敖讲甲午后台湾情形时引用黄遵宪诗。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-017,李敖演讲集,19991121李敖花莲演讲,012.19991121李敖花莲演讲.txt,43,43,死生有命，富贵在天,儒家格言,孔孟思想,李敖谈宿命、造命、正命时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-018,李敖演讲集,19991121李敖花莲演讲,012.19991121李敖花莲演讲.txt,43,43,舜何人也，予何人也，有为者亦若是,儒家格言,《孟子》,李敖说明儒家也重视努力时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-019,李敖演讲集,19991121李敖花莲演讲,012.19991121李敖花莲演讲.txt,43,43,君子不立于岩墙之下,儒家格言,《孟子》,李敖谈防患避祸时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-020,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,59,59,不是花园在你家里，是你家在花园里。,李敖广告语,李敖为花园新城所写广告词,李敖用作一流中文表达的例子。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-021,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,59,59,五十年来和五百年内，中国人写白话文的前三名是——李敖，李敖，李敖。,李敖格言,李敖自评,李敖说明自己广告式自评的语言效果。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-022,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,61,61,春风又绿江南岸，明月何时照我还,宋诗,王安石《泊船瓜洲》,李敖讲中文动词化与炼字时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-023,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,61,61,莫等闲、白了少年头，空悲切,宋词,岳飞《满江红》,李敖说明形容词作动词时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-024,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,61,61,红了樱桃，绿了芭蕉,宋词,蒋捷词句,李敖说明中文活用时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-025,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,61,61,临溪而渔，溪深而鱼肥，酿泉为酒，泉香而酒洌,古文,欧阳修《醉翁亭记》,李敖讲欧阳修炼句时引用今本。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-026,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,61,61,酒洌而泉香,古文异文,欧阳修《醉翁亭记》旧刻异文,李敖讲欧阳修改句时引用旧文。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-027,李敖演讲集,19991123李敖淡江大学演讲,013.19991123李敖淡江大学演讲.txt,65,65,不看你的眼，不看你的眉，看了心里都是你，忘了我是谁。,李敖歌词,李敖《忘了我是谁》,李敖谈自作歌词的简练表达。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-028,李敖演讲集,19991208李敖文化大学演讲,018.19991208李敖文化大学演讲.txt,23,45,不爱那么多，只爱一点点。别人的爱情像海深，我的爱情浅。不爱那么多，只爱一点点。别人的爱情像天长，我的爱情短。不爱那么多，只爱一点点。别人眉来又眼去，我只偷看你一眼。,李敖歌词,李敖《只爱一点点》,李敖在文化大学演讲中朗读自作歌词。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-029,李敖演讲集,19991221李敖中兴大学演讲,022.19991221李敖中兴大学演讲.txt,15,15,虽千万人吾往矣！,儒家格言,《孟子》,李敖回忆改革丧礼时引用勇气之语。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-030,李敖演讲集,19991221李敖中兴大学演讲,022.19991221李敖中兴大学演讲.txt,17,17,横眉冷对千夫指,现代诗句,鲁迅诗句,李敖谈突破观念时引用鲁迅诗。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-031,李敖演讲集,19991229李敖交通大学演讲,024.19991229李敖交通大学演讲.txt,63,63,知之为知之，不知为不知，是知也,儒家文句,《论语》,李敖回答学生时引用孔子语并重新解释求知态度。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。 校对轮补入：回扫候选池后确认句子本体属于非政治诗文、格言、俗语、歌诀或语言文字例句。
LAYJJ-032,李敖演讲集,20000104李敖师范大学演讲,025.20000104李敖师范大学演讲.txt,13,13,潘驴邓小贤,小说俗语,《水浒传》王婆语,李敖讲民间语言和古典小说口语时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。 校对轮补入：回扫候选池后确认句子本体属于非政治诗文、格言、俗语、歌诀或语言文字例句。 源文作“贤”，按源文保留。
LAYJJ-033,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,5,5,他们看不了多远，也看不了多深，可是谁能阻止对沧海凝神。,外国诗句,罗伯特·弗罗斯特《不远也不深》,李敖讲从陆地看海洋时转述弗罗斯特诗意。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-034,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,7,7,不出户，知天下,道家文句,《老子》,李敖讲思想境界时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-035,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,7,7,至小无内,道家文句,庄子思想,李敖讲大小极限时引用古人说法。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-036,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,7,7,至大无外,道家文句,庄子思想,李敖讲大小极限时引用古人说法。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-037,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,11,11,增一分太肥，减一分太瘦,古典文句,宋玉《登徒子好色赋》,李敖讲好中文要恰到好处时引用。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
LAYJJ-038,李敖演讲集,20000106李敖海洋大学演讲,026.20000106李敖海洋大学演讲.txt,11,11,对好的文学家而言，没有同义字。,外国格言,福楼拜文论,李敖讲精确用字时转述福楼拜。,首轮保守收入：本书演讲、记者会、政见与政论问答交错；只收句子本体可独立成立的诗文、格言、谚语、文论、歌词和外文名句，党派口号与政治判断不收。
