id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAFAD-001,李敖发电集,1999年12月1日,001.1999年12月1日.txt,17,17,人死为大,传统俗语,中国俗语,李敖引出并反驳“人死为大”的旧俗语，句子本体为传统丧葬伦理中的通行说法。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-002,李敖发电集,1999年12月3日,003.1999年12月3日.txt,17,17,烦恼皆因强出头,传统俗语,传统老话,李敖明称此句为老话；校对复核按句子本体收作通用处世格言。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：虽出现在现代政论段落中，但 quote_text 本体不含现代政治判断。
LAFAD-003,李敖发电集,1999年12月3日,003.1999年12月3日.txt,17,17,既不能令、又不受命,儒家文句,《孟子》文句,李敖引孟子语形容既不能发号施令又不肯接受命令的两难状态。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：古典文句本体可独立成立，未收现代政治判断部分。
LAFAD-004,李敖发电集,1999年12月10日,008.1999年12月10日.txt,9,9,我五十几看到美女，还动手；可是六十几看到美女，我只动心而已。,李敖幽默语,李敖,李敖回答年龄差异时说出的自嘲式幽默文句。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-005,李敖发电集,1999年12月13日,009.1999年12月13日.txt,9,9,自然最怕虚空,外国哲学格言,莱布尼兹语,李敖谈教育空谈时引用莱布尼兹语，以“虚空”比喻内容空洞。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-006,李敖发电集,1999年12月16日,012.1999年12月16日.txt,31,31,水深波浪阔，无使狡龙得,唐诗句,杜甫《梦李白》诗句,李敖引用杜甫诗句，借其波阔龙狡的意象提醒处境险峻。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-007,李敖发电集,1999年12月16日,012.1999年12月16日.txt,37,37,真的假不了，假的真不了,俗语格言,警总问案口头禅，李敖称为十字真言,李敖称这句口头禅“不以人废言，亦有至理”，作为辨真假之格言保留。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-008,李敖发电集,1999年12月20日,014.1999年12月20日.txt,27,27,大梦谁先觉,古典诗文成句,古典成句,李敖借古人成句转入自己的文字游戏，用来谈观念开放与醒觉。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-009,李敖发电集,1999年12月20日,014.1999年12月20日.txt,27,27,大梦即先觉,李敖改句,李敖改“大梦谁先觉”,李敖把古典成句改作“大梦即先觉”，形成睡觉与先觉的谐趣转折。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-010,李敖发电集,1999年12月22日,016.1999年12月22日.txt,49,49,近水楼台先得月,传统成语,传统成语,原文以“所谓”引出此成语，说明亲近处境带来的情感便利。,首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
