id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAZHXJ-003,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,23,23,架上书籍，概不外借。,书斋题字/警句,徐复观家中墙上题字,李敖回忆徐复观家客厅藏书，用这句题字保存旧式学人惜书如命的生活细节。,
LAZHXJ-004,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,27,27,书要看第一流的，一遍又一遍读。,治学格言,钱穆语,钱穆向少年李敖谈治国学方法，强调读第一流原典并反复研读。,
LAZHXJ-005,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,27,27,与其十本书读一遍，不如一本书读十遍。,治学格言,钱穆语,李敖记录钱穆的读书法，以此呈现钱穆重深读而不重泛览的治学取向。,
LAZHXJ-006,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,27,27,读书时要庄重，静心凝神，能静心凝神，任何喧闹的场合都可读书，否则走马看花，等于白读。,治学格言,钱穆语,钱穆把读书的关键放在庄重与专注，李敖据此写出他早年接受的学术训练。,
LAZHXJ-007,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,29,29,知之为知之，不知为不知,儒家名句,《论语·为政》,李敖以《论语》成句称赞钱穆不耻下问，同时转而提出对钱穆学问广度的疑问。,
LAZHXJ-008,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,43,43,学问之事，首贵有恒心，其次则防骄气,治学格言,钱穆致李敖信,钱穆在信中勉励青年李敖治学须有恒并防骄，李敖借此呈现二人早年师生式往来。,
LAZHXJ-009,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,43,43,小有所成，志得意满，中道而止，虽有聪秀之质，犯此二病，终不能有远到之望,治学格言,钱穆致李敖信,钱穆提醒李敖不要因聪明和小成就自满，李敖用原信保留钱穆的教育口吻。,
LAZHXJ-010,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,43,43,当知学问与德性实为一事，学问之造诣，必以德性之修养为根基，亦以德性之修养为限度，苟忽于德性，则学问终难深入,治学格言,钱穆致李敖信,钱穆把学问和德性合一，李敖全文转录后再反观钱穆晚年的政治依附。,
LAZHXJ-011,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,57,57,未有民族文化已衰息断绝，而其国家之生命犹得长存者。,现代史学名言,钱穆《国史大纲》引论,李敖引用钱穆早年的文化国家论，随后与钱穆两年后的说法相互对照。,
LAZHXJ-012,李敖自传与回忆续集,004.“一朝眉羽成，钻破亦在我”,004.“一朝眉羽成，钻破亦在我”.txt,57,57,中国国家民族虽得存在，而中国传统文化则仍将失其存在,现代史学论断,钱穆《中国文化史导论》,李敖引用钱穆后来的说法，指出其民族文化与国家兴亡论述前后摇摆。,
