score	file	line	text	context
5	《大学后期日记乙集》前记.txt	15	反抗腐败教育对我压迫的精神	乙集后面附录了一封妙信，是我写给钱思亮校长的。从这封信中，读者多少可以想见钱思亮诸公颟顸腐败的一面。大学生在他们这批人的手里，大学生怎么不完蛋？我在《〈大学后期日记甲集〉前记》中，已经指出我在日记中的一种“反抗腐败教育对我压迫的精神”，我的反抗方法，表面上是消极的，骨子里却是积极的。写到这里，我忽然想到陆游的一首小诗，正好用来做我这阶段日记的描写——
3	001.1959年1月.txt	21	舍弃许多不属于你的东西	（一）马言该“舍弃许多不属于你的东西”，凡高得罪多人仍有其成就。人生不能肯定所有事。
6	001.1959年1月.txt	245	天才与世人的联系是其弱点	（七）人与人之间以弱点联系是不好的，要以优点联系。“天才与世人的联系是其弱点”。
3	001.1959年1月.txt	307	你这死样子！	四、我的鬼脸对人，洵美说：“你这死样子！”
4	001.1959年1月.txt	395	征求女友	六、台大有某君贴布告“征求女友”之妙举，诗以咏之：
3	001.1959年1月.txt	415	精子诗	三、“精子诗”：
3	001.1959年1月.txt	555	陈丢是王八！	“陈丢是王八！”
3	001.1959年1月.txt	745	李敖先生啊！你没结婚就想离婚！	三、与“神枪手”小谈，笑了半天，此女士亦一真爽人也！她开我玩笑说：“李敖先生啊！你没结婚就想离婚！”
4	001.1959年1月.txt	777	知识中求快乐	四、决定从知识里面找永恒的快乐，这是一个广袤深邃的世界，单在卡片箱旁，就看到了那个世界是何等的深远，我要养成在“知识中求快乐”的习惯，我过去虽读了不少书，可是还是不够，我做嗜书如命的人还不太够，我要再努力去做一个书虫。这是今晚的大决定。“万事莫如读书乐”，当永远记得这句口号。
4	001.1959年1月.txt	777	万事莫如读书乐	四、决定从知识里面找永恒的快乐，这是一个广袤深邃的世界，单在卡片箱旁，就看到了那个世界是何等的深远，我要养成在“知识中求快乐”的习惯，我过去虽读了不少书，可是还是不够，我做嗜书如命的人还不太够，我要再努力去做一个书虫。这是今晚的大决定。“万事莫如读书乐”，当永远记得这句口号。
4	001.1959年1月.txt	811	某一部分人	一、今天又有大变化，我深刻的感到我对所谓“朋友”的认识，太不够严格，而他们的“无耻”与“不懂事”今天都证明了，我感到非常的不快乐，我知道我过去那种待朋友的方法，在某几点上需要加以修正才行，譬如说在金钱上对“某一部分人”要一介不再予、不再取——此为人情上的清介（清楚、耿介）；又如尽量减少和“无意义的人”鬼谈鬼扯，做无意义的事……这些都是迫切的、必要的。我深深知...
4	001.1959年1月.txt	811	无意义的人	一、今天又有大变化，我深刻的感到我对所谓“朋友”的认识，太不够严格，而他们的“无耻”与“不懂事”今天都证明了，我感到非常的不快乐，我知道我过去那种待朋友的方法，在某几点上需要加以修正才行，譬如说在金钱上对“某一部分人”要一介不再予、不再取——此为人情上的清介（清楚、耿介）；又如尽量减少和“无意义的人”鬼谈鬼扯，做无意义的事……这些都是迫切的、必要的。我深深知...
3	001.1959年1月.txt	811	朋友	一、今天又有大变化，我深刻的感到我对所谓“朋友”的认识，太不够严格，而他们的“无耻”与“不懂事”今天都证明了，我感到非常的不快乐，我知道我过去那种待朋友的方法，在某几点上需要加以修正才行，譬如说在金钱上对“某一部分人”要一介不再予、不再取——此为人情上的清介（清楚、耿介）；又如尽量减少和“无意义的人”鬼谈鬼扯，做无意义的事……这些都是迫切的、必要的。我深深知...
3	001.1959年1月.txt	811	无耻	一、今天又有大变化，我深刻的感到我对所谓“朋友”的认识，太不够严格，而他们的“无耻”与“不懂事”今天都证明了，我感到非常的不快乐，我知道我过去那种待朋友的方法，在某几点上需要加以修正才行，譬如说在金钱上对“某一部分人”要一介不再予、不再取——此为人情上的清介（清楚、耿介）；又如尽量减少和“无意义的人”鬼谈鬼扯，做无意义的事……这些都是迫切的、必要的。我深深知...
5	001.1959年1月.txt	815	跟他们在一起绝对成不了什么气候	三、例如上下午胡跑了一阵，回想起来真是后悔，我觉得“跟他们在一起绝对成不了什么气候”。这句话是我的大收获。我真该醒醒了！
5	002.1959年2月.txt	57	要坚持在我们正在做的工作上，不管这个工作是多么的没有意义，要再接再厉，进而完成它	四、夜读Hater's Castle A. J. Cronin，作者一文述“完”之精神于皇冠，日后当多看此类新式新体裁之修养文字，实胜过十册旧教条式之修养书，“要坚持在我们正在做的工作上，不管这个工作是多么的没有意义，要再接再厉，进而完成它”。如罗耀拉在生命最后二十分钟内仍主张打完手上的球。
3	002.1959年2月.txt	99	什么是那虚无缥渺的理想？	三、我又深感我过去的路是对了，唉！“什么是那虚无缥渺的理想？”我简直是虚无主义了。数日狂热，今晚尽矣！
7	002.1959年2月.txt	125	你们阔老子阔不了，你们穷老子一定穷。	（八）所谓文人之言：“你们阔老子阔不了，你们穷老子一定穷。”
5	002.1959年2月.txt	151	己所不欲，勿施于人	三、我今午的一个大突变是真真想到在脾气上面的“己所不欲，勿施于人”，我此刻该做到的是：
3	002.1959年2月.txt	157	理性化的做人成功的人	（三）更多的礼貌、恕道与体贴（如跟耀祖打架、吾心中实忏悔）。我发愿要做成一个“理性化的做人成功的人”。
4	002.1959年2月.txt	189	朋友面前莫言假，老婆面前不说真。	五、李教官对我说他的人生观：“朋友面前莫言假，老婆面前不说真。”
5	002.1959年2月.txt	191	保持距离，以策安全	六、无论友情爱情皆要“保持距离，以策安全”。
3	002.1959年2月.txt	295	非狄更斯时代之英国	三、解冻，洗冷水浴，想到麦米伦“论我们试试看”与“非狄更斯时代之英国”等谈话。——西方人政治用语皆工巧，非如我们之枯燥八股也。
4	002.1959年2月.txt	313	有女朋友真麻烦，下棋还得故意输。	一、与周渝各吃冰淇淋三，牛肉包二。并把家存象牙棋一盒送他。因周渝说：“有女朋友真麻烦，下棋还得故意输。”所以我写道：“愿这盒象牙棋能使小周渝赢尽他所碰到的女孩子。四八、二、二五。棋王李敖。”
4	002.1959年2月.txt	313	愿这盒象牙棋能使小周渝赢尽他所碰到的女孩子。四八、二、二五。棋王李敖。	一、与周渝各吃冰淇淋三，牛肉包二。并把家存象牙棋一盒送他。因周渝说：“有女朋友真麻烦，下棋还得故意输。”所以我写道：“愿这盒象牙棋能使小周渝赢尽他所碰到的女孩子。四八、二、二五。棋王李敖。”
4	002.1959年2月.txt	321	深深的海水	（二）史一的Stone确是个可人的小丫头，两个眼睛，可比做新文艺中所谓的“深深的海水”。市女中毕业。忽焉在前，忽焉在后。
4	002.1959年2月.txt	323	我看到你，我觉得你和胡老先生一模一样。	（三）想不到Bonnie这么可爱——少妇型的，社会型的，黄色太空装。先说：“你昨天也去听讲演了吧？”我说：“是啊！”她说：“我看到你，我觉得你和胡老先生一模一样。”我说：“啊呀！不敢当，我要请客了！等黄淑兰给我压岁钱以后请客。”后来又碰到好几次，她和我都说有缘，后来又碰到一两次，她叫我一定要请客。我真有点喜欢她。
4	002.1959年2月.txt	323	啊呀！不敢当，我要请客了！等黄淑兰给我压岁钱以后请客。	（三）想不到Bonnie这么可爱——少妇型的，社会型的，黄色太空装。先说：“你昨天也去听讲演了吧？”我说：“是啊！”她说：“我看到你，我觉得你和胡老先生一模一样。”我说：“啊呀！不敢当，我要请客了！等黄淑兰给我压岁钱以后请客。”后来又碰到好几次，她和我都说有缘，后来又碰到一两次，她叫我一定要请客。我真有点喜欢她。
3	002.1959年2月.txt	323	你昨天也去听讲演了吧？	（三）想不到Bonnie这么可爱——少妇型的，社会型的，黄色太空装。先说：“你昨天也去听讲演了吧？”我说：“是啊！”她说：“我看到你，我觉得你和胡老先生一模一样。”我说：“啊呀！不敢当，我要请客了！等黄淑兰给我压岁钱以后请客。”后来又碰到好几次，她和我都说有缘，后来又碰到一两次，她叫我一定要请客。我真有点喜欢她。
4	002.1959年2月.txt	333	见到李敖，这是过年来第一高兴的事。	（八）萧启庆屡言跟我在一起之愉快，小丢日记写我：“见到李敖，这是过年来第一高兴的事。”戴之昂来信给英善谓：“李敖兄的沉闷的心情，虽然我也想为他分担一些，但对他说是未减分毫的，这都是由于我行也匆匆，未能有妥当的安排所致。虽然短短接触不多，我发觉敖兄确可深交。”
