file	line	matched_quote	previous_id	previous_book	previous_source	context
001.第一条多了什么？.txt	27	曲学阿世	LAMS-033	我梦碎，所以我梦醒	021.《宪法》梦碎.txt:43-43	看到了吧！一九四六年就已有了的清楚立论，国民党统治下的学者们竟然还事后卧倒，大开倒车，只敢言删林肯的“民有民治民享”，而不敢言删孙中山的“三民主义”！这种曲学阿世、这种舍本逐末，岂不太羞羞羞羞了吗？
001.第一条多了什么？.txt	27	曲学阿世	LAMS-037	我梦碎，所以我梦醒	024.“政体”梦碎.txt:21-21	看到了吧！一九四六年就已有了的清楚立论，国民党统治下的学者们竟然还事后卧倒，大开倒车，只敢言删林肯的“民有民治民享”，而不敢言删孙中山的“三民主义”！这种曲学阿世、这种舍本逐末，岂不太羞羞羞羞了吗？
001.第一条多了什么？.txt	27	曲学阿世	LAXK-039	李敖新刊	025.解严、解严、越解越严.txt:9-9	看到了吧！一九四六年就已有了的清楚立论，国民党统治下的学者们竟然还事后卧倒，大开倒车，只敢言删林肯的“民有民治民享”，而不敢言删孙中山的“三民主义”！这种曲学阿世、这种舍本逐末，岂不太羞羞羞羞了吗？
001.第一条多了什么？.txt	29	一针见血	LASXQA-049	为中国思想趋向求答案	002.给谈中西文化的人看看病.txt:211-211	《大公报》的社论，对三民主义的“不可捉摸”、“尚无明确的定义”一点，予以点破，正是这篇文章的一针见血之举。四十年前的文章，如今把它出土重刊，以拦国民党清一色的和（胡），真是我李敖的功德一件！
001.第一条多了什么？.txt	29	一针见血	LAWSTM-046	我是天安门	035.为西藏问题求真相.txt:19-19	《大公报》的社论，对三民主义的“不可捉摸”、“尚无明确的定义”一点，予以点破，正是这篇文章的一针见血之举。四十年前的文章，如今把它出土重刊，以拦国民党清一色的和（胡），真是我李敖的功德一件！
001.第一条多了什么？.txt	29	一针见血	LABD-069	你笨蛋，你笨蛋	020.《李敖大全集》大陆新版序.txt:13-13	《大公报》的社论，对三民主义的“不可捉摸”、“尚无明确的定义”一点，予以点破，正是这篇文章的一针见血之举。四十年前的文章，如今把它出土重刊，以拦国民党清一色的和（胡），真是我李敖的功德一件！
001.第一条多了什么？.txt	29	一针见血	LAMS-061	我梦碎，所以我梦醒	038.“五四”梦碎.txt:7-7	《大公报》的社论，对三民主义的“不可捉摸”、“尚无明确的定义”一点，予以点破，正是这篇文章的一针见血之举。四十年前的文章，如今把它出土重刊，以拦国民党清一色的和（胡），真是我李敖的功德一件！
003.三民主义口头禅.txt	13	挂羊头卖狗肉	LASXQA-061	为中国思想趋向求答案	002.给谈中西文化的人看看病.txt:285-285	所谓口头禅，本是不能领会禅理，只是口头上袭用禅宗和尚常用的语言。宋朝王楙《野客丛书》附录《王先生圹铭临终诗》，其中说“平生不学口头禅，脚踏实地性虚天”，就是指此。三民主义最后沦为口头禅，它本身的空中楼阁、窒碍难行，固非无因，但是国民党宁肯挂羊头卖狗肉，而一路作伪、言行不一，则是今天陷入死巷的当然结果。三民主义是连自己都统一不了的粗糙理论，国民党却要拿它统一中国，真是天下第一鲜！
003.三民主义口头禅.txt	13	挂羊头卖狗肉	LAWSTM-055	我是天安门	017.你是毛泽东.txt:53-53	所谓口头禅，本是不能领会禅理，只是口头上袭用禅宗和尚常用的语言。宋朝王楙《野客丛书》附录《王先生圹铭临终诗》，其中说“平生不学口头禅，脚踏实地性虚天”，就是指此。三民主义最后沦为口头禅，它本身的空中楼阁、窒碍难行，固非无因，但是国民党宁肯挂羊头卖狗肉，而一路作伪、言行不一，则是今天陷入死巷的当然结果。三民主义是连自己都统一不了的粗糙理论，国民党却要拿它统一中国，真是天下第一鲜！
003.三民主义口头禅.txt	13	挂羊头卖狗肉	LAWZYZH-080	为自由招魂	021.为什么涨价？.txt:7-7	所谓口头禅，本是不能领会禅理，只是口头上袭用禅宗和尚常用的语言。宋朝王楙《野客丛书》附录《王先生圹铭临终诗》，其中说“平生不学口头禅，脚踏实地性虚天”，就是指此。三民主义最后沦为口头禅，它本身的空中楼阁、窒碍难行，固非无因，但是国民党宁肯挂羊头卖狗肉，而一路作伪、言行不一，则是今天陷入死巷的当然结果。三民主义是连自己都统一不了的粗糙理论，国民党却要拿它统一中国，真是天下第一鲜！
003.三民主义口头禅.txt	13	挂羊头卖狗肉	LAMS-036	我梦碎，所以我梦醒	023.“遗教”梦碎.txt:5-5	所谓口头禅，本是不能领会禅理，只是口头上袭用禅宗和尚常用的语言。宋朝王楙《野客丛书》附录《王先生圹铭临终诗》，其中说“平生不学口头禅，脚踏实地性虚天”，就是指此。三民主义最后沦为口头禅，它本身的空中楼阁、窒碍难行，固非无因，但是国民党宁肯挂羊头卖狗肉，而一路作伪、言行不一，则是今天陷入死巷的当然结果。三民主义是连自己都统一不了的粗糙理论，国民党却要拿它统一中国，真是天下第一鲜！
