file	line	text
001.秘密书房泄密了.txt	3	李敖来了，红夹克又来了，可是《李敖笑傲江湖》不来了。为什么？《笑傲江湖》做满了一千集，我们认为应该告一段落，我们重新推出《李敖秘密书房》。《李敖笑傲江湖》是在摄影棚录制的，那个场面很壮观。可是比起《李敖秘密书房》来，在李敖书房里面录制，当然差得多了。这个意思就是说，我们的节目在精益求精，更在转变，更重要的是，请各位进入我的家，在李敖的秘密书房里面，来了解更多的秘密。有一点不同的是，因为是在我家录制，所以我会开玩笑：出了门以后，我概不认帐，在摄影棚录的，由真相负责。现在在我家录的，出了门以后，我概不负责。
001.秘密书房泄密了.txt	5	大家终于看到了，什么是真的书房。看了李敖的书房以后，我很自豪的，也很不客气的说：我的书房才真的是书房，看了李敖的书房以后，别人的书房只是样品屋。当然每个人有他自己书房的特色，可是这种特色跟李敖的书房比起来，根本不能比的。不过我要向大家解释，有的人书房其实也很简单，当然比我乱多了。请大家看一张图片，这个图片就是大科学家爱因斯坦的书房。背后一个黑板，书架上的书乱七八糟，书桌上乱七八糟。最后还放了一个烟斗，椅子，人走了以后，变成斜面的。他的书房的书并不多，什么原因呢？行业不同。他是物理学家，物理学家他所需要的书不像我们思想家或者历史家，这样子需要大量的书做为背景。所以他的书房比较简单，可是我的书房就不然。看了我的书房以后，你才发现它不是一个像花瓶一样的摆起来，看起来像一个花瓶式的书房，而是一个整个的制造智慧的一个工厂。
001.秘密书房泄密了.txt	7	我现在再给大家展示我另外一个书房的画面。我可以告诉各位，我有四个书房，今天你们看到的是最大的一个，我另外还有三个比较小型的书房。小型的书房看起来也很壮观，我给大家看一张照片。香港有一位有名的摄影家，也是导演，叫做杨凡。他出过一本书叫做《杨凡作品》，《杨凡作品》里面，他把大陆、香港、台湾一些有名的人士，他都到他们家里去拍照，或者出外景给他们拍照。选择的台湾的人很少，只有李敖和摄影大师郎静山几个人而已。当他到我家照我的书房的时候，这个书房是我在敦化南路一个十二楼的书房，不是现在这个书房，现在这个书房是二楼。他给我照了一张相，请大家看到这张相，杨凡照的，这是我在敦化南路的书房。书架、书，背后都是书，可是他做了一件错事情，就是他为了摄影的效果，把很多书很混乱的摆在地下，摆在沙发上，摆在我的眼前。
001.秘密书房泄密了.txt	11	在我的藏书里面，可以说卧虎藏龙，有很多想不到的书，其实我都有，并且有的书跟着我已经有五、六十年的历史，一直跟着我。我举个例子给大家看，像这个书，这本书就是我父亲当年的藏书。这是一个商务印书馆的一个版本的《资治通鉴》，请大家看，这个“海石藏书”。“海石藏书”是我父亲的藏书，他念北京大学的时候的藏书，这个版本是非常好的一个版本。很可惜这个书我们带到台湾来以后，由于我太穷，后来把它卖掉了。卖给谁呢？卖给我的好朋友，就是孙英善，当时这个书已经不完整了，所以就留下来一本做纪念，其它的书孙英善就买去了。买去了，就给他一些流亡同学来看，像中央研究院前任的近代史研究所的所长，也是我李敖的被告，像张玉法，他们都看过这个书。为什么他们看过呢？因为当年我们的书很缺乏，在我们念大学的时候，很缺书。所以这些书可以说嘉惠了这些当时看不到书的这些青年学生们，大家都看到了。原因是那个时候我们也没有影印机，大家都很穷，我们在找书的过程里面，遭遇到了很多的困难。所以我这个书当时很多，并且是累积下来的。
001.秘密书房泄密了.txt	13	我给大家看一本书，使大家知道我累积的方法。好比说像这本书，书名很怪，大家看到没有，叫做《玻璃仪器吹制法》。就是如何做一个化学实验的时候，做化学实验的这些玻璃器材，这瓶子怎么做。当时我这个书，大家看，上面还有一个图章，看到没有，叫做“李敖实验室”。请注意啊，这是我的“化工用书”，我自己分类分成“化工用书”。这个日期是三十八年2月，注意啊，我还在上海的时候。换句话说，大家注意，一个初中一年级的学生，当他对理科感兴趣的时候，他会收藏到这种《玻璃仪器吹制法》的这种书。而这种书你看看它的版权页，看到没有？三十六年12月初版的，换句话说，对我而言这个书是一本新书，刚出来一年多就被我买到，并且带到台湾来。这本书的证明了当年我对理科很感兴趣，可是后来我在台湾，因为无法恢复我的“李敖实验室”，我就开始转向了文科，因为这个实验室需要花很多钱。我在北京念小学的时候，就有一个实验室，自己做很多的化学实验。
001.秘密书房泄密了.txt	15	我再给大家看一本书，像这本书，这本书的名字叫做《国家》。可是大家看后面一个标志，什么标志？一个蝴蝶。这个蝴蝶代表什么？蝴蝶就代表当年上海商务印书馆卖出来的一批廉价书。所以当时我在上海买到了这批书，并且在看这个书。大家看我看这个书的方法，这个书因为太久了，纸都脆掉了。大家可以看到一些，看到没有，眉批，这是眉批，看到这些眉批没有？这是我在初中一年级写的字，就是我看了这些书写的眉批，密密麻麻的。我们可以看到这些眉批，看到没有？这些眉批，还有意见。好比说，假托名义，我在批评，假托名义会有。大家可以看到这些眉批，都是眉批。请大家看最后一段，证明什么呢？证明我什么时候看的这个书，请大家看，当时我写的这个字，写得很烂。你看看，民国三十九年，就是离现在四十九年以前，8月8日李敖批阅，看完了这个书还加个批评，于台中寄庐，在台中看完这个书。请注意喔，那个时候我是从上海到台湾，念初一没念完，在台湾就跳班念了初中二年级。那时候我看这个书的时候，是一个初中一、二年级的学生，看了这本书的名字叫做《国家》。
001.秘密书房泄密了.txt	17	我举这个例子告诉大家，我的知识层面多么早慧，在十四、五岁的时候，我可以看这种书了。现在的国中一年级学生怎么能够看到这种书，没有这种程度的，可是当年我有。我举这个例子给大家看，就是我这个书房本身，它不是一个说着玩的，它这里面记录了，也收藏了，我知识成长的历史，由这个地方可以看出来。随便我要拿出这个书给大家看，好比说我曾经展示过这本《开明少年》。这是李远哲一再提到的一本书，因为这本书里面有一个故事影响了李远哲的一生。李远哲跟我在台大同届，表示说这本书他看过，我也看过，可是他现在拿不出来了，他只能说这边有篇文章影响了他一辈子的，就是叫做《蓝色的毛毯》。这个《蓝色的毛毯》我已经，内容在我的节目里面讲过了。当我批评李远哲的时候，认为他背离了我们年轻时代的理想的时候，我会拿出来，看到没有，三十七年1月16日，就是1948年1月16号，这本书现在是五十一年了。换句话说，我可以保存了五十一年，今天拿出来给大家看，并且给李远哲看。
001.秘密书房泄密了.txt	19	同样的，当时出版的这些刊物，像《中学生》我也有，这种书有好多本好多本。我举这些例子给大家看，证明了，我喜欢书，喜欢收藏书，喜欢建立一个书房。对我而言，已经有五十年以上的历史。很可惜，我从中国大陆到台湾来，在1949年带了很多书，我在念台大的时候，因为穷困，我卖掉了很多。为了能够重新看到这些被我卖掉的书，我很多书卖给了图书馆。所以我有的时候，还可以在图书馆里面，重新看到这些当年被我卖掉的这些老朋友。后来我的经济情况改变，就慢慢累积了很多书，很多书是在台湾买到的。很多人以为你买不到，结果被我买到了。很多人以为不可能台湾有这个书，可是我证实了台湾有这个书，并且在我的手里。
001.秘密书房泄密了.txt	21	我向大家介绍这个《李敖秘密书房》，首先给大家亮一手，使大家看看，一个人在知识上成长的痕迹，是怎么样的走过从前。一般人走过从前以后，这个痕迹是空的，而我走过从前以后，这个痕跡落实，一直落实到现在。并且这些东西帮着我重新回忆从前，并且重新做了一些证据来证明我们怎么样的在过去走过来，怎么样的了解这五十年来中国和台湾的，乃至于世界的一些变化。当我讲出来的时候，都是凭证据。
001.秘密书房泄密了.txt	23	所以我跟大家，今天开放了这个秘密书房的一部分给大家看，就是告诉各位，有秘密，可是秘密是辛辛苦苦累积起来的，并不是靠着空头的买很多书放在那里，这个不行的。这些书跟我都有很多感情，甚至有些书跟我还有单独的一些故事。最后我把《李敖秘密书房》这个节目的型态跟大家讲一下，《李敖秘密书房》的播出时间比那一千集的《李敖笑傲江湖》，每天播出的时间要多一倍。前半段的时间是我一个人坐在这个椅子上面，坐在书桌前面，跟大家上下古今，洩露别人的和我的秘密，后半场是用我现在书房做为空间，请来男女老少、牛鬼蛇神，跟我在一起上天下地，又聊天，又辩论。所以《李敖秘密书房》里面，可以看到我一个人的表演，也可以看到我把这个门打开，来宾跟我的一些争执。所以非常好看，希望大家按时收看。
