id	source_file	line_start	line_end	category	quote_text	source_or_origin	summary	notes
LALYZTF-001	001.关于李远哲忘恩负义的讨论.txt	11	11	史记成语	孺子可教	《史记·留侯世家》	李敖借成语形容年轻学生有可教之资。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-002	001.关于李远哲忘恩负义的讨论.txt	11	11	典故化用	王门立雨	“程门立雪”典故化用	李敖以“王门立雨”化用程门立雪，形容学生向王企祥请教之恭敬。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。 只收典故化用本体，不收同段师生恩怨论辩。
LALYZTF-003	001.关于李远哲忘恩负义的讨论.txt	97	97	俗语成语	天外有天	中国俗语	潘毓刚用俗语说明学术见闻之外仍有更高境界。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-004	001.关于李远哲忘恩负义的讨论.txt	123	123	成语	饮水思源	中国成语	李敖借成语说明受恩者应记得恩源。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-005	001.关于李远哲忘恩负义的讨论.txt	175	175	成语	石沉大海	中国成语	李敖借成语形容书信或请求毫无回音。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。 校对轮补入：只收成语本体，不收同段现代学界人事争议。
LALYZTF-006	001.关于李远哲忘恩负义的讨论.txt	175	175	诗经成句	言笑晏晏	《诗经·卫风·氓》	李敖借《诗经》成句形容人际往来仍谈笑如常。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。 校对轮补入：只收古典成句本体，不收同段现代学界人事争议。
LALYZTF-007	001.关于李远哲忘恩负义的讨论.txt	267	267	俗语	此地不留爷，自有留爷处	中国俗语	李敖借俗语说明离开一处后仍可另觅安身之地。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-008	001.关于李远哲忘恩负义的讨论.txt	305	305	礼记文句	君子之爱人也，以德；细人之爱人也，以姑息	《礼记·檀弓上》	李敖借《礼记》成句区分以德相爱与姑息相护。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-009	006.李远哲有两个.txt	3	3	外国文学书名	化身博士	史蒂文生《化身博士》	李敖引用史蒂文生小说书名，作为人格分裂的文学典故。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
LALYZTF-010	006.李远哲有两个.txt	3	3	成语	判若两人	中国成语	李敖用成语概括前后形貌与人格差异极大。	首轮保守收入：本书为现代人物政论与学界争议集，候选人、党派、总统、国族、选举、政府机关、公文法令、学术行政攻防和现代人物攻击语录一律不收；只保留可脱离政论语境的古典诗文、文学典故、俗谚成语和非政治性格言。
