id	source_file	line_start	line_end	present	political_hits	quote_text
LALRW-001	001.我最佩服的一个国民党.txt	5	5	yes		功成名就
LALRW-002	001.我最佩服的一个国民党.txt	5	5	yes		绝无仅有
LALRW-003	001.我最佩服的一个国民党.txt	5	5	yes		年少通经，文极古藻，隽才也！
LALRW-004	001.我最佩服的一个国民党.txt	5	5	yes		养尊处优
LALRW-005	001.我最佩服的一个国民党.txt	5	5	yes		志不在此
LALRW-006	001.我最佩服的一个国民党.txt	11	11	yes		盖棺论定
LALRW-007	001.我最佩服的一个国民党.txt	11	11	yes		口蜜腹剑
LALRW-008	001.我最佩服的一个国民党.txt	11	11	yes		穷侈极欲
LALRW-009	001.我最佩服的一个国民党.txt	19	19	yes		轻描淡写
LALRW-010	001.我最佩服的一个国民党.txt	31	31	yes		非公莫属
LALRW-011	001.我最佩服的一个国民党.txt	31	31	yes		引咎辞职
LALRW-012	001.我最佩服的一个国民党.txt	35	35	yes		摧枯拉朽
LALRW-013	001.我最佩服的一个国民党.txt	35	35	yes		开诚布公
LALRW-014	001.我最佩服的一个国民党.txt	35	35	yes		小人知进而不知退
LALRW-015	001.我最佩服的一个国民党.txt	35	35	yes		一无所能
LALRW-016	001.我最佩服的一个国民党.txt	35	35	yes		有奶便是娘
LALRW-017	001.我最佩服的一个国民党.txt	35	35	yes		助纣为虐
LALRW-018	001.我最佩服的一个国民党.txt	47	47	yes		激昂慷慨
LALRW-019	001.我最佩服的一个国民党.txt	47	47	yes		是可忍孰不可忍
LALRW-020	001.我最佩服的一个国民党.txt	47	47	yes		雍容静穆
LALRW-021	001.我最佩服的一个国民党.txt	53	53	yes		不计是非，只计利害
LALRW-022	001.我最佩服的一个国民党.txt	53	53	yes		律己不苟而对人绝对放任
LALRW-023	001.我最佩服的一个国民党.txt	57	57	yes		不忍为同流合污之苟安
LALRW-024	001.我最佩服的一个国民党.txt	89	89	yes		何所不至
LALRW-025	001.我最佩服的一个国民党.txt	89	89	yes		无可奈何
LALRW-026	001.我最佩服的一个国民党.txt	117	117	yes		有所不为而后可以有为
LALRW-027	001.我最佩服的一个国民党.txt	119	119	yes		不降志，不辱身
LALRW-028	001.我最佩服的一个国民党.txt	119	119	yes		为要做人而钱有所不取、为要做人而官有所不做
LALRW-029	001.我最佩服的一个国民党.txt	149	149	yes		咄咄逼人
