id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LASHJQ-001,李敖书笺集,胡茵梦的“天性”问题,012.胡茵梦的“天性”问题.txt,11,11,说谎不是我的天性。,格言,胡茵梦语,关于人对自身天性的辩解。,保留为私人书信语境中的短句，未取其法律争议。
LASHJQ-002,李敖书笺集,胡茵梦的“天性”问题,012.胡茵梦的“天性”问题.txt,21,21,于人无益，于己有损,格言,李敖概括,指出一种做法既无益于人也有损自身。,
LASHJQ-003,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,13,13,这次不算，好汉重来,格言,俗语化表达,以重新来过回应一时失利。,
LASHJQ-004,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,15,15,恩怨分明,成语,成语,形容对恩与怨分辨清楚。,
LASHJQ-005,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,23,23,岁云暮矣,典故,古典语汇,岁末时节的文言表达。,
LASHJQ-006,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,23,23,何足道哉,成语,文言成语,表示不值得一提。,
LASHJQ-007,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,23,23,比比皆是,成语,成语,形容同类事物到处都是。,
LASHJQ-008,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,25,25,雪中送炭,成语,成语,比喻在急需时给予帮助。,
LASHJQ-009,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,25,25,雪中送肉,格言,李敖改写,用较夸张的说法强调实际援助。,与“雪中送炭”并列。
LASHJQ-010,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,25,25,一个人说要送炭给你时，不可轻信，要真正送了才算。,格言,李敖概括,强调承诺要以实际行为为准。,
LASHJQ-012,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,27,27,士别三日，就要刮目相待,典故,吕蒙典故,久别后应重新评价人的变化。,
LASHJQ-013,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,27,27,士别三十年，有目也休刮也,格言,李敖改写,反讽多年后仍无进步。,由“士别三日”化出。
LASHJQ-014,李敖书笺集,雪中送炭与雪中送肉,013.雪中送炭与雪中送肉.txt,27,27,一个人怎么可以这样没有进步？,格言,李敖概括,批评长期没有成长。,
LASHJQ-015,李敖书笺集,二十年后的一次通信,016.二十年后的一次通信.txt,7,7,纸短意长,成语,成语,文字虽短而情意很长。,
LASHJQ-016,李敖书笺集,二十年后的一次通信,016.二十年后的一次通信.txt,23,23,云林,典故,倪云林书画典故,以倪云林书画风格作典故。,
LASHJQ-017,李敖书笺集,谁露了奶头？,017.谁露了奶头？.txt,23,23,雅俗共赏,成语,成语,形容作品高雅与通俗趣味都能接受。,
LASHJQ-018,李敖书笺集,谁露了奶头？,017.谁露了奶头？.txt,23,23,皆大欢喜,成语,成语,大家都满意高兴。,
LASHJQ-019,李敖书笺集,谁露了奶头？,017.谁露了奶头？.txt,23,23,临奶欢喜，不知有汉,格言,李敖化用,以戏谑方式化用“不知有汉”。,
LASHJQ-020,李敖书笺集,揪出伪君子,025.揪出伪君子.txt,11,11,一个人要想高，想办法去高就是，老想踩住别人来垫高自己，那是要不得的行为。,格言,李敖概括,反对以贬低他人来抬高自己。,
LASHJQ-027,李敖书笺集,我决定管一次小事,028.我决定管一次小事.txt,19,19,大时代中的小事,格言,李敖概括,强调大背景中仍有值得处理的小事。,
LASHJQ-028,李敖书笺集,我决定管一次小事,028.我决定管一次小事.txt,19,19,忍气吞声,成语,成语,形容受气而不敢出声。,
LASHJQ-029,李敖书笺集,我决定管一次小事,028.我决定管一次小事.txt,19,19,打太极拳,俗语,俗语,比喻推来推去、不正面处理。,
LASHJQ-030,李敖书笺集,我决定管一次小事,028.我决定管一次小事.txt,19,19,我决定管一次小事,格言,李敖语,表达从具体小事入手的态度。,
LASHJQ-039,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,5,5,勤奋如此、有恒如此、锲而不舍如此、守此不去如此、江郎不才尽如此，真是古今中外第一人！,格言,李敖自述,以排比写长期坚持办刊写作。,
LASHJQ-040,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,9,11,"一月又一月，千秋五十期。水平连年好，调门总不低。
看花双手按，行文一脚踢。无尽灯长亮，五更做晨鸡。",诗文,李敖诗,以短诗记录《千秋评论》连出五十期。,
LASHJQ-041,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,13,13,有法门名无尽灯，汝等当学。,典故,《维摩诘经》,引佛经“无尽灯”法门。,
LASHJQ-042,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,13,13,一灯燃百千灯，冥者皆明，明终不尽。,典故,《维摩诘经》,以一灯传百千灯说明光明不尽。,
LASHJQ-043,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,13,13,夫一菩萨开导百千众生，令发阿耨多罗三藐三菩提心，于其道意，亦不灭尽，随所说法，而自增益一切善法，是名无尽灯也。,典故,《维摩诘经》,解释“无尽灯”之义。,
LASHJQ-044,李敖书笺集,“千秋评论”连出五十期了！,031.“千秋评论”连出五十期了！.txt,13,13,安西老守是禅僧，到处应然无尽灯。,诗文,苏轼诗句,引诗句承接无尽灯典故。,
LASHJQ-051,李敖书笺集,谁逼辜振甫还了债？,033.谁逼辜振甫还了债？.txt,33,33,所贵于天下之士者，为人排患、释难、解纷乱，而无所取也。,典故,《战国策》鲁仲连语,称贵重之士在于替人排难解纷而不取报酬。,
LASHJQ-053,李敖书笺集,谁逼辜振甫还了债？,033.谁逼辜振甫还了债？.txt,33,33,受之无愧,成语,成语,接受而不觉得惭愧。,
LASHJQ-054,李敖书笺集,谁逼辜振甫还了债？,033.谁逼辜振甫还了债？.txt,35,35,脸色苍白，呆若木鸡,成语,成语,形容惊愕或窘迫的神情。,
LASHJQ-055,李敖书笺集,关于三毛与雷三毛,034.关于三毛与雷三毛.txt,67,67,人间天堂的旁边还有着人间地狱,格言,李敖转述,以天堂与地狱并置写现实反差。,未收同篇背景性诗文。
LASHJQ-056,李敖书笺集,“好而知其恶，恶而知其美”,035.“好而知其恶，恶而知其美”.txt,1,1,好而知其恶，恶而知其美,典故,古典语句,喜欢一个人仍知道其缺点，厌恶一个人仍知道其长处。,
LASHJQ-058,李敖书笺集,“好而知其恶，恶而知其美”,035.“好而知其恶，恶而知其美”.txt,9,9,好而知其恶，恶而知其美者，天下鲜矣,典故,古典语句,称能兼见爱憎两面的态度很少见。,
LASHJQ-070,李敖书笺集,被嚼槟榔的吻了一下,037.被嚼槟榔的吻了一下.txt,9,9,梵志翻着袜，人皆道是错。乍可刺你眼，不可隐我脚。,诗文,王梵志诗,引王梵志诗写宁可碍人眼也不委屈自己。,
LASHJQ-074,李敖书笺集,成功在第三次,039.成功在第三次.txt,13,13,仇敌都不见，除却一寒冬,诗文,莎士比亚诗句译文,写唯一敌人只是寒冬。,
LASHJQ-075,李敖书笺集,成功在第三次,039.成功在第三次.txt,13,13,Here shall be see / No enemy / But winter and rough weather.,诗文,莎士比亚,莎士比亚诗句原文。,按底本保留 see。
LASHJQ-076,李敖书笺集,成功在第三次,039.成功在第三次.txt,15,15,如金光之加于落日,诗文,福尔摩斯信语译文,以落日加金光比喻晚年荣誉。,
LASHJQ-077,李敖书笺集,成功在第三次,039.成功在第三次.txt,15,15,I shall treasure it as adding gold to the sunset.,诗文,福尔摩斯信语,以加金于落日表达珍惜。,
LASHJQ-078,李敖书笺集,成功在第三次,039.成功在第三次.txt,21,21,朝夕读书，手不敢释卷、笔不敢停挥，自五十六岁以至今年七十四岁，日日如是而已。关门闭户，著书甚多，不暇接人，亦不暇去教人,格言,李贽语,写日日读书写作、闭户著书的状态。,
LASHJQ-079,李敖书笺集,成功在第三次,039.成功在第三次.txt,23,23,世俗之礼不行、世俗之人不交、世俗之论不畏，然后其势孤，势孤然后能中立（独立）,格言,刘继庄语,以孤立成就独立的论述。,
