file	line	text	context
001.《李敖全集》自序.txt	17	欧巴桑	“兹将其年来诽谤行为，根据初步不完全之统计，作成附表二。计其对个人指名之诽谤，自孔子以至胡适、钱穆，凡五十七人。其对集体之诽谤，自台湾大学文学院、中央研究院、孔孟学会、立法院、内政部、各大学中文系、全体研究中国文化者、全体较李敖年长之学人、全政府官吏、全国民党员，以至整个中华民族。谓孔子之像为‘恐怖’、将孔子思想与西门庆、魏忠贤，等列齐观。对研究孔子思想之人，除加以毒词秽语外，并谓‘早应打耳刮子’。对祭孔子之礼童，诋之为‘大鬼’。对主祭之台北市长，指为被杀作祭品之‘牺牲’。对胡适为‘大懵懂’，‘把文史学风带到这种迂腐不堪的境地’，‘脱不开乾嘉余孽的把戏’。指钱穆为‘大脑在休息，小脑正在反射’；‘近乎卜巫之间的人儿’。指台湾大学为‘分赃’、‘腐化’、‘遮羞完毕’、‘拼命捞钱’、‘与家里“欧巴桑”先奸后娶者有之；奸而不娶者有之’。骂年老一辈之学人都是‘吃闲饭黑心饭’、‘使他们的子孙因他们而感到羞耻’；‘我们不得不狠狠地打它几个耳刮子...
001.《李敖全集》自序.txt	29	李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时还是一个小孩子，什么都不懂，是这里长大的，但是他的看法仍然和我们有出入”（王拓：《党外的声音》访黄信介）
001.《李敖全集》自序.txt	29	难以见容与政府	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时还是一个小孩子，什么都不懂，是这里长大的，但是他的看法仍然和我们有出入”（王拓：《党外的声音》访黄信介）
001.《李敖全集》自序.txt	29	台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时还是一个小孩子，什么都不懂，是这里长大的，但是他的看法仍然和我们有出入	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时还是一个小孩子，什么都不懂，是这里长大的，但是他的看法仍然和我们有出入”（王拓：《党外的声音》访黄信介）
001.《李敖全集》自序.txt	43	难以见容与政府	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
001.《李敖全集》自序.txt	43	他的看法仍然和我们有出入	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
001.《李敖全集》自序.txt	43	生不逢时	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
001.《李敖全集》自序.txt	43	相见恨晚	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
001.《李敖全集》自序.txt	43	相见恨早	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
001.《李敖全集》自序.txt	43	人民公敌	可是李敖没有第二，就好像没有第二个英雄——一边“难以见容与政府”，一边“他的看法仍然和我们有出入”——一样。做为一个来自白山黑水的人、做为一个五叶神驰于人类忧患的人、做为一个思想才情独迈千古的人，我实在“生不逢时”。严格的说，我根本不属于这个时代，就好像耶稣不属于那个时代一样。我本该是五十年后才降世的人，因为我的境界，在这个岛上，至少超出五十年。我同许多敌友，不是“相见恨晚”，而是“相见恨早”。今天的窘局，只是他们妈妈小产和我妈妈早生的误差。这一误差，凑合了许多根本不该碰面的人碰在一起。也许，只有从这个谑画的角度来看我难以见容于这个岛，大家才舒服一点、开展一点，而做为“人民公敌”的我，也能苟活一点。
