file	line	matched_quote	previous_id	previous_book	previous_source	context
001.香港的机会，中国的机会.txt	63	中学为体，西学为用	LACTDB-067	传统下的独白	013.长袍心理学.txt:21-21	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	船坚炮利	LACW-129	李敖全集	033.新物与旧物.txt:11-11	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体，西学为用	LACW-137	李敖全集	034.被歪曲的革命家.txt:191-191	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体，西学为用	LAJYLP-094	教育与脸谱	007.李济：他的贡献和悲剧.txt:53-53	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	船坚炮利	LAWLDH-051	文化论战丹火录	002.文化论战丹火录.txt:1179-1179	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体、西学为用	LAWLDH-089	文化论战丹火录	002.文化论战丹火录.txt:2187-2187	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体，西学为用	LAWLDH-091	文化论战丹火录	002.文化论战丹火录.txt:2203-2203	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体	LAWLDH-093	文化论战丹火录	002.文化论战丹火录.txt:2207-2207	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体、西学为用	LAWLDH-101	文化论战丹火录	002.文化论战丹火录.txt:2275-2275	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体	LASXQA-011	为中国思想趋向求答案	002.给谈中西文化的人看看病.txt:25-25	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	船坚炮利	LASXQA-102	为中国思想趋向求答案	005.“文化太保”谈梅毒.txt:11-11	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体，西学为用	LASXQA-169	为中国思想趋向求答案	007.中国思想趋向的一个答案.txt:15-15	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	中学为体	LASXGJ-144	上下古今谈	051.西餐叉子吃人肉.txt:11-11	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	63	西学为用	LASXGJ-145	上下古今谈	051.西餐叉子吃人肉.txt:11-11	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
002.“谢谢你，帝国主义！”.txt	5	大哥莫话小弟	LAWC-160	李敖文存	017.《左舜生选集》序.txt:15-15	所以，帝国主义是人类的一种老毛病，实在没什么稀奇，任何民族搞统一、任何国家要强大，都难免借仗这一老毛病的发作，“大哥莫话小弟”，天下的乌鸦大哥，是不必见笑乌鸦小弟的。
002.“谢谢你，帝国主义！”.txt	5	大哥莫话小弟	LACW-162	李敖全集	034.被歪曲的革命家.txt:157-157	所以，帝国主义是人类的一种老毛病，实在没什么稀奇，任何民族搞统一、任何国家要强大，都难免借仗这一老毛病的发作，“大哥莫话小弟”，天下的乌鸦大哥，是不必见笑乌鸦小弟的。
002.“谢谢你，帝国主义！”.txt	23	江山易改，本性难移	LACW-145	李敖全集	015.副不副，副哉？副哉？.txt:69-69	问苏俄是不是帝国主义者？我毫不沉吟的答道：他是帝国主义的结晶，他是帝国主义的大魔王……俗语说的好：“江山易改，本性难移”《一国的国民性，可是换一面招牌就改得转来吗？俄国人玩的政治，对内只是专制，对外只是侵略，他们非如此不能过瘾。不管苏不苏，赤不赤，玩来玩去总是这一套，马克思便是化身的希腊正教上帝，列宁便是转轮再生的大彼得，全俄人民从前是“沙”的脚下草，现在便照例承袭充当执行委员的脚底泥，中国从前是“沙”的梦想汤沐邑，现在便是红旗底下得意的抛球场。苏俄啊！你要辨明你不是帝国主义吗？你哪一天把在中国的活动停息，我们那一天立刻就相信你，但是能吗？
002.“谢谢你，帝国主义！”.txt	51	礼仪之邦	LASXGJ-065	上下古今谈	021.瑞典与废娼.txt:11-11	帝国主义到中国来后，有所谓“租界”（settlement concession），租界是帝国主义在中国领土上画地为特区，不受中国政府管辖。乍看起来，这些特区是丧权辱国、是洋鬼子侵略我们，但是仔细一看租界中的政治，我们却会脸红的。洋鬼子虽然帝国主义，但在帝国主义之中，他们的许多良法美意，也都“侵略”而来。比如说：洋鬼子是主张言论自由的，他们欢迎办报，于是，办报传统与办报自由都素来可怜的中国人，便如鱼得水了。当年的《苏报》，便是其中之一。《苏报》的志士仁人们，在帝国主义的庇荫下攻击中国专制政府，骂满清皇帝是“小丑”等等，越骂越高兴。骂得专制政府吃不消了，就密电这个地区的封疆大吏，命令“着即拿办”。专制政府虽然大喊拿人，可是不得洋鬼子同意，拿不进去。专制政府于是跟洋鬼子打商量，洋鬼子也买几分账，但一看专制政府的严刑峻法，却不能赞同。原来专制政府“宽大”得没有《出版法》，只有“造妖书妖言”“大逆不道”等的罪名，要用这些法律办人，就要“不分首从，皆凌迟处死”。这下子把老外给吓坏了，老外没想到“礼仪之邦”的法律竟这样野蛮。照专制政府的法律，“凌迟处死”就是一刀一刀剐死，这样重的刑，洋鬼子是看不过去的。所以，洋鬼子只肯抓人，要办人、要审人...
002.“谢谢你，帝国主义！”.txt	55	选贤与能	LAWLDH-057	文化论战丹火录	002.文化论战丹火录.txt:1289-1289	何况，我们中国人所缺的，又岂是言论自由而已哉？我们喊了两千年的“哀此茕独”了，可是我们没有人道的照顾劳苦大众；我们喊了两千年的“泽及狱囚”了，可是我们没有不凌虐人犯的所在；我们喊了两千年的“选贤与能”了，可是我们没有研究出来一种合理的投票法；我们喊了两千年的“幼有所长”了，可是我们没有一所像样的育幼院；我们喊了两千年的“天下为公”了，可是我们的生殖器串连政治，却世袭到今天！……我们中国人所缺的，可太多了；我们中国人从自己人手里得不到的人权与人道、法治与法制、公平与公开、进步与进境，我们怎么也想不到，竟可得之于帝国主义之手、得之于“侵略”我们的洋鬼子之手，我们能不惭愧吗？
002.“谢谢你，帝国主义！”.txt	55	选贤与能	LASXQA-067	为中国思想趋向求答案	002.给谈中西文化的人看看病.txt:291-291	何况，我们中国人所缺的，又岂是言论自由而已哉？我们喊了两千年的“哀此茕独”了，可是我们没有人道的照顾劳苦大众；我们喊了两千年的“泽及狱囚”了，可是我们没有不凌虐人犯的所在；我们喊了两千年的“选贤与能”了，可是我们没有研究出来一种合理的投票法；我们喊了两千年的“幼有所长”了，可是我们没有一所像样的育幼院；我们喊了两千年的“天下为公”了，可是我们的生殖器串连政治，却世袭到今天！……我们中国人所缺的，可太多了；我们中国人从自己人手里得不到的人权与人道、法治与法制、公平与公开、进步与进境，我们怎么也想不到，竟可得之于帝国主义之手、得之于“侵略”我们的洋鬼子之手，我们能不惭愧吗？
002.“谢谢你，帝国主义！”.txt	55	幼有所长	LASXQA-068	为中国思想趋向求答案	002.给谈中西文化的人看看病.txt:291-291	何况，我们中国人所缺的，又岂是言论自由而已哉？我们喊了两千年的“哀此茕独”了，可是我们没有人道的照顾劳苦大众；我们喊了两千年的“泽及狱囚”了，可是我们没有不凌虐人犯的所在；我们喊了两千年的“选贤与能”了，可是我们没有研究出来一种合理的投票法；我们喊了两千年的“幼有所长”了，可是我们没有一所像样的育幼院；我们喊了两千年的“天下为公”了，可是我们的生殖器串连政治，却世袭到今天！……我们中国人所缺的，可太多了；我们中国人从自己人手里得不到的人权与人道、法治与法制、公平与公开、进步与进境，我们怎么也想不到，竟可得之于帝国主义之手、得之于“侵略”我们的洋鬼子之手，我们能不惭愧吗？
002.“谢谢你，帝国主义！”.txt	55	选贤与能	LASLXY-042	世论新语	028.吴俊才老天真.txt:5-5	何况，我们中国人所缺的，又岂是言论自由而已哉？我们喊了两千年的“哀此茕独”了，可是我们没有人道的照顾劳苦大众；我们喊了两千年的“泽及狱囚”了，可是我们没有不凌虐人犯的所在；我们喊了两千年的“选贤与能”了，可是我们没有研究出来一种合理的投票法；我们喊了两千年的“幼有所长”了，可是我们没有一所像样的育幼院；我们喊了两千年的“天下为公”了，可是我们的生殖器串连政治，却世袭到今天！……我们中国人所缺的，可太多了；我们中国人从自己人手里得不到的人权与人道、法治与法制、公平与公开、进步与进境，我们怎么也想不到，竟可得之于帝国主义之手、得之于“侵略”我们的洋鬼子之手，我们能不惭愧吗？
002.“谢谢你，帝国主义！”.txt	57	所过者化，所存者神	LAKYEC-045	李敖快意恩仇录	019.宣淫纪.txt:117-117	当然帝国主义者不是以平等待我之民族，但是，看看香港、看看英国“所过者化，所存者神”的经手成绩，我们忍不住要说：他们所过的残余、他们所存的下限，都多于我们自己所给的、都高于我们自己所定的，他们的“下驷”规格，都优于我们的“上驷”标准；他们的“殖民”待遇，都胜过我们的“大国民”水平，有时候，我们觉得我们除了“以做中国人为荣”外，其他能引以为荣的，竟不堪枚举，我们除了“爱国”、“民族”、“光荣”、“大义”这些引以自慰的抽象外，简直没有多少可以自豪的实绩了。做为中国人，这不太可怜了吗？
002.“谢谢你，帝国主义！”.txt	57	所过者化，所存者神	LAFLZ-128	李敖风流自传	660.小叶.txt:21-21	当然帝国主义者不是以平等待我之民族，但是，看看香港、看看英国“所过者化，所存者神”的经手成绩，我们忍不住要说：他们所过的残余、他们所存的下限，都多于我们自己所给的、都高于我们自己所定的，他们的“下驷”规格，都优于我们的“上驷”标准；他们的“殖民”待遇，都胜过我们的“大国民”水平，有时候，我们觉得我们除了“以做中国人为荣”外，其他能引以为荣的，竟不堪枚举，我们除了“爱国”、“民族”、“光荣”、“大义”这些引以自慰的抽象外，简直没有多少可以自豪的实绩了。做为中国人，这不太可怜了吗？
002.“谢谢你，帝国主义！”.txt	67	Give the devil his due.	LAYTAS-013	李敖议坛哀思录	022.我高潮，你刹车.txt:9-9	如今，最后的英国式帝国主义的象征，即将在香港落幕。我们回首前尘，在历数洋鬼子罪状之余，不妨也心平气和的公论一下是非。西方谚语说：“不掩没恶人长处。”（Give the devil his due.）在回首英国式帝国主义长处之后，我们中国人要想想、要想想：我们是不是还是要对不起自己人？当政者不做李鸿章是好的，但李鸿章有两个：一个是“宰相有权能割地”的李鸿章；一个是“孤臣无力可回天”的李鸿章，前者是对外国人的，后者是对自己人的。给中国带来领土上的光荣，是一回事；但在领土上使自己人感到比帝国主义好，是另一回事。“无力可回天”的无奈，不是我们的希望。在我们惜别英式帝国主义的前夜，让我们自勉之余，何妨也来点泱泱大国之风？让我们说一句：
002.“谢谢你，帝国主义！”.txt	67	Give the devil his due.	LAFLZ-117	李敖风流自传	622.不要对“共匪”不公道.txt:5-5	如今，最后的英国式帝国主义的象征，即将在香港落幕。我们回首前尘，在历数洋鬼子罪状之余，不妨也心平气和的公论一下是非。西方谚语说：“不掩没恶人长处。”（Give the devil his due.）在回首英国式帝国主义长处之后，我们中国人要想想、要想想：我们是不是还是要对不起自己人？当政者不做李鸿章是好的，但李鸿章有两个：一个是“宰相有权能割地”的李鸿章；一个是“孤臣无力可回天”的李鸿章，前者是对外国人的，后者是对自己人的。给中国带来领土上的光荣，是一回事；但在领土上使自己人感到比帝国主义好，是另一回事。“无力可回天”的无奈，不是我们的希望。在我们惜别英式帝国主义的前夜，让我们自勉之余，何妨也来点泱泱大国之风？让我们说一句：
