score	file	line	text	context
4	001.送高信疆归大陆序.txt	9	终吾生以徜徉	1200年前，韩愈写《送李愿归盘谷序》，写大丈夫人生方向的转折，最后“升高而望远”“终吾生以徜徉”。1200年后，我以超迈古人的新赠序类文体，为信疆一壮行色。前瞻大陆，回首台湾，人生徜徉至此，亦高人哉！
3	001.送高信疆归大陆序.txt	9	升高而望远	1200年前，韩愈写《送李愿归盘谷序》，写大丈夫人生方向的转折，最后“升高而望远”“终吾生以徜徉”。1200年后，我以超迈古人的新赠序类文体，为信疆一壮行色。前瞻大陆，回首台湾，人生徜徉至此，亦高人哉！
4	002.准伤痕文学.txt	3	哭哭啼啼，没有出息。	邓小平以八个字批评文革以后的“伤痕文学”，八个字是：“哭哭啼啼，没有出息。”为什么“没有出息”？因为“哭哭啼啼”是弱者的表征，强者绝不如此。强者是要据理力争、挺身而斗，强者并不自怜自己的伤口，强者关心小孩子的未来、千千万万小孩子的未来。
5	002.准伤痕文学.txt	5	哭哭啼啼，没有出息	拒领诺贝尔文学奖的法国文学家萨特（Jean-Paul Sartre）曾感慨的说，小孩子都快饿死了，文学还有什么意义呢？他指的文学，是弱者的文学，是“哭哭啼啼，没有出息”的文学。
3	002.准伤痕文学.txt	7	回到自古以来的悲哀	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地...
6	003.我写《上山上山爱》.txt	3	你在说什么呀？	1935我生那年，鲁迅在《且介亭杂文》的“附记”里，提到国民党政府管制言论，当时主持检查的人删文章，并不告诉读者哪儿被删，弄得文章上气不接下气，读者看了，大惑不解，“你在说什么呀？”
3	003.我写《上山上山爱》.txt	7	不检即查法	1949年国民党的中华民国亡国了，它逃掉了，逃到台湾，重组了伪政府，按说既然宣布不事先检查了，理应比对付鲁迅那一时代多点言论自由才是，其实不然。事实上，伪政府暗中施出两种方法来“超鲁迅”。第一种方法是“不检即查法”，例如对李敖的书，根本是本本查禁。换句话说，根本检查都不必了，就查禁了事。所以，从形式上看，检查倒真仿佛取消了呢！只是代替的，不是更多的自由，而是...
4	003.我写《上山上山爱》.txt	13	蓄意为匪宣传、诬蔑政府、侮辱壮烈殉国先烈、扭曲事实、挑拨政府与人民情感、严重淆乱视听，足以影响民心士气	17年前，我的长篇小说《上山·上山·爱》连载时，国民党伪政府迎头痛击，立刻来了查禁令，罪名是“蓄意为匪宣传、诬蔑政府、侮辱壮烈殉国先烈、扭曲事实、挑拨政府与人民情感、严重淆乱视听，足以影响民心士气”。结果，我的小说碍难写下去了。
5	003.我写《上山上山爱》.txt	19	没写完，就查禁	《北京法源寺》是我被判10年后，在黑牢里等待覆判时构思的，而《上山·上山·爱》却构思在坐牢之前，并写了一些片段。我被国民党伪政府下狱后，家中两次被搜查，搬走了好多箱“叛乱文件”，经检查后，过滤出6箱不重要的，分次还了给我，其中有《上山·上山·爱》的那些片段。还给我的原因是内容乃“黄色的”而非“红色的”，伪政府只管“大头”不管“小头”，所以，网开“小头”一面，...
5	003.我写《上山上山爱》.txt	21	打开天窗说亮话，脱了裤子谈思想	不过，17年过去了，那个李敖又来了！不管“大头”“小头”，还一起冒出来了！《上山·上山·爱》4月25日出版之日，因为此书来头大、两头大，必然掀起定位定性的高潮。是“黄色小说”？还是“情色文学”？还是“打开天窗说亮话，脱了裤子谈思想”的中文巨作？都可七嘴八舌、都可议论纷纷。但对构思30多年、最后花40多天一口气把它写完的作者说来，这本小说，却应了我在它扉页写下...
