file	line	context
001.“缇萦救父”表示了什么？.txt	19	缇萦的故事，最早记在《史记》。《史记》第一百零五卷叫《扁鹊仓公列传》，是在牢里度过悲惨世界的司马迁，专为两个名医写的传。扁鹊被人嫉妒，死于非命；仓公就是淳于意。司马迁看到这些第一流人才在乱世的命运，最后写下这样的感慨：
001.“缇萦救父”表示了什么？.txt	21	太史公曰：女无美恶，居宫见妒；士无贤不肖，入朝见疑。故扁鹊以其技见殃；仓公乃匿迹自隐而当刑。缇萦通尺牍，父得以后宁。故老子曰：“美好者，不祥之器。”岂谓扁鹊等邪？若仓公者，可谓近之矣！
001.“缇萦救父”表示了什么？.txt	23	在这里，《史记》作者进一步告诉我们，淳于意想在乱世里“匿迹自隐”而不可得，最后还是在劫难逃，被捉进官里，要受“肉刑”。
001.“缇萦救父”表示了什么？.txt	29	在上面大分类以外，有一种叫“身体刑”或“体刑”或“肉刑”的，在摩登的法律条文中是禁止了，虽然事实上，全世界许多极权国家还日新月异的流行着。这里说日新月异，是说极权国家虽然在自由思想上大落其伍，但在专制道具上却超越前进，并且完全合乎最新的“科学方法”。从希特勒式的招供药丸，到斯大林式的浑身通电，这是古人们再也发明不出来的科学花样。何况还有现代的内科医生一旁伺候，保证可使任何人死去活来到极限境界而不致暴毙，这比古人修理专家动辄使人死去而不能活来的笨手笨脚，的确高明万分。何况“科学方法”还有不落痕迹的妙用，用之则行，舍之则藏，干净利落，证据完全没有，煞是厉害。《孟子》里说“威武不能屈”，《正气歌》里说“鼎镬甘如饴”，但把孟夫子交给希特勒、文天祥交给斯大林，老希老斯祭起“科学方法”修理老孟老文，不但文天祥可以把知道的都说出来，孟夫子还可以把不知道的也都说出来，外加检举文天祥是蒙古间谍！
001.“缇萦救父”表示了什么？.txt	35	除了杀头以外，其他的死法就开始耍花样。像“枭首”（头挂高竿。传说是黄帝对付蚩尤的方法，资格自然最老。也是《法门寺》刘瑾的方法）、像“腰斩”（拦腰一刀。受刑人要“解衣伏质”，质是大铁砧，上面有铡刀，类似法国的断头台。但该叫断腰台。汉朝张苍被腰斩，解衣露出一身白肉，人人看了，觉得可惜）、像“磔”（大卸八块至N块。裂其肢体而杀之，伍子胥的死法）、像“车裂”（五马分尸。秦始皇对付妈妈情夫的方法、商鞅的死法）、像“凌迟”（杀千刀，千刀万剐。《水浒传》王婆的死法、袁崇焕的死法）……这些还算是法有明文的。至于法律以外的，那就更千奇百怪，像“烹”、“镬烹”、“大镬”、“肆”、“醢”、“菹醢”、“焚如”、“笞杀”、“棒杀”、“鞭杀”、“长锯”、“剉碓”、“污潴”、“枭菹”、“脔噉”、“殊死”、“凿颠”、“囊扑”、“投高崖”、“射鬼箭”、“生瘗”、“炮掷”、“支解”，“锁头拉死”等等等等，无法无天，写也写不完。
001.“缇萦救父”表示了什么？.txt	43	但肉刑本身也有做老大的时候，那就是单独的“墨”、“劓”、“刖”、“宫”。五刑里面，“墨”刑是最轻的一种。墨刑是在受刑人脸上割出剌出字来，然后在伤口上揉进颜料，颜料是黑色的，所以叫做“墨”，也叫“黥”。它的作业，很像文身。墨刑最早说是蚩尤发明的，后来虞舜把它确定，放在五刑之首。它在古书中经常见到。在《庄子》里面，甚至编成故事，洗耳的许由挖苦意而子说：“唐尧既然用仁义给你施了墨刑，用是非给你施了劓刑，你怎么还能自在逍遥呢？”最后意而子说：“怎么知道老天爷不把我墨刑的伤、劓刑的伤补好呢？”可见墨刑已用到哲学的讨论上面。由于在古书中一再出现，可以想见它的普遍性、它的源远流长。
001.“缇萦救父”表示了什么？.txt	45	照《书经》的说法，统治者有错，下面人不能帮忙改正，要用墨刑来罚，这是一个有趣的标准，等于是专罚扶同为恶的小人的。其实这只是乌托邦的法律，若真的实行起来，任何统治者都要被脸上有字的人包围了。但在其他方面，墨刑在古代，动不动就来一下，是可以确信的。所谓“墨罪五百”，所谓“墨罚之属千”，都是明证。大将军英布年轻时就被墨刑过，大家都叫他“黥布”，墨刑的名流中，他考第一。秦朝太子犯了法，商鞅歉难把字刻在太子脸上，结果“黥其师”，老师倒了霉。
001.“缇萦救父”表示了什么？.txt	47	“劓”刑是割鼻子，也说是蚩尤发明的，反正蚩尤打了败仗，一切“好事”都算到他头上。劓刑是广义解释的，包括割耳朵。劓刑方面，所谓“劓罪五百”，所谓“夏有劓墨各千”，所谓“我乃劓殄之，无遗育”，所谓“又曰劓刵人，无或劓别人”，可见此刑的普遍使用，就好像《违警罚法》似的。劓刑的外一章是割耳朵（刵），在《易经》中，有“何校灭耳，凶”的卦，“何校”是一种使耳朵跟人分家的刑具，何是背，校是枷，加起来，就是背在背上的一种枷，可以把耳朵“灭”掉，其“凶”可知。这种刑具的发明家认为：耳朵的用处在使人因听而聪明，犯罪的人，显然因不听而笨，所以，耳朵该罚。劓刑事实上是“刑不上大夫”的，墨刑也一样，所以汉朝民间出来“投鼠忌器”的讽刺，器是指皇帝，割大夫的鼻子，是给皇帝难看，当然就“割乎哉？不割也”了。
001.“缇萦救父”表示了什么？.txt	49	五刑中排名第三的，是“刖”刑，也叫“剕”刑。是砍掉脚或脚耻（重刑砍右趾，轻刑砍左趾），当然还是蚩尤干的缺德事。它的最早名字是“膑”，后来被第一任司法行政部长皋陶给改了，但还通用。不但通用，并且像黥布一样，出来一位“孙膑”。他被老同学庞涓陷害，黥了面又砍去脚，他虽然最后得到了胜利，可是却失掉了名字，大家都叫他“孙膑”，谁也不知道他本名了。古人用刖刑整人，范围也不下于《违警罚法》，偷车的，刖；跳城墙的，刖；向统治者扯谎的，刖。《韩非子》记楚人和氏璧故事，和氏得到了宝玉，向统治者拍马屁，可是统治者不识货，先后被“刖其左足”又“刖其右足”。他哭的时候，人家还告诉他：“天下之刖者多矣！”可见这种整人法多普遍。《左传》《晏子春秋》《孔子家语》《说苑》《庄子》等古书里，到处都有刖的记录，写不完的。我们现在说“踊跃”，不知道“踊”字就是被刖的人所穿的鞋，普通人穿的鞋叫履，古书里有“踊贵而履贱”的话，意思是说：没脚的比有脚的流行，法法法法法，太黑暗了！
001.“缇萦救父”表示了什么？.txt	53	宫刑是仅次于死刑的重刑，这种刑，照《周礼》说法，是“男女不以义交者，其刑宫”。什么是“义交”呢？就是要合乎当时道德法律的性交。就是说，任何非法的性交，被发现了，就要割家伙。但这只是理论，因为古书中有大量的“不以义交”，公然为之以后，家伙依然健在。而《左传》里记楚子想割羊舌肸生殖器的故事，却明明和“义交”无关，而是政治问题。何况古书中明明有“夏刑宫辟五百”、“宫罪五百”、“宫刑之属三百”等话，宫刑使用的范围，自然绝不止于“不以义交”。
