id	source_file	line_start	line_end	present	political_hits	quote_text
LASZSYJ-001	《孙中山研究》自序.txt	5	5	yes		优秀的历史家是真正的最后审判者
LASZSYJ-002	001.孙中山见了李鸿章吗？.txt	45	45	yes		求其洞见本原、深明大略者，有几人哉？
LASZSYJ-003	001.孙中山见了李鸿章吗？.txt	45	45	yes		孙子曰知己知彼，百战百胜，此言虽小，可以喻大。
LASZSYJ-004	001.孙中山见了李鸿章吗？.txt	73	73	yes		其志不可谓不高，其说亦颇切近，而非若狂士之大言欺世者比。
LASZSYJ-005	001.孙中山见了李鸿章吗？.txt	145	145	yes		旧译“进化论”是不通的，也是以词害意的。
LASZSYJ-006	001.孙中山见了李鸿章吗？.txt	147	147	yes		欲速则反迟、想快却更慢
LASZSYJ-007	001.孙中山见了李鸿章吗？.txt	147	147	yes		中国人所能了解的，只是“物竞天择”“适者生存”那一套，并不是真正的“演化眼光”那一套。
LASZSYJ-008	002.孙中山向清吏下跪求饶.txt	155	155	yes		感情作用所支配，不免将真迹放大也！治史者明乎此义，处处打几分折头，庶无大过矣！
LASZSYJ-009	002.孙中山向清吏下跪求饶.txt	213	213	yes		人当陷入深渊之时，苟有毫发可以凭借者，即不惜攀援以登
LASZSYJ-010	002.孙中山向清吏下跪求饶.txt	361	361	yes		穷则呼天，痛痒则呼父母，人之情也。
LASZSYJ-011	002.孙中山向清吏下跪求饶.txt	363	363	yes		君试思救人于死与致人于死，其善恶之相去几何？又试思吾人尽职于上帝为重乎？抑尽职于雇主为重乎？
LASZSYJ-012	005.孙中山的一个错误.txt	5	5	yes		吾人必牺牲目前小利，以求将来之幸福
LASZSYJ-013	007.孙中山《国父遗教》不可不读也！.txt	49	49	yes		饮水思源，尤不容忘其本来
LASZSYJ-014	008.孙中山蒋介石逼反老同志.txt	265	265	yes		薄暮，公在飞雪亭畔，倚崖侧乔松，鸟瞰千丈岩瀑布。会大雨，树杪重泉，溅珠喷玉，光色甚奇。
LASZSYJ-015	008.孙中山蒋介石逼反老同志.txt	265	265	yes		唯见众山之小、诸流之细，亭下（村名）屋舍俨然。
LASZSYJ-016	008.孙中山蒋介石逼反老同志.txt	267	267	yes		第一潭黝暗，在峡谷，圆径不过丈余，而深度莫测。
LASZSYJ-017	008.孙中山蒋介石逼反老同志.txt	267	267	yes		峭壁回合，前面騞开，高可百米突，右有澄湍冲泻。叹为观止。
LASZSYJ-018	011.孙中山与林肯名言.txt	15	15	yes		I should be glad if I could flatter myself that I came as near to the central idea of the occasion in two hours as you did in two minutes.
LASZSYJ-019	011.孙中山与林肯名言.txt	125	125	yes		林肯演说中的名言，原来是其来有自的！
LASZSYJ-020	011.孙中山与林肯名言.txt	129	129	yes		以前人对一种言论的所有权，并不像后来那样认真，中国的古圣先贤如此；美国的古圣先贤亦复如此。
LASZSYJ-021	011.孙中山与林肯名言.txt	137	137	yes		短的好处是简明，但坏处也就在此。
LASZSYJ-022	011.孙中山与林肯名言.txt	229	229	yes		无心雕做木居士，便有无穷求福人
LASZSYJ-023	014.孙中山与陈粹芬.txt	85	85	yes		她们都自我牺牲，一个个功成不居，把自己隐藏在年复一年的沉默里。
LASZSYJ-024	015.《乱党之真相》中的孙中山.txt	17	17	yes		妻嫁从夫，今君既娶，从妇乎？
LASZSYJ-025	015.《乱党之真相》中的孙中山.txt	23	23	yes		孙君如夫人何以至今不放足？知足之论，均系欺人之语耳！
LASZSYJ-026	015.《乱党之真相》中的孙中山.txt	25	25	yes		望门投宿宅能之，亡命何曾见细儿。只有香菱贤国妪，能飘白发说微时。
LASZSYJ-027	015.《乱党之真相》中的孙中山.txt	47	47	yes		宋嘉树是你最好的朋友。没有他，你好多次都已经陷入进退维谷的困境。对于蔼龄和其他小孩来说，你是他们的父执辈，他们几乎就是你的孩子。
LASZSYJ-028	015.《乱党之真相》中的孙中山.txt	55	55	yes		我把我的孩子养大，绝不让他们过那种你所提议的放荡生活。我无法接受那些把婚姻当儿戏的人。我们是一个基督教家庭，愿天主保佑我们，我们将一直往这条路走。
LASZSYJ-029	015.《乱党之真相》中的孙中山.txt	85	85	yes		最后杀死他的，可能是一颗破碎的心。
