score	file	line	text	context
5	001.《李敖全集》自序.txt	15	发展之程度，早经威胁到整个社会与民族之安全	这种肯定，从皮相看的地方多，实在不足以为李敖光宠，我还是引一段从骨子里追杀我的，以证明在我敌人眼中，我的大成绩何在。这段追杀登在1966年2月21号的《徽信新闻报》（《中国时报》前身）上，出自徐复观之手。他的指控是长篇大论的，我只引第二项中说我“发展之程度，早经威胁到整个社会与民族之安全”那一段——
3	001.《李敖全集》自序.txt	21	我从大学毕业到今天，正好二十年，不论环境怎么打击我，我顽强得很、坚定的很，我没有变。我一个人，在跟团体斗。二十年下来，我还在斗。你们呢？毕业后能继续斗五年，不改本色，还要斗下去、还能斗下去，我就服你们！	《文星》被封杀以后，我陷入十四年的大霉运，欲卖牛肉面而不可得，这是又一段一个人跟环境斗、跟环境苦斗的历程。这段历程，凄楚而惨烈，结论是：我还是我，李敖没有变。去年我复出后，有两次跟一大堆大学生谈话，有些不知天高地厚的小毛头，当场指摘我，我笑着说：“我从大学毕业到今天，正好二十年，不论环境怎么打击我，我顽强得很、坚定的很，我没有变。我一个人，在跟团体斗。二十年...
3	001.《李敖全集》自序.txt	25	能少做一分懦夫，就多充一分勇士；能表白一下真我，就少戴一次假面；如果与覆巢同下，希望自己不是一个太狼狈的‘坏蛋’；如果置身釜底，希望自己不做俎肉而是一条活生生的游魂！	三十年来，在这个岛上，在东方之滨，我努力使自己不受一时一地的污染，保持自我，做特立独行大丈夫、男子汉，我的下限标准是：“能少做一分懦夫，就多充一分勇士；能表白一下真我，就少戴一次假面；如果与覆巢同下，希望自己不是一个太狼狈的‘坏蛋’；如果置身釜底，希望自己不做俎肉而是一条活生生的游魂！”
4	001.《李敖全集》自序.txt	27	现在是团体对团体、组织对组织的时代，你只是一个人，在这岛上，谁又能比你做的更好呢？任何英雄豪杰，如果他只是一个人在这里，谁又能比你做的更多、更兴风作浪？	做为一个永不自满的人，我觉得我做的不够好；但是，以为曾被判过死刑的老者的一番话，又常常在我耳边响起：“现在是团体对团体、组织对组织的时代，你只是一个人，在这岛上，谁又能比你做的更好呢？任何英雄豪杰，如果他只是一个人在这里，谁又能比你做的更多、更兴风作浪？”
7	001.《李敖全集》自序.txt	29	李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉...
6	001.《李敖全集》自序.txt	29	台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时还是一个小孩子，什么都不懂，是这里长大的，但是他的看法仍然和我们有出入	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉...
3	001.《李敖全集》自序.txt	29	难以见容与政府	康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉...
5	001.《李敖全集》自序.txt	39	出生在台湾的文盲的小镇里（台南县内）	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
5	001.《李敖全集》自序.txt	39	大志勃勃的‘北征’	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
4	001.《李敖全集》自序.txt	39	首善之区	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
4	001.《李敖全集》自序.txt	39	穷乡僻壤	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
3	001.《李敖全集》自序.txt	39	喜欢看课外书	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
3	001.《李敖全集》自序.txt	39	小岛的气派	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
3	001.《李敖全集》自序.txt	39	小岛的度量衡	1966年，在《文星》尾声时候，我就感到这种演变的悲剧性。那年6月11深夜，我回信给北一女的读者，写道：你说你“出生在台湾的文盲的小镇里（台南县内）”，“大志勃勃的‘北征’”，才与去年考上了北一女，这是很不错的事，穷乡僻壤最能埋没人才，你看看古文那篇《伤仲永》，就可体会出这种埋没的情况。你在台北读书，当然比较起来，可开不少眼界，但你若“喜欢看课外书”愈多（当...
4	001.《李敖全集》自序.txt	41	如果我不是亚历山大，我愿我是狄阿杰尼斯。	从1949到1980，在这岛上，我住了三十年，没离开一步，我个人感染了多少“岛气”，我不知道，但我知道一定有。我保持警觉，经常告诉自己放弃“小岛的气派”“小岛的度量衡”，去瞩目这个新世界、倾听这个新世界。从在《文星》兴风作浪起，我努力在这个岛上，用我的力量，“做砥柱于中流”“挽狂澜于既倒”，使远在天边的，尽在眼前。虽然我被允许活动的范围极窄、时间极短，但我究...
4	001.《李敖全集》自序.txt	41	如果我不是李敖，我愿我是李敖第二。	从1949到1980，在这岛上，我住了三十年，没离开一步，我个人感染了多少“岛气”，我不知道，但我知道一定有。我保持警觉，经常告诉自己放弃“小岛的气派”“小岛的度量衡”，去瞩目这个新世界、倾听这个新世界。从在《文星》兴风作浪起，我努力在这个岛上，用我的力量，“做砥柱于中流”“挽狂澜于既倒”，使远在天边的，尽在眼前。虽然我被允许活动的范围极窄、时间极短，但我究...
3	001.《李敖全集》自序.txt	47	十年以后，斯铎曼的见解，社会上一般人大概也跟上了。但这十年中，斯铎曼自己也不断在进步。所以十年以后，他的见解仍旧比一般人超出十年。就我个人来说，我感到我不断在进步。以前我每个剧本里的主张，如今都渐渐变成一般人的主张。但等他们跟到那一境界的时候，我早就不在那儿了，我又更进一步了。我希望我总是朝前走了。	《人民公敌》作者本人，在三十六岁时自我流放，直到晚年，才得到自己同胞和全世界的肯定。在他五十五岁时候，他留下一封信给朋友，说：“十年以后，斯铎曼的见解，社会上一般人大概也跟上了。但这十年中，斯铎曼自己也不断在进步。所以十年以后，他的见解仍旧比一般人超出十年。就我个人来说，我感到我不断在进步。以前我每个剧本里的主张，如今都渐渐变成一般人的主张。但等他们跟到那一...
3	003.发网恢恢·法网恢恢.txt	5	一封投书并不能代表其他中学生意见	第二天，教育部大官人谈话：女学生头发可以蓄留至耳根下一公分与衣领平齐，男学生可以蓄留三公分的规定，和以前的规定相比，已经放宽许多，没有必要再做更张，“一封投书并不能代表其他中学生意见”。
5	003.发网恢恢·法网恢恢.txt	11	你在家里，给你太太画眉毛吗？	有人这样无聊过，汉朝的张敞，给老婆画眉毛，打小报告的报到皇帝那里去，皇帝问张敞：“你在家里，给你太太画眉毛吗？”张敞说：“闺房之私，有甚于画眉者！（私生活的部份，有比给老婆画眉毛还精彩的呢！）”张敞的回话，点破了属于私生活的和大官人该插手的分际，画眉毛是女人的私生活，大官人该管的正事可多着哪，何必插手根本不该他管的？
4	003.发网恢恢·法网恢恢.txt	11	闺房之私，有甚于画眉者！（私生活的部份，有比给老婆画眉毛还精彩的呢！）	有人这样无聊过，汉朝的张敞，给老婆画眉毛，打小报告的报到皇帝那里去，皇帝问张敞：“你在家里，给你太太画眉毛吗？”张敞说：“闺房之私，有甚于画眉者！（私生活的部份，有比给老婆画眉毛还精彩的呢！）”张敞的回话，点破了属于私生活的和大官人该插手的分际，画眉毛是女人的私生活，大官人该管的正事可多着哪，何必插手根本不该他管的？
8	003.发网恢恢·法网恢恢.txt	23	本来无事只畏扰，扰者才吏非庸人	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
4	003.发网恢恢·法网恢恢.txt	23	西瓜皮文化	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
3	003.发网恢恢·法网恢恢.txt	23	西瓜皮	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
3	003.发网恢恢·法网恢恢.txt	23	庸人	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
