id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
LATD-001	李敖通电集	2000年7月6日	006.2000年7月6日.txt	5	5	胶柱鼓瑟	传统成语	《史记》典故成语	李敖谈阅读文字必须顾全上下文时，用此成语批评死板理解。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-002	李敖通电集	2000年7月6日	006.2000年7月6日.txt	9	9	好读书，不求甚解	陶渊明文句	陶渊明《五柳先生传》	李敖引用陶渊明文句，转而说明“甚解”是过分解释。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-003	李敖通电集	2000年8月16日	035.2000年8月16日.txt	19	19	外行看热闹，内行看门道。	传统俗语	中国俗语	李敖评《传记文学》的史料工夫时，用俗语区分外行与内行的观看层次。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-004	李敖通电集	2000年8月16日	035.2000年8月16日.txt	19	19	中有苦心而不能显、内有调济而人不知	清代史学语	章学诚语	李敖评史料结合之功时提到章学诚此语，用来说明著述中不易显露的苦心和调济。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：原文明示为清朝史学家章学诚的话，句子本体为非政治史学文句。
LATD-005	李敖通电集	2000年8月16日	035.2000年8月16日.txt	23	23	皮之不存，毛将焉附	传统成语	《左传》成语	李敖借传统成语说明根本不存则附着之物无从存在；首轮只取成语本体。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-006	李敖通电集	2000年8月16日	035.2000年8月16日.txt	33	33	前度刘郎	唐诗典故成语	刘禹锡《再游玄都观》典故	李敖写刘绍唐多年不再邀稿时，用刘禹锡典故形容旧人重来。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-007	李敖通电集	2000年8月16日	035.2000年8月16日.txt	33	33	生死契阔	诗经成语	《诗经》	李敖写刘绍唐临终仍以藏书相托时，用《诗经》成语概括生死间的深厚情谊。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：古典成语本体独立成立，非政治语录。
LATD-008	李敖通电集	2000年8月21日	038.2000年8月21日.txt	63	63	四两拨千斤	传统成语	中国成语	文章称浦先生行政手腕圆熟，用此成语形容以巧妙方法化解大事。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：传统成语本体独立成立，未收入同句中含“两岸”的唐诗句。
LATD-009	李敖通电集	2000年9月11日	053.2000年9月11日.txt	11	11	你这给奴才做奴才的奴才	古典小说骂语	《水浒传》石秀骂语	李敖明称这是古代《水浒传》石秀骂人语；首轮只收古典小说原句，不收现代变体。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-010	李敖通电集	2000年9月19日	059.2000年9月19日.txt	5	5	本来无事只畏扰，扰者才吏非庸人	宋诗句	宋人诗句	李敖引用宋诗说明庸人自扰不如才吏自扰更能生事。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-011	李敖通电集	2000年10月2日	068.2000年10月2日.txt	5	5	应无所住而生其心	佛经名句	《金刚经》	来文谈布施与修行时引用《金刚经》名句。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-012	李敖通电集	2000年10月2日	068.2000年10月2日.txt	7	7	末法时期，邪师说法如恒河沙	佛教警语	释迦佛祖警语	来文称此为释迦佛祖警告末法时期佛弟子的警语之一。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-013	李敖通电集	2000年10月2日	068.2000年10月2日.txt	7	7	狮子身中虫，还食狮身肉	佛教警语	释迦佛祖警语	来文称此为释迦佛祖警告佛弟子的另一警语，用以说明内部自蚀。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-014	李敖通电集	2000年10月2日	068.2000年10月2日.txt	7	7	众生皆具佛性皆可成佛	佛教名句	佛教常语	来文在阐释佛教修行时称佛言众生皆具佛性、皆可成佛。	首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：原文以“佛言”引出，句子本体为佛教文句。
