file	line	text
001.中国史的拨云见日.txt	3	《世说新语》有“拨云雾，睹青天”的快感，这种快感，到《水浒传》里转成了“拨云见日”，意指扫除乌云，得见天日。看中国史的问题，恰恰如此。
001.中国史的拨云见日.txt	13	“洋云”是外国人的乌云。外国人研究中国史，本来就隔靴搔痒，但搔久了，也冒出一些“支那通”。早期的“支那通”还有硬里子，后来的“支那通”就多靠“假洋鬼子”为他读中文，他再以所谓现代学术方法解析之，但解析出来的却多光怪陆离。
002.中国人的“五百年”思想.txt	3	《孟子·公孙丑下》有这样一段：“孟子去齐，充虞路问曰：‘夫子若有不豫色然。前日虞闻诸夫子曰：君子不怨天，不尤人。’曰：‘彼一时，此一时也。五百年必有王者兴，其间必有名世者。由周而来，七百有余岁矣！以其数，则过矣！以其时考之，则可矣！夫天未欲平治天下也；如欲平治天下，当今之世，舍我其谁也？吾何为不豫哉？”孟子离开齐国，在路上，被充虞看出他有不快乐的样子，因以为问。但是，他却以大方向答复了充虞。他说每过五百年必会有圣君兴起，那时候还有命世之才出现，从周武王以来，现在已经七百多年了，论年数，都超出五百年了；论时势，现在也正是时候了。正因为有五百年必出圣君贤相的使命感，所以，他老孟又为什么不快乐呢？五百年后的第一名，还有谁呀？
002.中国人的“五百年”思想.txt	5	孟子这种五百年的思想，他还另有过说明：《孟子·尽心下》又有这样一段：“孟子曰：‘由尧舜至于汤，五百有余岁，若禹、皋陶，则见而知之；若汤，则闻而知之。由汤至于文王，五百有余岁，若伊尹、莱朱，则见而知之；若文王，则闻而知之。由文王至于孔子，五百有余岁，若太公望、散宜生，则见而知之；若孔子，则闻而知之。由孔子而来至于今，百有余岁，去圣人之世，若此其未远也；近圣人之居，若此其甚也。然而无有乎尔，则亦无有乎尔。’”孟子指出，由于五百年的时差，先王之道有的是亲身见到的，有的是后来听闻的，禹与皋陶可以亲身见到尧舜行道；但是汤就只有后来听闻了，依此类推，但推到孔子那一代，离我们只不过一百多年，离圣人的年代这样不远、离圣人的家乡又这样近，但是亲见孔子之道的没有了，听闻孔子之道的也没有了。——显然的，“五百年必有王者兴”的古来预言，本应验之于孔子身上，但是孔孟百年之差，当今还是“舍我其谁”吧！
002.中国人的“五百年”思想.txt	7	正因为这种五百年思想深入人心，所以，在《史记·太史公自序》中，就冒出这样的抱负：“先人有言：‘自周公卒五百岁而有孔子，孔子至于今五百岁，有能绍而明之，正《易传》，继《春秋》，本《诗》、《书》、《礼》、《乐》之际。’意在斯乎！意在斯乎！小子何敢攘焉！”——司马迁的父亲司马谈，以五百年思想，出而主张继圣人而发扬经典，司马迁也就当文不敢自谦，这种抱负，岂不正是五百年思想的延续吗？
002.中国人的“五百年”思想.txt	9	从五百年思想出现以后，五百年成为一个隐含抱负的时间单位，也就习以为常。试看宋朝人就有诗说：“梅花重压帽檐偏，曳杖行歌意欲仙，后五百年君记取，断无人似放翁颠。”（陆游）清朝人就有诗说：“满眼天机转化钧，天工人巧日争新。预支五百年新意，到了千年又觉陈。”（赵翼）……流风所及，甚至鲤鱼修满五百年都有龙门之跳了。五百年的神奇性，还用说吗？
003.中国人的观音思想.txt	5	观音在中国，一直给人大慈大悲的好印象。《法华经》中说众生苦恼之时，只要“一心称名”，观音就“即时观其音声，皆得解脱”。这样子有求必应，正所谓观世之音也。
003.中国人的观音思想.txt	7	观音既然这样慈悲，而施展慈悲的方法，“观其音声”以外，必须继之以具体的协助，才能奏效。而观音的方法，却是非常特殊的。其中最明显的，是他有不同的名称和变像。名称上，从六观音、七观音、三十二观音、到送子观音等等，五花八门；变像上，首先是他的雌雄之变。在12世纪以前，中国人眼里的观音都是男性，后来转变为双性、为女性、为“男人女身”，不一而足。但照《琅嬛记》等正确解释，观音实在是不男不女、亦男亦女、可男可女。不但可男可女，并且可以“现众身”，上自飞禽，下至走兽，无一不可。因为观音本身是“无形”的，佛门弟子却枉费心机为观音造像、画像，当然是可笑的。
003.中国人的观音思想.txt	9	在以观音为男性的说法中，因为是男性，所以有老婆，老婆叫度母女神；但以观音为女性的说法中，却说大圣自在天和乌摩女为夫妇，生了三千子女，其中一千五百个是做恶事的，一千五百个是做善事的。做善事的是“观音之化身”，跟那一千五百个做恶事的配成兄弟夫妇，以性交方法，来软化恶行。在这种设计之下，观音自然是女性了。这种菩萨心肠，推而广之，最后变成不只神与神间的性交了，也有神与人间的性交了。《西湖二集》有一个故事说，唐朝延州有位妓女，“不接钱钞”、不要钱，让人白嫖，原来这妓女是在“舍身菩萨化身，以济贫人之欲（慾）”！以身为布施如此，其为菩萨心肠，明矣！
003.中国人的观音思想.txt	11	这种观音化为女性给人搞的妙事，后来演变出“锁骨菩萨”的典故。《续玄怪录》有这样一段：“一淫纵女子早死，瘗于道左，忽有胡僧敬礼墓前曰：‘斯乃大圣，慈悲喜舍，世俗之欲，无不徇焉。此即锁骨菩萨。’”所谓鏁骨就是锁骨，就是死后骨骼钩结如锁。在佛门中，有一奇怪的理论，叫做“以欲（慾）止欲（慾）”，主张用风情万种的美女，吸引好色之徒，以引你性欲为手段，以导你信佛为目的，这在《宗镜录》和《维摩诘所说经》中，都公开宣扬之。不过观音出面做“锁骨菩萨”，有时也会摆人一道。“观世音菩萨寻声救苦普门示现图”中引《观音感应传》说，唐宪宗元和十二年（817），陕右金沙滩上，出现个漂亮的卖鱼女人，许多人都打她主意，她的条件却是对方须能在一夜之间背得出《普门品》才成，结果有二十个人能做到。她说：“一身岂能配多夫？”改背诵《金刚经》，仍有十八人能做到。她又改背诵《法华经》，只有姓马的年轻人能做到。可是一迎女的进门，她就死了，并且尸体立刻烂光。后来有一和尚来，姓马的年轻人带他上坟，和尚开棺，“惟黄金色锁子骨存焉”。和尚说：“此观音菩萨，悯汝等以化现耳！”可见人信了佛，不一定搞得到观音，可能空忙一场！
