risk	quoteSignal	attributionSignal	file	line	text
false	true	true	002.回信给中央研究院的一员.txt	3	你说我“和世人一样都没有看清楚文字。胡没说他不到故纸堆中去，而正说要去”。
false	true	true	002.回信给中央研究院的一员.txt	5	我何尝说胡适自己不要到故纸堆中去了？我上信特别提出，请你先看《治学的方法与材料》一文最后一段，而你却先看另一篇《整理国故与打鬼》，你自然误会我的意思了。
false	false	true	002.回信给中央研究院的一员.txt	7	他在那最后一段中曾说：
true	true	true	002.回信给中央研究院的一员.txt	17	11号晚上我第一次向你说我的新看法，我说东西文化云云已经不成问题，至少不再是可以谈谈的问题，也不是笔墨官司的问题，因为十几年或几十年来，我们的社会早已走向“实质上的改变（西化）”，在西方文明的“冲击”（impact）之下，我们那些“义和团的防线”早已处处瓦解，从大学的六个学院来看，理、工、农、医，早已没有东方的影子，（园艺系的一点东方庭园观念与中医学院的闹闹都不足以用来张目的！）法学院中除了一点政治思想史、一点法制史、一点应用文外，也找不到国粹或国渣的影儿，文学院算是东方文明的逋逃薮，外文与考古系是西化了的，中文、历史、哲学则纯是乌烟瘴气！看不到一点儿新思潮、新东西！（哲学系中“康德”“尼采”等课已经是西方文明老掉了牙的部分了，除了殷海光的逻辑经验论，我不承认别人在介绍西方的新东西！）
false	true	true	002.回信给中央研究院的一员.txt	23	所以我说，用“统计的观念”与“比例的观念”来看世道人心，我们会发现这些“院（学院、书院、研究院）字号的人物”，只不过是芸芸众生里面的一些小蠹虫，老百姓与大官人早就朝西化的路上走了，尽管他们不自觉、尽管他们也要每年祭一次孔，他们的实质与内心深处早就不是那么一回事了！至于“院字号的人物”，也在酒醉饭饱美援补助之余，做那五十步笑百步的勾当，我不觉得史语所有资格骂新亚，他们都是故纸堆中的孤臣孽子，不论怎么狗咬狗，总归助长了旧死尸的复活，线装书不在茅厕里而在书架上，还有什么可谈的？
false	true	true	002.回信给中央研究院的一员.txt	41	信不必转，也好。《元诗选》版本请详示。
false	true	true	003.旧信劫遗.txt	7	最近我把损失的稍加整理，算做“旧信劫遗”。从这些“旧信劫遗”中，有心人不难发现一些重要的、有趣的、悲壮的当代材料。古话说：“圣人不空出，贤者不虚生”，欲知当代圣贤不空不虚者，必将有感于斯信，难道这还吹牛吗？
false	false	true	003.旧信劫遗.txt	21	我希望的是一份固定的职业，尤其发薪要准时，目前既然北商是唯一一条活路，我只好先去再说。
false	true	true	003.旧信劫遗.txt	71	三、《文星》杂志已出到七十七期，每期都介绍一位人物做封面，其中中国人已介绍过胡适、梅贻琦、蒋廷黻、李济。我们早就计划介绍先生，张隆延先生已答应替我们写。我们预备多来几篇，还计划请别人写（李抱忱先生在1959年1月1日的《文星》杂志第十五期上写过一篇《我所知道的赵元任博士》，只有四千字，太短了，我们决定请他重写一篇）。拟请先生惠寄近照二三张（其中盼有一张全家福），稍加一点点说明，好拿来先制版。盼您千万要帮忙，别谦虚拒绝。
false	true	true	003.旧信劫遗.txt	77	（一）把借给台北《征信新闻》的那两张照片（一张出国前的合照，每个人都拖小辫一根的；跟另外一张留学榜的拓本）尽快（抱歉写这两个字）寄给我，借我一用。因为3月25号要出的第一本《胡适评传》中要用这两张照片（这两张照片曾登在1962年3月2日的《征信新闻》，可是太不清楚了，我去借原版，他们说还给您了。所以只好“飞函”请先生尽快寄给我，好使我赶上制版）。
false	true	true	003.旧信劫遗.txt	115	第一，谢谢赐赠贵刊。总说一句赵先生现在忙得不得了，什么地方的请求都暂不能应付。赵先生说因他手下有些要紧的著作希望能贡献给后辈和国际上，免得步胡先生的后尘。胡先生就是昔日太多杂事，给自己要写的都耽误了。倘若赵先生有短篇的文章时也须先给《传记文学》，因为已允许了很久了。
false	false	true	003.旧信劫遗.txt	117	赵先生说他不喜欢照相登在封面上，所以请免。
false	false	true	003.旧信劫遗.txt	153	多谢你为了接洽演说打长途电话。
true	true	true	003.旧信劫遗.txt	181	这个月23号国民党的《中央日报》上登出一条消息，说：“两日本学生拟来华留学，苦无保证人，向本报求助。”他们“从今年3月起”，“想尽了各种办法”，可是还是找不到保证人，最后只好向《中央日报》求援云云。
false	true	true	003.旧信劫遗.txt	203	他们在无可奈何之下，给本报写信求援，在信里说：“我们有能力负担自己求学所需的费用，只要请人作个保证而已。”但是，他们在台湾没有亲友。谁会对一位素昧平生的人作保呢，谁都知道，作了保是要负很大责任的。
false	true	true	003.旧信劫遗.txt	205	如今，事情被中国眼镜公司董事长须少白知道了，问题也就迎刃而解。这位对青年学生向极爱护的须董事长说：“我来作保，将来他们发生任何经济问题，完全由我一个人来负责解决。”
false	false	true	003.旧信劫遗.txt	207	须少白说：中国悠久渊博的历史文化，是无尽的宝藏，身为中国人，我们竭诚欢迎任何国家的人来此观摩，对于这两位热爱中国文化的日本学生，我们应该义不容辞地协助他们解决他们的困难，使他们顺利的完成前来中国的宏愿，何况，他们都是尚在求学阶段的学生，更是应该予以全力支援的。
false	false	true	003.旧信劫遗.txt	211	八  寄李声庭论石达开诗是伪作
false	true	true	003.旧信劫遗.txt	219	原稿中扉页“我志未酬人亦苦，东南到处有啼痕——石达开诗”等字拟删去。盖今传石达开诗多是伪诗，都是梁启超与高旭（天梅）伪作的，是他们为了排满而伪作的。
false	true	true	003.旧信劫遗.txt	221	尊引石达开的诗，原是所谓《答曾国藩》五首，最早见于梁启超的《饮冰室诗话》，后来高旭辑刊石达开遗诗二十五首（残山剩水楼刊本），一个晚上伪作了二十多首，此事发生在民国前六年。
false	true	true	003.旧信劫遗.txt	223	最早指出流传的石达开的诗是伪作的人是罗尔纲，后来简又文采纳了他的意见，在《大风旬刊》上发表《太平天国文献赝品考》，接着柳亚子来了两篇题跋，指出梁启超与高旭是作伪诗的“真凶”。
false	true	true	003.旧信劫遗.txt	225	其实单从《答曾国藩》五首的原诗中，就可看出作伪的破绽：“曾摘芹香入泮宫，更探桂蕊趁秋风”的话，分明是说中秀才举人的，其实这都与石达开的身世不合。
false	false	true	003.旧信劫遗.txt	227	石达开诗的疑案，经一、罗尔纲指出是伪作，再经二、柳亚子道出伪作者。可算是历史定案了，故不宜再明引是石达开的诗。
false	true	true	003.旧信劫遗.txt	237	《漫谈办学》一文今奉还，谢谢。附上《宋子文的失败》复印本，送给你的，请查收。这两篇文章，都可说是傅孟真先生的好文字。
true	true	true	003.旧信劫遗.txt	271	这次《拿武士刀者》“罚”《人间世》停止发行一年的法律依据，是违背《出版法》第40条第1项第1款之规定，即因“出版品就应登记事项为不实之陈述而发行者”。按同条规定，这种处分，“其期间不得超过一年”。依法律订立原意，此种处分，得随时停止至该出版品完成合法登记时为止，此合法登记登记得周密了，包罗万象了，与原旨趣一统了，《拿武士刀者》的“罚”就该立刻停止。这种关系，按诸内政部1956年11月15日台（1956）内警101146号，以及内政部1957年3月15日内警109087号解释，都是说原处分之目的，乃寓“促使”于处分之中，乃在“促使”该出版品完成合法登记，“易言之，即该项定期停止发行之处分之解除，胥视该出版品何时完成合法登记而定，故在法律上并无任何限度。”这里所谓“无任何限度”，即随时可收回成命之意。这也就是《出版法施行细则》第19条第1项所规定的：“出版法第41条（现法40条）第1项第1款第2款所规定之定期停止发行，得停止至该出版品完成合法登记时为止。”
false	true	true	003.旧信劫遗.txt	285	《人间世》原登记的旨趣是“以清新隽永之纯粹文艺小品散文宣扬‘反共抗俄之国策’”，此项旨趣很空洞，解释范围极宽。原处分命令说“显不相符”，我们可说是“显相符合”，就此解释上打官司一场，也是另一途径。
false	true	true	003.旧信劫遗.txt	287	以上诸途径，虽然明知无效（无眼前效果），但是做其一二，至少可如胡适之先生跟你在电话中所说的“留下历史记录”——虽然这些无法无天的人，他们并不怕“历史”，就这一观点言，他们尚不如慈禧太后也！
true	true	true	003.旧信劫遗.txt	289	听说高玉树最近为了《文星》事件，表示不快。明明是内政部等官方的主动，却偏偏要他发文，被恶名。听说他已收回市政府新闻室代行的权力，不肯再由市政府表演“呈报内政部”等把戏了。
false	true	true	003.旧信劫遗.txt	291	你说再办一杂志，并盼能在观感上与《人间世》有连锁关系。我提议办一名叫《人间何世》的杂志，此法国老虎总理当年办《自由人》不成，改办《桎梏人》之意也！
false	true	true	003.旧信劫遗.txt	315	随信寄赠你们老同学《中国文学史》一部。请您看看我那篇《序》《干父之蛊》云乎哉？
false	true	true	003.旧信劫遗.txt	331	愚以胃溃疡自14日住台中医院，初起腹痛，至20日大便潜血。21至27潜血停止。今晨再作X光透视，原创口大如五毛台币者，已进步如一毛台币，内科治疗奏效，可免开刀。不意鑫生上周来信，云愚患胃穿孔，已开刀回家休养，不知何所据而云然？吾乡俚语，有“一寸远一个慌”。“大便潜血”与“胃穿孔”；“内科治疗无效，然后用外科”与“已开刀回家休养”，相距总不止一寸。兹特将治疗经过备述如上。敬颂
false	true	true	003.旧信劫遗.txt	337	〔附记〕“长恭”、“耳孙”是黄宝实先生硬给我起的号，“长恭”所以止“敖”也；“耳孙”所以承“老子”（李耳）也。黄容是他的长子，我的好朋友。
false	false	true	003.旧信劫遗.txt	339	十二  寄陈绍鹏谈侦探小说及中国历史故事
false	false	true	003.旧信劫遗.txt	345	由我搜罗到的Agatha Christie的侦探小说四十册，已托文星书店直寄给您，想已收到。最近我又收到三册：
