id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LANBZD228-001	keep-initial	中文成语	安身立命	佛教/儒家成语	001.《你不知道的二二八》序（一）李敖.txt	5	5	李敖在序中使用安身立命，保存可独立检索的传统成语。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-002	keep-initial	韩愈文句	障百川而东之，挽狂澜于既倒	韩愈《进学解》相关成句	001.《你不知道的二二八》序（一）李敖.txt	41	41	李敖化用韩愈文句，写力挽已经倾倒的狂澜、导正众流。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。 源文作“挽狂澜”，按本书文字保留；不收同段现代族群政治判断。
LANBZD228-003	keep-initial	儒家成句	知其所止	《大学》相关成句	001.《你不知道的二二八》序（一）李敖.txt	47	47	李敖用知其所止说明行动应知界限与止境。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。 只收古典成句本体，不收同段二二八诉求与现实政治论述。
LANBZD228-004	keep-initial	中文俗语	人上一百，形形色色。	中文俗语	003.你不知道的二二八.txt	87	87	李敖引录彭孟缉回忆中明示的俗语，说明人多则各色人都有。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。 同段另有国家亲属化比喻，首轮不收入。
LANBZD228-005	keep-initial	台语俗语	放尿搅沙不作伙	台湾话俗语	003.你不知道的二二八.txt	119	119	李敖引录访问记录中的台湾话俗语，写彼此不合、不肯合伙。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-006	keep-initial	台语俗语	撒尿的不要，换一个下痢者	台湾民间俗话	003.你不知道的二二八.txt	127	127	李敖引录台湾民间俗话，形容弃一弊而换来更坏的对象。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。 只收俗语本体，不收同段政权移转论述。
LANBZD228-007	keep-initial	闽南语俗谚	乞丐赶庙公	闽南语俗谚	003.你不知道的二二八.txt	131	131	李敖引录闽南语俗谚，源文说明其意近喧宾夺主。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-008	keep-initial	台语俗语	抱狗仔过户磴也桌钱	台湾话俗语	003.你不知道的二二八.txt	139	139	李敖引录访问记录中的台语俗语，形容连极小事务也要收费索取。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-009	keep-initial	十七字诗	小毛闹烘烘，老婆催办公，拔腿往外走，匆匆。	《新闻报》所载台湾流行十七字诗	003.你不知道的二二八.txt	149	149	李敖引录台湾流行十七字诗，写上班前匆促奔走的生活情状。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-010	keep-initial	十七字诗	司机起得迟，巴士人太挤，半路又抛锚，走去。	《新闻报》所载台湾流行十七字诗	003.你不知道的二二八.txt	151	151	李敖引录台湾流行十七字诗，写交通拥挤、车辆抛锚后的无奈。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
LANBZD228-011	keep-initial	十七字诗	登到簿无踪，股长无笑容，埋头忙抄写，脸红。	《新闻报》所载台湾流行十七字诗	003.你不知道的二二八.txt	153	153	李敖引录台湾流行十七字诗，写办公室点卯与抄写中的窘态。	首轮保守收入：《你不知道的二二八》为二二八事件史料问答，现代政论、党派/族群/国族/政府机关/报告书/人物攻防/政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗歌和少量非政治诗文。
