action	target	source_file	line_range	quote_or_candidate	reason
add	LADHL-092	004.吐他一口痰.txt	75-75	菩提达摩东来，只要寻一个不受人惑的人。	以不受迷惑概括独立判断。
add	LADHL-093	004.吐他一口痰.txt	123-123	如果过滤后空无一物，那这篇文章就纯粹是情绪语言，言之无物了	以过滤情绪后是否有物判断文章价值。
add	LADHL-094	004.吐他一口痰.txt	125-125	如果一个错的意见，用很理性的方式表达，它还是错的。	强调表达方式不能改变意见对错。
add	LADHL-095	004.吐他一口痰.txt	245-245	己所不欲，勿施于人。	以孔子恕道说明待人原则。
add	LADHL-096	004.吐他一口痰.txt	245-245	把你喜欢的给别人。	以更积极的给予原则对照恕道。
add	LADHL-097	004.吐他一口痰.txt	273-273	我不需要镀，因为我本身就是金。	以金与镀金比喻自信。
add	LADHL-098	004.吐他一口痰.txt	277-277	多多益善，不管多少我都能带。	以韩信带兵典故说明才具。
add	LADHL-099	004.吐他一口痰.txt	277-277	你是带将的，不是带兵的。	以带将与带兵区分统御层次。
add	LADHL-100	004.吐他一口痰.txt	475-475	不要教你的祖母如何吸蛋。	以俗谚回应外行教内行。
add	LADHL-101	004.吐他一口痰.txt	503-503	前言戏之耳	表示前言只是戏言。
add	LADHL-102	006.论国民党的美感.txt	25-25	我的特质，就是唱反调。	以唱反调概括个人特质。
add	LADHL-103	006.论国民党的美感.txt	29-29	唱反调就是我的正业，我若不唱反调，反倒是失职。	以职业感说明批评姿态。
add	LADHL-104	006.论国民党的美感.txt	33-33	真理从唱反调而来，真理的发扬光大，又有赖于第二个、第三个乃至第N个唱反调的人，前仆后继，薪尽火传。	把反向发声视为真理扩展的动力。
add	LADHL-105	006.论国民党的美感.txt	53-53	人们的不幸都在于要跟着蠢人涂抹自然的本来面目	以涂抹自然本貌批评审美误导。
add	LADHL-106	010.李敖答问之一.txt	13-13	交友以自大其身；求士以求此身之不朽。	区分交友与求士的意义。
add	LADHL-107	012.李敖答问之三.txt	19-19	无始劫来，所造诸罪。若轻若重，无大无小。了不可得，是名忏悔。	以偈语说明语音押韵材料。
add	LADHL-108	013.“却笑英雄‘有’好手，一江春水走曹瞒”.txt	107-107	读中国书，要会读。不会读，对你就有害；会读，这里面会找到一些好东西。	强调读古书需有方法。
add	LADHL-109	013.“却笑英雄‘有’好手，一江春水走曹瞒”.txt	129-129	除非我们对历史背景有深刻了解，我们才能论断一部古书的正确价值。	强调以历史背景判断古书价值。
add	LADHL-110	013.“却笑英雄‘有’好手，一江春水走曹瞒”.txt	129-129	你一定要先给它“定位”“定性”才行	以定位定性说明读古书的前提。
add	LADHL-111	014.台湾最有力量的个人.txt	21-21	知美之为美	以知道美为美说明审美标准。
add	LADHL-112	014.台湾最有力量的个人.txt	71-71	劣币驱逐良币	以劣币良币比喻文化市场。
add	LADHL-113	016.五十而不知天命.txt	97-97	前无古人，后无来者。	形容前后无人可接续。
add	LADHL-114	016.五十而不知天命.txt	139-139	不知有汉，无论魏晋	以桃源文句写隔世感。
add	LADHL-115	016.五十而不知天命.txt	579-579	爱之欲其生，恶之欲其死	说明爱憎过度的判断偏差。
add	LADHL-116	016.五十而不知天命.txt	579-579	每一个人存在，都应有他不可侮的条件在。	强调每个人存在自有不可轻侮之处。
add	LADHL-117	019.《花花公子》访问李敖.txt	47-47	杀身成仁，舍身取义	以成仁取义概括人格气概。
add	LADHL-118	019.《花花公子》访问李敖.txt	49-49	“道”是一时一地的，“殉”是千秋万世的。	区分一时之道与长久之殉。
add	LADHL-119	019.《花花公子》访问李敖.txt	101-103	用大丈夫的气象，去面对吧！	以大丈夫气象作为做人座右铭。
add	LADHL-120	019.《花花公子》访问李敖.txt	105-105	大丈夫不但是智之大者，也是仁之大者、勇之大者。	以智仁勇三者定义大丈夫。
add	LADHL-121	019.《花花公子》访问李敖.txt	131-131	读古书，除非你能读得很活，能够驾驭它们，否则的话，充其量只是个老学究，什么都没有。	强调读古书要能活用和驾驭。
add	LADHL-122	019.《花花公子》访问李敖.txt	291-291	人活着不要只为了面包，还要做一些理想的事情。	以面包与理想说明人生追求。
exclude	modern-rights-quote	004.吐他一口痰.txt	87-89	你说的话，我一句也不赞成，可是我要拼命为你争取你有说这话的权利。	言论权利语境过强，校对轮继续排除
exclude	modern-public-interview	009.选举问题总解答.txt	3-135	选务、支持对象、团体策略等问答	现实公共议题语境过重，校对轮继续排除
exclude	modern-public-interview	015.给他来个“Seven Down”！.txt	1-145	党派人物、反攻叙述与支持对象问答	现实公共议题语境过重，校对轮继续排除
exclude	modern-public-interview	017.只有作战而死，怎能求情而死.txt	1-121	群众行动与冲突策略问答	现实公共议题语境过重，校对轮继续排除
exclude	legal-copyright-interview	020.书店升天，作者扫地.txt	3-107	版权、契约、诉讼、报刊消息问答	法律材料与新闻语境过重，校对轮继续排除
