score	file	line	text	reasons	context
13	003.道在屎溺.txt	9	尿道在那里，	known-pattern,trigger-context,punctuated,chinese-compact	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
13	003.道在屎溺.txt	9	我知道你做了什么坏事，你在浴缸里小了便，是不是？	known-pattern,trigger-context,punctuated,chinese-compact	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
13	039.阿基米得式“支点”.txt	41	我说：‘打倒阿基米德！’	known-pattern,trigger-context,punctuated,chinese-compact	“我说：‘打倒阿基米德！’”我攘臂握拳。
13	042.王羲之.txt	27	《十七帖》，	known-pattern,trigger-context,punctuated,chinese-compact	“《十七帖》，”朱仑若有所思的说：“好迷人的题目。”
12	002.与阴茎对话.txt	97	这不是法律问题，‘非常上诉’有什么用？但孙中山可提出‘非常异议’。古人何休在《公羊传序》里说：传述古书《春秋》的很多种，‘其中我非常异议可怪之论。’孙中山可就这段古书，提出抗议。抗议你有不当联想，至少抗议你乱用‘非常’两个字。	known-pattern,trigger-context,punctuated,political-context	“这不是法律问题，‘非常上诉’有什么用？但孙中山可提出‘非常异议’。古人何休在《公羊传序》里说：传述古书《春秋》的很多种，‘其中我非常异议可怪之论。’孙中山可就这段古书，提出抗议。抗议你有不当联想，至少抗议你乱用‘非常’两个字。”
12	003.道在屎溺.txt	9	不是泡，是稀释而已。	known-pattern,trigger-context,punctuated	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
12	003.道在屎溺.txt	9	你的阴谋，你知道吗？你的十七岁哲学，无所不在。我不太分得清的是，你是小便哲学化呢，还是哲学小便化。	known-pattern,trigger-context,punctuated	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
12	003.道在屎溺.txt	9	你这高中女生真是小阴谋家，你使我全身泡在十七岁的哲学里。	known-pattern,trigger-context,punctuated	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
12	003.道在屎溺.txt	9	什么都瞒不了你、什么都害不成你。	known-pattern,trigger-context,punctuated	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
12	003.道在屎溺.txt	9	我还没彻底破解呢，我要追查小便来源。	known-pattern,trigger-context,punctuated	朦胧中，我跟一个漂亮的十七岁高中女生同泡在热水浴里。不晓得怎么，谈到了庄子。东郭子问庄子道在哪里？真理在哪里？庄子说，道“无所不在”。东郭子追问他，庄子说，道“在蝼蚁”。东郭子奇怪为什么这么低级，结果庄子越说越低级，最后竟是“在屎溺”，真理在大便小便里。理由是真理既然无所不在，“故处处有之”，自然大便小便里也有。漂亮的高中女生有小便，所以呀，真理就在那里。突然间，她在浴缸里望着我，一动也不动一下，然后闭口微笑，两眼看着天花板，站了起来，我抓住她，我笑着：“我知道你做了什么坏事，你在浴缸里小了便，是不是？”她噗嗤笑起来，冲到我怀里。“什么都瞒不了你、什么都害不成你。”她笑着。“你不是害成了吗？我不正泡在你的小便里吗？”“小便哲学被你破解了就不算害。”“我还没彻底破解呢，我要追查小便来源。”说着我故作试探的摸上她的来源。“尿道在那里，”我说，“庄子真笨，他只说道‘在屎溺’中，他没弄清楚既来自尿道，当然太初有道。那道就是尿道。”我边说...
