file	line	text	context
001.介绍我的《为中国思想趋向求答案》.txt	19	僵尸思想	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	19	孔老二思想	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	19	西门庆思想	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	19	魏忠贤思想	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	19	袁大头思想	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	39	最好的又最后的	真正肯为中国文化思想趋向求答案的人，他们必定愿意做一个战士，去打几场漂亮的仗，乃至准备打一场勃朗宁（Robert Browning）所谓的“最好的又最后的”（The best and the last）一场仗。他们可能被暂时封住嘴、锁住腿，可是他们永远不会失败或死亡——这样的战士不会失败，十字架上的人物不会死亡。
002.给谈中西文化的人看看病.txt	25	春秋大义	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	25	不忘本	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	49	原在吾儒覆载之中	这种“原在吾儒覆载之中”的大言，在我们国民心中流传很广：阮元就拿过后汉的四分法来比西洋数学（《畴人传》）；印光任就拿过周髀来包括“浑盖通宪之器，寒热五带之理”（《澳门纪略》）；陈启天就拿过孟子的话来比近代民主政治的观念（《中国政治哲学概论》）；毛子水就拿过《大戴礼记》“四角之不掩”的话来比西方的地圆说（《中国科学思想》）。现在某些人做一些事，动辄以古人“先得我心”而自熹的，或以“与古法合”自傲的，都是“古已有之”病患者，你若问他“孔子周游列国时为什么坐马车不坐汽车？”他并不说“那时候没有汽车”，他的答复是：“那时候的马车就是现在的汽车。”这种夸大诞妄的先生们，说破了，不过是古人尸影下的奴隶罢了。
002.给谈中西文化的人看看病.txt	49	浑盖通宪之器，寒热五带之理	这种“原在吾儒覆载之中”的大言，在我们国民心中流传很广：阮元就拿过后汉的四分法来比西洋数学（《畴人传》）；印光任就拿过周髀来包括“浑盖通宪之器，寒热五带之理”（《澳门纪略》）；陈启天就拿过孟子的话来比近代民主政治的观念（《中国政治哲学概论》）；毛子水就拿过《大戴礼记》“四角之不掩”的话来比西方的地圆说（《中国科学思想》）。现在某些人做一些事，动辄以古人“先得我心”而自熹的，或以“与古法合”自傲的，都是“古已有之”病患者，你若问他“孔子周游列国时为什么坐马车不坐汽车？”他并不说“那时候没有汽车”，他的答复是：“那时候的马车就是现在的汽车。”这种夸大诞妄的先生们，说破了，不过是古人尸影下的奴隶罢了。
