score	file	line	text	context
3	《李敖文存》目录.txt	6	我中华尚有人耶？	004.“我中华尚有人耶？”
5	001.看谁文章写得好？（代序）.txt	9	天地之精英，阴阳刚柔之发	照笑话说，狗屁文章有三类：第一类是“放狗屁”，程度最轻，是人放狗屁，还不失为人；第二类是“狗放屁”，程度稍重，是狗在放屁，但并不整天放，只偶一为之；第三类是“放屁狗”，程度最重，是以放屁为常业，整天放屁，一放而不可止。由于中国人相信文章是大业、是盛事、是不朽的张本、是富贵的敲门砖、是“天地之精英，阴阳刚柔之发”，所以古往今来，文章特多，狗屁也就三类俱在，臭不...
8	001.看谁文章写得好？（代序）.txt	11	非圣人之志，不敢存	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现...
4	001.看谁文章写得好？（代序）.txt	11	唐宋八大家	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现...
4	001.看谁文章写得好？（代序）.txt	11	文起八代之衰	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现...
4	001.看谁文章写得好？（代序）.txt	13	如崇山大海	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里...
4	001.看谁文章写得好？（代序）.txt	13	如秋山平远	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里...
4	001.看谁文章写得好？（代序）.txt	13	如波泽春涨	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里...
3	001.看谁文章写得好？（代序）.txt	13	如幽岩怪壑	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里...
3	001.看谁文章写得好？（代序）.txt	13	如长江大河	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里...
