id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAXN17001,虚拟的十七岁,与阴茎对话,002.与阴茎对话.txt,97,97,其中我非常异议可怪之论。,古文引文,何休《公羊传序》,借何休语说明“非常异议”的古典来历。,
LAXN17002,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,9,9,无所不在,庄子引文,《庄子·知北游》语意,讲东郭子问道时摘出庄子答语。,
LAXN17003,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,9,9,在蝼蚁,庄子引文,《庄子·知北游》,说明道在卑微物中时引用庄子语。,
LAXN17004,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,9,9,在屎溺,庄子引文,《庄子·知北游》,说明道无所不在时引用庄子名句。,
LAXN17005,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,9,9,故处处有之,庄子引文,《庄子·知北游》,解释道在屎溺的理由时引用原句。,
LAXN17006,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我是一头驴。,禅宗公案,赵州从稔与文远禅师故事,赵州禅师下贱譬喻公案中的第一句。,
LAXN17007,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我是驴屁股。,禅宗公案,赵州从稔与文远禅师故事,文远承接赵州语的公案答句。,
LAXN17008,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我是屁股中的大便。,禅宗公案,赵州从稔与文远禅师故事,赵州继续下转譬喻的答句。,
LAXN17009,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我是大便里的蛆。,禅宗公案,赵州从稔与文远禅师故事,文远进一步接话的禅门机锋。,
LAXN17010,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,你在大便里干什么？,禅宗公案,赵州从稔与文远禅师故事,赵州追问文远的机锋。,
LAXN17011,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我在避暑乘凉啊！,禅宗公案,赵州从稔与文远禅师故事,文远以自得语收束公案。,
LAXN17012,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,怎样参禅，才能悟道？,禅宗公案,赵州从稔禅师故事,引出赵州小便故事的问题。,
LAXN17013,虚拟的十七岁,道在屎溺,003.道在屎溺.txt,25,25,我要去厕所小便。,禅宗公案,赵州从稔禅师故事,赵州以日常行动答参禅悟道。,
