file	line	text
001.“新瓶装新酒”吗？.txt	3	7月15日，国民党第一党报《中央日报》刊出短评，题为《新瓶装旧酒》，说“中国国民党第十三次全国代表大会闭会，‘中评会’与‘中委会’紧接着召开，各方瞩目的‘中常委’暨正副秘书长人选亦已底定，阵容堂堂，党主席李登辉先生特以‘新酒装新瓶’相期许，提示今后执政党当从新的内涵上重写历史的新章。”同一天，《联合报》也刊出短评，题为《新酒·新瓶》，说“这譬喻很形象化，值得叫好。”“俗话说旧瓶装新酒，是一种嘲讽。新酒装在旧瓶里，虽新犹旧；而新酒竟然装在旧瓶里，实在可惜。更重要的，乃是新酒与旧瓶，不可相提并论。”“新酒不是为旧瓶而酿造的，旧瓶若不是可丢掉的垃圾，便只能当作古董。新酒当然不能装在旧瓶里被时代遗弃，或给人一起当作古董看，现在新酒既然酿造出来了，且看中常委们如何制出新瓶来。”
001.“新瓶装新酒”吗？.txt	7	所谓“旧瓶不能装新酒”，其实是一种错得离谱的翻译。这话源出《新约·马太福音》第九章第十七节，英译原文是“Neither do men put new wine into old bottles; else the bottles break, and the wine runneth out, and the bottles perish； but they put new wine into new bottles, and both are preserved. ”中文旧译这段话如下：“没有人把新酒装在旧皮袋里，若是这样，皮袋就裂开，酒漏出来，连皮袋也坏了；惟独把新酒装在新皮袋里，两样就都保全了。”这段译文，很见功夫，因为它把old bottles不译成“旧瓶”而译成“旧皮袋”。一般人望文生义、望瓶生义，以为bottles是瓶子，而今天的酒都装在瓶子里，自然old bottles就是旧瓶，殊不知bottles绝不是瓶子，而是山羊皮做的酒袋。这一奥妙，只要细查各版《韦氏字典》，便可恍然。《韦氏字典》明明写着：bottle是皮做的一头可扎紧的软袋（a nonrigid container resembling a bag, made of skin），是古希伯来人使用至今牧野之人犹在使用的山羊皮缝的颈部可扎紧的酒袋（Bottles of skins of animals, as of goats, sewn up in the form of a bag and tied at the neck, were used by the Hebrews, and are still in use, esp. among the ruder peoples.）。可见把“旧皮袋”翻成“旧瓶”的，全部闹了大笑话。
001.“新瓶装新酒”吗？.txt	9	为什么旧皮袋不能装新酒呢？因为旧皮袋用山羊皮光的一面做里子，用久以后，又干又脆，若装了新酒，因新酒所余，容易发酵，旧皮袋包不住，就撑破了，所以《新约》说：“没有人把新酒装在旧皮袋里”，只有装在新皮袋里，酒与皮袋，才都可保全。
001.“新瓶装新酒”吗？.txt	11	国民党主席李登辉是基督教徒，理应读过《新约》，但他却没注意到“旧皮袋”的正确译文，而说出“新瓶装新酒”的话，这种大笑话，是很令人惊异的；也许李登辉读的《新约》是英文译文，但他也没注意到bottle的正确定义而乱予望文生义、望瓶生义，这种大笑话，也是很令人惊异的。
001.“新瓶装新酒”吗？.txt	13	结论是：李登辉虽是基督徒，却没好好读《新约》；而攀龙附凤之徒的一片叫好，适足以见国民党的无知好笑而已。按照常识，不管旧瓶新瓶，其实任何种类的酒都可以装，又何在乎什么新旧？真正的关键是，旧皮袋不能装新酒，国民党今天妄想用“新酒装新瓶”，其实非也，新酒装来装去，还是旧皮袋耳！
002.这是哪门子“新酒”？.txt	9	苏南成原是国民党员，据1982年12月30日《中央日报》登，他因1972年竞选台南市长未获提名，就“自动申请退党，以无党籍身份竞选台南市长，结果败于当时党提名的候选人张丽堂，及至第八届市长选举时，才当选台南市长，去年又获当选连任。苏南成虽退出国民党，但在两届市长任内，均与国民党合作无间”。在合作无间下，苏南成“最近向党部申请恢复党籍，经台湾省党部依组织体系及考核程序，报陈中央，经中央常会核议准予恢复党籍”云云。对这一美容报导，引起我的疑义。因为在《中国国民党纪律法规及释例汇编》中，明明有“1961年9月14日（五〇）纪字第044号解释”，其中明文规定：“凡自请脱党者，对本党已失信心，不得依据党员违反纪律处分规程第31条之规定恢复党籍。”如今《中央日报》却说苏南成既“自动申请退党”于先，又得“恢复党籍”于后，对照起党内法规来，可见国民党党中央十足在为苏南成玩法毁法，这成何体统？
002.这是哪门子“新酒”？.txt	13	《中央日报》又说苏南成“在两届市长任内，均与国民党合作无间”，现在，问题又来了。按照国民党党章第74条第4款，明定“对开除党籍之党员全党党员应共弃之”的；复按“1956年7月3日发45央1字第155号”中央委员会代电附件“对被开除党籍者应有的态度与行动的指示”一至四点，又明定这种人是不要与之“继续往来交游”的、是不要与之谈“党务与有关秘密之政治事项”的、是在“选举时，一律不予支持”的。……足证按党内法规，是要弃苏南成如路人的、视苏南成为大麻疯的，又何从“合作无间”之有呢？可见国民党党地方十足在为苏南成玩法毁法，这又成何体统！
003.李登辉的户籍.txt	3	今年4月6日，《联合晚报》登出这样的新闻标题：《李总统不再受刁难/身份证职业栏改妥/这回不必交（在职证明）了》。新闻内容是：“李登辉总统前年领取新身份证时，曾发现职业登记栏为‘台湾省政府主席’，而交代秘书人员持往古亭户政所更改登记，因户籍法规变更职业登记为副总统，必须检附《在职证明》，遭到‘婉拒’，秘书人员为之气结，表示副总统只有国民大会颁发的‘当选证书’，不知从何申请副总统在职证明，后来户政单位开会研究，才以事实认定方式同意改正。古亭户政所负责官员今天表示，李总统的‘新’职业登记，最近再次变更为总统，不过还是依事实的认定而改正，未行提出《在职证明》。”
003.李登辉的户籍.txt	7	八年前，国民党政府为示宽大，居然同意李敖出境，由警总保安处处长郭学周出面，约我到他刀光剑影的官衙，从他上衣口袋中掏出出境证，当面笑嘻嘻的交给我，表示情治机关不刁难了。不料旅行社把出境证送到“外交部”领护照时，“外交部”的专员级科员汪应松力持反对颁发，理由是从新闻媒体报导中，事实认定李敖与胡茵梦有离婚行为，但在旅行社送来的李敖户籍誊本上，李敖却是未婚，因此不能发护照。我得知后，既笑且怒，乃写信责问“外交部长”朱抚松。1980年11月15日，由“外交部”领事事务处出面，回我一信，说：“奉交下台端本月1日致本部朱部长函敬悉。查申领护照按规定须据实填写护照资料卡，台端所填资料卡之婚姻状况经查与事实不符，用特函达，请即亲自或以书面委托他人前来本处办理更正，以凭发照。”我收信后，既大笑又大怒，乃再写信责问朱抚松。我说：因为“丈母娘”扣留胡茵梦户口图章，胡茵梦一时迁不到我家，所以结婚时未能即时到户政机关登记。不料还没登记，就离婚了。所以送到贵部的户口誊本上，仍然是未婚。但这是户政机关的合法文件，是十足合法的“公文书”，你们是公家机关，“经查”手续自以“公文书”为依据，“公文书”上关于我的婚姻状况，你们竟不引为依据，撇开不采，反倒转过头来，要根据报章来“查”，一小块剪报就算“经查”完事了吗？照一小块剪报，就可以推翻附卷的“公文书”了吗？我既然提不出婚姻成立的“公文书”，试问你们叫我如何前来“办理更正”？我又凭什么来“更正”？如果说，我“更正”结婚复离婚，试问与附卷的“户籍誊本”一致吗？不一致，岂不“经查与‘法律’不符”了吗？这样“更正”——与附卷“公文书”公然抵触的“更正”，请问你们给我护照，你们站得住吗？我“更正”，我站得住吗？你们犯的，是《刑法》第213条，我犯的，是《刑法》第214条，双方都是伪造文书罪啊！究竟如何处理，请你答复。我这样责问后，朱抚松知道李敖惹不得了，因此下令即发护照给李敖，并把 “外交部”中的读报专家汪应松骂了一顿。
003.李登辉的户籍.txt	9	这个故事，告诉了我们，所谓事实认定，照样是公务人员扰民的一种把戏。台湾的大亨级人物，从李登辉到李敖，都不免于受公务人员的苛扰，其他小百姓，更可知矣！
