score	file	line	text	context
5	《李语录》目录.txt	53	莲生淤泥中，不与泥同调	042.“莲生淤泥中，不与泥同调”
3	《李语录》目录.txt	168	狼来了！	139.喊“狼来了！”
4	001.《李语录》一.txt	9	教徒弟，打师父。	得天下之英才而教之，无乐也；（“教徒弟，打师父。”又有何乐？）得天下之蠢才而骂之，一乐也。
4	001.《李语录》一.txt	17	舌下无英雄，笔底无奇士。	韩孔厂说：“舌下无英雄，笔底无奇士。”但不幸沦为笔底，纸上牛屄总比纸上马屁好。
4	001.《李语录》一.txt	21	得固欣然，失亦可喜。	不患得患失的基础是：“得固欣然，失亦可喜。”悟此八字，得可与人俯仰一世，失可令人一世俯仰（新女性，只能床上俯仰一世，却妄想床下一世俯仰）。
4	003.《李语录》三.txt	5	当然值得。一个人，在纳粹统治下，不做纳粹，就是高人一等。	甲：“不做国民党就值得自豪？”乙：“当然值得。一个人，在纳粹统治下，不做纳粹，就是高人一等。”甲：“但你不做国民党，只不过达到一项消极的标准而已。”乙：“有所不为，而后可以有为。”
4	003.《李语录》三.txt	5	但你不做国民党，只不过达到一项消极的标准而已。	甲：“不做国民党就值得自豪？”乙：“当然值得。一个人，在纳粹统治下，不做纳粹，就是高人一等。”甲：“但你不做国民党，只不过达到一项消极的标准而已。”乙：“有所不为，而后可以有为。”
4	003.《李语录》三.txt	5	有所不为，而后可以有为。	甲：“不做国民党就值得自豪？”乙：“当然值得。一个人，在纳粹统治下，不做纳粹，就是高人一等。”甲：“但你不做国民党，只不过达到一项消极的标准而已。”乙：“有所不为，而后可以有为。”
3	003.《李语录》三.txt	5	不做国民党就值得自豪？	甲：“不做国民党就值得自豪？”乙：“当然值得。一个人，在纳粹统治下，不做纳粹，就是高人一等。”甲：“但你不做国民党，只不过达到一项消极的标准而已。”乙：“有所不为，而后可以有为。”
5	003.《李语录》三.txt	36	亟思有以自效，来医治潜意识里的恐惧并打破寂寞	变节的共产党是最坏的共产党，这种人有共产党的坏习性，但没有共产党的理想性。国民党收罗了太多的这种货色，这种人“亟思有以自效，来医治潜意识里的恐惧并打破寂寞”（殷海光语），所以就在蓝红之间，无颜失色。
4	004.《李语录》四.txt	13	环顾一身无可忧，忧必在于天下。	范仲淹说：“先天下之忧而忧。”王安石说：“环顾一身无可忧，忧必在于天下。”但这都是不愁三餐者之言。在国民党的黑暗统治里，你必须一身与天下同忧，这样你才有忧天下的本钱。
7	004.《李语录》四.txt	37	知所先后，则近‘死’矣！	清朝王源《刘处士墓表》有这样一段：“（刘献廷）尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳。’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’”——真是“知所先后，则近‘死’矣！”
6	004.《李语录》四.txt	37	（刘献廷）尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳。’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’	清朝王源《刘处士墓表》有这样一段：“（刘献廷）尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳。’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’”——真是“知所先后，则近‘死’矣！”
5	005.《李语录》五.txt	7	莲生淤泥中，不与泥同调	042.“莲生淤泥中，不与泥同调”
7	005.《李语录》五.txt	9	莲生淤泥中，不与泥同调。	黄庭坚《赣上食莲有感》诗说：“莲生淤泥中，不与泥同调。”我觉得我在这岛上最值得自豪的，就是在此。
3	005.《李语录》五.txt	25	台北开车真可怕，比打仗还可怕。打仗只是正前方有敌人；开计程车却是前后左右四方都是敌人。	老兵计程车司机对我说：“台北开车真可怕，比打仗还可怕。打仗只是正前方有敌人；开计程车却是前后左右四方都是敌人。”我觉得我正如此。
5	005.《李语录》五.txt	37	思想巨人、行动侏儒	有些人说我在党外是“思想巨人、行动侏儒”。我不知道孙中山不参加3月29日之役，是“巨人”呢，还是“侏儒”？
4	006.《李语录》六.txt	5	每不免讳、饰、诬、枉。	国民党大员胡汉民晚年自忏，说国民党的历史，“每不免讳、饰、诬、枉。”其实党外小政客斗臭异己的历史，也全是国民党的翻版，只是他们更笨罢了。
4	006.《李语录》六.txt	17	平剧、浓茶、溜鸟——这种人中，不会出李敖。	江述凡说：“平剧、浓茶、溜鸟——这种人中，不会出李敖。”——这是江版李语录。
4	006.《李语录》六.txt	25	你看，你不喜欢听真话。	谷小姐向柳小姐说了真话。柳小姐怪她。谷小姐说：“你看，你不喜欢听真话。”柳小姐说：“我喜欢听真话，但不喜欢听这种真话。”——可爱的女人总喜欢假的真话。
4	006.《李语录》六.txt	25	我喜欢听真话，但不喜欢听这种真话。	谷小姐向柳小姐说了真话。柳小姐怪她。谷小姐说：“你看，你不喜欢听真话。”柳小姐说：“我喜欢听真话，但不喜欢听这种真话。”——可爱的女人总喜欢假的真话。
3	009.《李语录》九.txt	21	弹钢琴的孩子不会变坏	广告说“弹钢琴的孩子不会变坏”——但会变成羊。
5	009.《李语录》九.txt	41	好读书，不求甚解	陶渊明“好读书，不求甚解”；我“好女人，不求甚解”（女人如果甚解，你将倒尽脾胃）。
5	009.《李语录》九.txt	41	好女人，不求甚解	陶渊明“好读书，不求甚解”；我“好女人，不求甚解”（女人如果甚解，你将倒尽脾胃）。
8	013.《李语录》十三.txt	33	不知为不知，是知也	我总觉得孔夫子“不知为不知，是知也”，这句话被人翻错了。正确的翻译应该是：“对不必知道的知识保持继续不知道，才是有知的表现。”
7	013.《李语录》十三.txt	33	对不必知道的知识保持继续不知道，才是有知的表现。	我总觉得孔夫子“不知为不知，是知也”，这句话被人翻错了。正确的翻译应该是：“对不必知道的知识保持继续不知道，才是有知的表现。”
4	014.《李语录》十四.txt	17	三个臭皮匠，胜过诸葛亮。	“三个臭皮匠，胜过诸葛亮。”——在皮革业中和皮鞋店中，这是真理。
5	014.《李语录》十四.txt	29	开大门，走大路	国民党以正大光明自居，口号是“开大门，走大路”。其实它是最不敢“开大门”的。一开了大门，“走大路”未成，“走大陆”倒是真的。
3	014.《李语录》十四.txt	33	建立一个富而好礼的社会	国民党鼓吹“建立一个富而好礼的社会”，其实此“礼”乃礼物之礼也、红包之礼也。
3	014.《李语录》十四.txt	35	狼来了！	139.喊“狼来了！”
5	017.《李语录》十七.txt	41	醉卧美人膝，醒握天下权	上床能运动，下床能暴动，此之谓大丈夫（日本政治家曾谓“醉卧美人膝，醒握天下权”者也）。
4	018.《李语录》十八.txt	25	钻之弥坚	古人说对圣人“钻之弥坚”，我看对石女才更合适。
3	023.《李语录》二三.txt	21	总统训词	厕所中读“总统训词”——一边拉屎、一边吃屎。
4	024.《李语录》二四.txt	29	He ain't heavy，he's my brother.	唱“He ain't heavy，he's my brother.”（他不重，他是我兄弟）的人最混蛋，因为他不知道兄弟才最重。
5	025.《李语录》二五.txt	29	君子报仇，十年不晚	固然“君子报仇，十年不晚”。但是也别太晚，因为十年后，你的敌人也许早下地狱了。
5	027.《李语录》二七.txt	25	爱眼前人就好啦，不必爱全人类啦！	对伪善者的一个劝告：“爱眼前人就好啦，不必爱全人类啦！”
5	029.《李语录》二九.txt	13	一脸横肉，扑人而来	有的女人，丑得要脸上贴猪肉才能吸引她的狗。当然，“一脸横肉，扑人而来”的女人例外。
7	037.《李语录》三七.txt	13	赔钱生意没人做，杀头生意有人做。	俗话说：“赔钱生意没人做，杀头生意有人做。”我却全都做。
4	041.片羽片语.txt	13	与人刃我，宁我自刃。	“与人刃我，宁我自刃。”——人们宁愿唱国民党的国歌，也不要听国民党唱国歌。
8	045.夜阑散记.txt	41	以国家之亡为己任；置他人之死于度外	蒋介石遗联：“以国家兴亡为己任；置个人死生于度外。”我看来看去，发现如改成“以国家之亡为己任；置他人之死于度外”，反倒更适合这老混蛋。
7	045.夜阑散记.txt	41	以国家兴亡为己任；置个人死生于度外。	蒋介石遗联：“以国家兴亡为己任；置个人死生于度外。”我看来看去，发现如改成“以国家之亡为己任；置他人之死于度外”，反倒更适合这老混蛋。
5	046.地下哲学家的札记.txt	33	我宁山头望廷尉，不能廷尉望山头	4世纪时候，庾亮征苏峻为大司马，苏峻说：“我宁山头望廷尉，不能廷尉望山头”了。后造反而死，今天的党外人士，真可说“我宁山头望党外，不能党外望山头”了。（1982年6月8日）
5	046.地下哲学家的札记.txt	33	我宁山头望党外，不能党外望山头	4世纪时候，庾亮征苏峻为大司马，苏峻说：“我宁山头望廷尉，不能廷尉望山头”了。后造反而死，今天的党外人士，真可说“我宁山头望党外，不能党外望山头”了。（1982年6月8日）
4	046.地下哲学家的札记.txt	41	我不能不变成英雄，因为他们打沉了我的船。	马占山和肯尼迪变成英雄，都是被逼的。肯尼迪说：“我不能不变成英雄，因为他们打沉了我的船。”（1982年6月8日）
4	046.地下哲学家的札记.txt	49	莲，花之君子也。	周敦颐说莲花“出淤泥而不染”，可是人究竟不是莲花。周敦颐又说“莲，花之君子也。”花中那些小人，不是也“出淤泥而不染”吗？可是小人也究竟不是莲花。（1982年6月8日）
4	046.地下哲学家的札记.txt	63	我不想做皇帝，——我想做上帝。	澳洲来的女学生问我：“想不想做皇帝？”我说：“不想。”她问：“为什么？”我说：“我不想做皇帝，——我想做上帝。”我说：“要做梦就做个特大号的。不是吗？”（1982年6月9日）
3	046.地下哲学家的札记.txt	63	想不想做皇帝？	澳洲来的女学生问我：“想不想做皇帝？”我说：“不想。”她问：“为什么？”我说：“我不想做皇帝，——我想做上帝。”我说：“要做梦就做个特大号的。不是吗？”（1982年6月9日）
