id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LASLXY-001,世论新语,《世论新语》自序,《世论新语》自序.txt,7,7,学行继程朱之后，文章在韩欧之间,清代文人自期语,方苞自期语。,李敖借方苞的古文自期，引出桐城派重义法却才具不足的批评，并反衬自己对白话文与文言文的自负。,
LASLXY-002,世论新语,《世论新语》自序,《世论新语》自序.txt,9,9,夙不喜桐城派古文；幼年为文，学晚汉、魏、晋，颇尚矜炼。至是（办《新民丛报》）自解放，务为平易畅达，时杂以俚语、韵语及外国语法；纵笔所至不检束。学者竞效之，号新文体。老辈则痛恨，诋为野狐。然其文条理明晰，笔锋常带情感，对于读者，别有一种魔力焉。,近代文论引文,梁启超自述文体转变的一段话。,李敖用梁启超自述说明文言文在近代被写活的一面，同时指出文言终究被白话文取代。,
LASLXY-003,世论新语,新专栏--疯老虎出场,001.新专栏——疯老虎出场.txt,5,5,遥知天上桂华孤，为问嫦娥更要无？月宫幸有闲田地，何不中央种两株？,唐诗名句,白居易《桂华曲》诗句。,李敖以白居易诗句调侃一个报纸专栏化成两个专栏，如月宫空地再种桂树。,
LASLXY-004,世论新语,武士嵩武夫教谢,006.武士嵩武夫教谢.txt,3,3,赳赳武夫，公侯干城。,诗经名句,《诗经》句。,李敖借《诗经》原义说明“武夫”本非贬义，再反讽现代武夫自己不争气。,
LASLXY-005,世论新语,做戏无法，出个动词,016.做戏无法，出个动词.txt,3,3,做戏无法，出个菩萨。,民间俗语,中国俗话。,李敖用戏台上抬菩萨解围的俗语，讽刺现实事务中以改词遮掩问题的做法。,
LASLXY-006,世论新语,别再教猴子爬树了！,022.别再教猴子爬树了！.txt,5,5,毋教猱升木，如涂涂附。,诗经名句,《诗经》句。,李敖用这句说明已经会爬树的猱不应再被助长，借以批评继续扩大权力惯性的行为。,
LASLXY-007,世论新语,国民党气为之夺,034.国民党气为之夺.txt,3,3,自旦战至日中，吴人夺气,史传名句,《三国志·张辽传》句。,李敖解释“夺气”一词时，引《三国志》作古典例证，说明气势被对方压倒。,
LASLXY-008,世论新语,国民党气为之夺,034.国民党气为之夺.txt,3,3,器甲精新，军仪甚盛，魏人望之夺气,史传名句,《梁书·曹景宗传》句。,李敖并引《梁书》说明“夺气”的古代用法，使文章中的形容具有史传出处。,
LASLXY-009,世论新语,尤清的谄媚,043.尤清的谄媚.txt,3,3,非其鬼而祭之，谄也。,论语名句,《论语》句。,李敖以《论语》说明不该祭而祭即是谄媚，借古代礼分批评现实中的仪式表态。,
LASLXY-010,世论新语,尤清的谄媚,043.尤清的谄媚.txt,3,3,非我族类，其心必异。,左传名句,《左传》句。,李敖把《左传》句与《论语》并列，强调古人对族类、分际和祭祀对象的严密区分。,
LASLXY-011,世论新语,恶“视”传千里,067.恶“视”传千里.txt,5,5,勿以恶小而为之，勿以善小而不为,三国志名句,《三国志》蜀书先主传注引《诸葛亮集》所载刘备语。,李敖指出电视节目把这句中国名言说成个人格言，借此批评文化节目剽窃与无知。,
LASLXY-012,世论新语,您别回来了！,068.您别回来了！.txt,3,3,如今我们回来了，你们看便不同了！,外国诗文名句,文中称为古诗人名句，并附英文 You shall see the difference now that we are back again!,李敖引用这句回归宣言式诗句，与麦克阿瑟式誓言相对，转而讽刺现实人物不宜回来。,
