file	line	quoteText	markers	political	previous	context	next
001.从《中央日报》捧杀人犯说起.txt	3	嘉义刘内科医院院长刘堂坤		political-context		十八年来，国民党《中央日报》一而再、再而三的骂我，我笑着对自己说，被他们骂骂也好，要是被他们捧，那可能要倒霉。例如，在1961年2月24日的《中央日报上》，就大捧特捧“嘉义刘内科医院院长刘堂坤”，肉麻的说：	
001.从《中央日报》捧杀人犯说起.txt	9	女护士命案		political-context		不料肉麻以后三年，刘堂坤与“女护士命案”扯在一起，被判死刑。《中央日报》把肉麻话一概收起，不再谈“活人无算”“急公好义”了，开始落井下石了！	
001.从《中央日报》捧杀人犯说起.txt	9	活人无算		political-context		不料肉麻以后三年，刘堂坤与“女护士命案”扯在一起，被判死刑。《中央日报》把肉麻话一概收起，不再谈“活人无算”“急公好义”了，开始落井下石了！	
001.从《中央日报》捧杀人犯说起.txt	9	急公好义		political-context		不料肉麻以后三年，刘堂坤与“女护士命案”扯在一起，被判死刑。《中央日报》把肉麻话一概收起，不再谈“活人无算”“急公好义”了，开始落井下石了！	
001.从《中央日报》捧杀人犯说起.txt	11	明镜高悬	classics	political-context		刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。	
001.从《中央日报》捧杀人犯说起.txt	11	明镜高悬	classics	political-context		刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。	
001.从《中央日报》捧杀人犯说起.txt	11	自由心证	classics	political-context		刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。	
001.从《中央日报》捧杀人犯说起.txt	11	不予采信	classics	political-context		刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。	
001.从《中央日报》捧杀人犯说起.txt	11	不予采信	classics	political-context		刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。	
001.从《中央日报》捧杀人犯说起.txt	13	自由心证		political-context		不过值得注意的，还不在法官乱用“自由心证”，而在法官的证据认定和逻辑知识。这个案子，初审法官判刘堂坤死刑，用的完完全全是“猜谜”的方法，而不是严格的证据。换句话说，这么一件人命关天的大案子，用“想象的情况”来“猜”出刘堂坤是凶手，这种“执法”，是我们绝不敢领教的。我们认为这是一切冤狱和人权侵犯的祸源。	
