file	line	matched_quote	previous_id	previous_book	previous_source	context
001.介绍我的《为中国思想趋向求答案》.txt	19	行尸走肉	LAZHXJ-065	李敖自传与回忆续集	033.银纸包个臭皮蛋.txt:13-13	所以，一个活人，灌着一脑袋“僵尸思想”，在我们这个社会里毫不稀奇。所谓僵尸思想，种类是很多的：例如“孔老二思想”、“西门庆思想”、“魏忠贤思想”、“袁大头思想”……到处都可以在中国人的行尸走肉上借尸还魂。所以，在许多时候，我简直怀疑：我们到底是活在现代呢还是生在古代？是死人重生呢还是根本就是活死人？
001.介绍我的《为中国思想趋向求答案》.txt	43	悠然见南山	LADXT-010	独白下的传统	001.快看《独白下的传统》.txt:105-105	旧时代的知识分子们老是想从政治着手，靠着传统和既成势力，做着“得君行道”、“代圣人立言”的迷梦；新时代的知识分子们却不这样，他们封还了高官巨党，不怕孤独的走向社会改革的长途。在路的两边，他们散播真正西方的花种，花种名目是“科学”、“民主”、“现代化”。这些种子不来自东方，两千五百年的中国历史里不曾有它，一十五年的红色大陆里也不会有它，它的真正温床是在这大洋中的孤岛，它的真正花匠是我们这一代的孽子孤臣。两千五百年来从没有过的果实，我们要它从我们的手里连根长起。“悠然见南山”的季节还早着哩！现在的时候，只是播种与春耕。
002.给谈中西文化的人看看病.txt	11	换汤不换药	LAWLDH-018	文化论战丹火录	002.文化论战丹火录.txt:143-143	三百年的迷梦不可谓不久，三百年的失败不可谓不多，三百年换汤不换药的恶果不可谓不大。民国以来，我们的病况虽有起色，可是我们并未真正健康起来、活泼起来，我们还有许多不健康的心病，成为我们赛跑时的阻力。如果我们真想在现代化的跑道上做一个尾随不舍的健儿，如果我们真想在年轻民族的背后脱掉我们的暮气，我们必须把这些心病做一次彻底的治疗。
002.给谈中西文化的人看看病.txt	25	口诛笔伐	LAJYLP-069	教育与脸谱	004.关于高等教育怪现状的讨论.txt:153-153	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	25	“口诛”、“笔伐”	LAJYLP-143	教育与脸谱	012.於梨华和她的小说.txt:25-25	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	25	阴魂不散	LAWLDH-020	文化论战丹火录	002.文化论战丹火录.txt:143-143	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	25	中学为体	LAWLDH-093	文化论战丹火录	002.文化论战丹火录.txt:2207-2207	他这种口诛笔伐的梦想居然真有人拿来实行了，那就是义和团。义和团是排斥西方最纯粹的分子，也是最知行合一的一群。他们对洋玩意一概是否定的，所以会表演大刀对洋枪、赤膊挡洋炮。他们不但深信中学为体，也深信中学为用。他们是道道地地的黄帝子孙，他们虽然光荣的失败，害得全国同胞每人都赔了银子，可是他们的阴魂不散，阴魂附在辜鸿铭身上，鼓舞这位老怪物写The Spirit of the Chinese People（《春秋大义》），来做他们的安魂曲。“春秋大义”式的思想与义和团思想事实上是一个窑里烧出来的，只是表现的方法稍微文明而已。降至今日的一些老古董，在思想上愈以“不忘本”标榜的，愈接近此类。这一派显然是式微了，因为他们既无义和团的勇气，又无辜鸿铭的妖焰，只好以古稀之年，筹办他们的中国道德励进社去了。
002.给谈中西文化的人看看病.txt	43	古已有之	LAWLDH-069	文化论战丹火录	002.文化论战丹火录.txt:1623-1623	古已有之病
002.给谈中西文化的人看看病.txt	49	古已有之	LAWLDH-069	文化论战丹火录	002.文化论战丹火录.txt:1623-1623	这种“原在吾儒覆载之中”的大言，在我们国民心中流传很广：阮元就拿过后汉的四分法来比西洋数学（《畴人传》）；印光任就拿过周髀来包括“浑盖通宪之器，寒热五带之理”（《澳门纪略》）；陈启天就拿过孟子的话来比近代民主政治的观念（《中国政治哲学概论》）；毛子水就拿过《大戴礼记》“四角之不掩”的话来比西方的地圆说（《中国科学思想》）。现在某些人做一些事，动辄以古人“先得我心”而自熹的，或以“与古法合”自傲的，都是“古已有之”病患者，你若问他“孔子周游列国时为什么坐马车不坐汽车？”他并不说“那时候没有汽车”，他的答复是：“那时候的马车就是现在的汽车。”这种夸大诞妄的先生们，说破了，不过是古人尸影下的奴隶罢了。
002.给谈中西文化的人看看病.txt	65	投鼠忌器	LAWC2-016	李敖文存二集	001.“缇萦救父”表示了什么？.txt:47-47	近三百年前，杨光先和比利时的南怀仁斗历法失败，遣戍归来，写成了《不得已》。他呼吁“宁可使中国无好历法，不可使中国有西洋人”，躲在这种态度背后的动机，说穿了疱，不过是怕洋人“收吾天下之人心”罢了。这帮子人一方面想要人家的文明，一方面又觉得要了危险，想来想去，决定还是不要好。这种畏葸的小心眼儿，投鼠忌器的谨慎，真是怪可怜的：他们怕这一变，连腐朽的老本也没有了。梁漱溟后来写《中国民族自救运动之最后觉悟》（民国二十二年）时，已经明显的转入“不得已”派，他那种“最后觉悟”的语气是很沉痛的，他一方面承认：
