id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LADB-001,李敖刀笔集,《李敖刀笔集》小引,《李敖刀笔集》小引.txt,3,3,有识之士,中文成语,传统成语,本书在相关章节使用或引录“有识之士”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-002,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,33,33,滥竽充数,中文成语,传统成语,本书在相关章节使用或引录“滥竽充数”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-003,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,33,33,连篇累牍,中文成语,传统成语,本书在相关章节使用或引录“连篇累牍”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-004,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,33,33,障眼法,中文熟语,中文熟语,本书在相关章节使用或引录“障眼法”，保留其可独立检索的中文熟语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-005,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,57,57,别创一格,中文成语,传统成语,本书在相关章节使用或引录“别创一格”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-006,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,57,57,登龙有术,中文成语,传统成语,本书在相关章节使用或引录“登龙有术”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-007,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,57,57,恬不知耻,中文成语,传统成语,本书在相关章节使用或引录“恬不知耻”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-008,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,65,65,恨入骨髓,中文成语,传统成语,本书在相关章节使用或引录“恨入骨髓”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-009,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,65,65,今古奇观,中文成语,传统成语,本书在相关章节使用或引录“今古奇观”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-010,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,65,65,拍案称奇,中文成语,传统成语,本书在相关章节使用或引录“拍案称奇”，保留其可独立检索的中文成语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-011,李敖刀笔集,告徐复观的状子,001.告徐复观的状子.txt,65,65,牵着别人的鼻子走,中文熟语,中文熟语,本书在相关章节使用或引录“牵着别人的鼻子走”，保留其可独立检索的中文熟语性质。,校对轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
