id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LAYHS-001	李敖有话说	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	15	15	天下兴亡，匹夫有责	明清之际名言	顾炎武语意概括	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-002	李敖有话说	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	39	39	我失骄杨君失柳，杨柳轻飏，直上重霄九。	现代词句	毛泽东《蝶恋花》词句	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-003	李敖有话说	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	39	39	忽报人间曾伏虎，泪飞顿作倾盆雨。	现代词句	毛泽东《蝶恋花》词句	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-004	李敖有话说	003.2004-03-10：沐猴而冠和Democrazy.txt	19	19	大道之行也，天下为公，选贤与能	礼记名句	《礼记·礼运》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-005	李敖有话说	003.2004-03-10：沐猴而冠和Democrazy.txt	31	31	吾与点也	论语名句	《论语·先进》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-006	李敖有话说	003.2004-03-10：沐猴而冠和Democrazy.txt	59	59	教猱升木	胡适书信用语	胡适语	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-007	李敖有话说	003.2004-03-10：沐猴而冠和Democrazy.txt	59	59	沐猴而冠	史记成语	《史记·项羽本纪》语意	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-008	李敖有话说	014.2004-03-25：由“棄”字识破风凉话.txt	3	3	货恶其弃于地也，不必藏于己；力恶其不出于身也，不必为己	礼记名句	《礼记·礼运》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-009	李敖有话说	014.2004-03-25：由“棄”字识破风凉话.txt	5	5	朱门酒肉臭，路有冻死骨	唐诗名句	杜甫诗句	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-010	李敖有话说	019.2004-04-01：台独只是一个梦.txt	13	13	万山不许一溪奔，拦得溪声日夜喧，到得前头山脚尽，堂堂溪水出前村。	宋诗句	杨万里《桂源铺绝句》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。 校对轮补入：首轮漏收，校对时确认句子本体属于非政治诗文、经史文句、歌词、题句或格言。
LAYHS-011	李敖有话说	020.2004-04-02：“骗子”诗人和他的诗.txt	5	5	举头望明月，低头思故乡	唐诗名句	李白《静夜思》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-012	李敖有话说	020.2004-04-02：“骗子”诗人和他的诗.txt	5	5	今夜扁舟来别汝，死生从此各西东。	宋诗句	王安石诗句	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-013	李敖有话说	020.2004-04-02：“骗子”诗人和他的诗.txt	56	56	世乱遭飘荡，生还偶然遂	唐诗句	杜甫《羌村三首》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。
LAYHS-014	李敖有话说	020.2004-04-02：“骗子”诗人和他的诗.txt	56	56	邻人满墙头，感叹亦歔欷	唐诗句	杜甫《羌村三首》	yes		首轮保守收入：本书节目政论、新闻标题和选战语境极密集，仅取可独立成立的诗文、经史文句、成语俗谚、对联、文学/歌词句和少量非政治格言。 校对轮补入：首轮漏收，校对时确认句子本体属于非政治诗文、经史文句、歌词、题句或格言。
