id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LIFEDEATH-001,李敖生死书,《李敖生死书》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/《李敖生死书》题辞.txt,3,3,未知生，焉知死,儒家经典,《论语·先进》,孔子回答季路问鬼神、生死时的经典句。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-002,李敖生死书,何妨投死为韩凭？,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/001.何妨投死为韩凭？.txt,3,3,不知周之梦为蝴蝶与？蝴蝶之梦为周与？,道家经典,《庄子·齐物论》,庄周梦蝶故事中提出梦与觉、自我与物化边界的名句。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-003,李敖生死书,何妨投死为韩凭？,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/001.何妨投死为韩凭？.txt,9,15,"翅轻于粉薄于缯，
长被花牵不自胜。
若信庄周尚非我，
岂能投死为韩凭？",古典诗歌,王安石《蝶》,王安石以庄周梦蝶与韩凭夫妇故事写蝴蝶、情死和物我之辨。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-004,李敖生死书,何妨投死为韩凭？,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/001.何妨投死为韩凭？.txt,15,15,岂能投死为韩凭？,古典诗句,王安石《蝶》,王安石《蝶》结句，以韩凭故事反问为情而死的可能。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-005,李敖生死书,四月之死,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/003.四月之死.txt,21,33,"When I am dead and over me bright April
Shakes out her rain-drenched hair,
Though you should lean above me broken-hearted,
I shall not care.
I shall have peace, as leafy trees are peaceful
And I shall be more silent and cold-hearted
Than you are now.",外国诗歌,"Sara Teasdale, I Shall Not Care",莎拉·替滋代尔关于死亡后漠然与平静的英文诗。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-006,李敖生死书,戴传贤自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/006.戴传贤自杀写真.txt,3,3,个人是好的，群体是坏的。,外国格言,泰戈尔语，李敖转述,泰戈尔关于个体与群体道德差异的格言。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-007,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,9,9,五十之年，只欠一死，经此世变，义无再辱,绝命词,王国维遗书,王国维遗书中表达经世变后不愿再受辱的绝命语。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-008,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,21,21,不屈旧以就新，亦不绌新以从旧。,学术格言,王国维治学精神，李敖概括,形容王国维治学既不强使旧说迁就新说，也不贬抑新知服从旧说。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-009,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,33,33,不可贪多，亦不可昧全，看全部要清楚，做一部要猛勇。,学术格言,梁启超《王静安先生墓前悼辞》,梁启超论做学问须兼顾全局与专门用力的格言。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-010,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,121,121,归易耳，丈夫不能再辱。,史传典故,《资治通鉴》引李陵语,李陵回答招归时以不能再辱为由不归汉的名句。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-011,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,137,137,不降其志，不辱其身，伯夷叔齐欤？,儒家经典,《论语·微子》,孔子称伯夷、叔齐不降志、不辱身的句子。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-012,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,137,137,违心苟活，比自杀还更苦：一死明志，较偷生还更乐。,现代学人语,梁启超《王静安先生墓前悼辞》,梁启超从中国古代道德观解释王国维自杀意义的判断。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-013,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,141,141,不愿与虚伪恶浊之流同立于此世，一死焉而清刚之气乃永在天壤。,现代学人语,梁启超《王静安先生纪念号序》,梁启超称王国维不愿与虚伪恶浊同世而以死留清刚之气。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-014,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,147,147,劫尽变穷，则此文化精神所凝聚之人，安得不与之共命而同尽,现代学术名句,陈寅恪《王观堂先生挽词》,陈寅恪论文化衰变时，文化精神凝聚者与之共命同尽的句子。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
LIFEDEATH-015,李敖生死书,王国维自杀写真,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/010.李敖生死书/007.王国维自杀写真.txt,151,151,思想而不自由，毋宁死耳。,现代学术名句,陈寅恪《清华大学王观堂先生纪念碑铭》,陈寅恪碑铭中关于思想自由与生命取舍的名句。,校对轮保留：本书以死亡、殉难、自杀和历史人物为题，现代党史、政权、革命动员、人物攻防类语录不收；若本条出自政治语境，仅因引用文本本身是外部经典、诗歌、古文、佛典或非政治性格言而保留。
