decision	id	source_file	line_range	category	risk_in_quote	quote_text	reason
keep	LAHRX-001	002.余玠人格品质的分析.txt	9-9	清人咏史诗句	no	孱然一儒者，慷慨成英雄。	以墓诗两句概括余玠由儒者而成英雄的形象。
keep	LAHRX-002	002.余玠人格品质的分析.txt	15-23	宋词	no	怪新来瘦损，对镜台霜华，零乱鬓影，胸中恨谁省？\n正关山寂寞，幕天风景，貂裘渐冷。\n听梧桐——声敲露井；可无人，为向楼头，试问塞鸿音信。\n争忍——勾引悉绪，半掩金铺，雨欺灯晕，家憧因卧，呼不应，自高枕。\n待催他天际，银蟾飞上，唤取嫦娥细问：“要乾坤——表里光辉，照于醉饮！”	李敖引余玠长短句，以说明其文才与气魄。
keep	LAHRX-003	003.杜威的教育思想及其他.txt	29-29	西方哲学格言	no	知识即力量	李敖论杜威思想源流时转引培根名言。
keep	LAHRX-004	003.杜威的教育思想及其他.txt	29-29	西方哲学格言	no	提高人生，以增进人类的能力	李敖转述培根关于科学目的的说法。
keep	LAHRX-005	003.杜威的教育思想及其他.txt	29-29	实用主义格言	no	经验就是生活，生活不是在抽象之中，而是在环境之中，并且还得之于环境	李敖引杜威语说明经验哲学的本质。
keep	LAHRX-006	003.杜威的教育思想及其他.txt	37-37	实用主义格言	no	教育就是生活	李敖概述杜威教育与生活合一的观念。
keep	LAHRX-007	003.杜威的教育思想及其他.txt	37-37	实用主义格言	no	经验哲学也就是生活	李敖概述杜威经验哲学与生活合一的观念。
keep	LAHRX-008	003.杜威的教育思想及其他.txt	37-37	实用主义格言	no	哲学就是广义的教育学说。	李敖引杜威语说明哲学与教育的贯通。
keep	LAHRX-009	003.杜威的教育思想及其他.txt	41-41	论语名句	no	学而不思则罔，思而不学则殆。	蔡元培借孔子语说明经验与思想并重。
keep	LAHRX-010	003.杜威的教育思想及其他.txt	41-41	论语名句	no	多闻阙疑，慎言其余；多见阙殆，慎行其余。	蔡元培借孔子语说明试验精神。
keep	LAHRX-011	003.杜威的教育思想及其他.txt	43-43	论语成语	no	诲人不倦	李敖以孔子语概括杜威终身教育事业。
keep	LAHRX-012	004.桑格夫人和节育运动.txt	9-9	现代幽默格言	no	天下事十碰九不开，好在还有第十碰	吴稚晖以十碰九不开的妙语劝人面对挫折。
keep	LAHRX-013	004.桑格夫人和节育运动.txt	9-9	易经名句	no	天行健，君子以自强不息。	吴稚晖借《易经》语说明遇挫仍须自强。
