id	source_file	line_start	line_end	quote_text	source_found	political_hits	summary	notes
LAKYHX001	001.9月19日神州文化之旅第一天.txt	25	25	孔雀东南飞	yes		李敖在返乡行程开头借古诗题名转化方向意象，说自己从东南海岛飞回西北故土。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX002	001.9月19日神州文化之旅第一天.txt	25	25	西北有高楼	yes		李敖承接“向西北飞”的说法，借汉乐府题名说明此行回到西北方向的文化原乡。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX003	002.9月20日神州文化之旅第二天.txt	229	229	为者长成，行者长至	yes		李敖在太平路小学黑板题写此句，勉励做事和行路都要靠持续推进而成就。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX004	002.9月20日神州文化之旅第二天.txt	233	233	虽有智慧，不如乘势；虽有镃基，不如待时	yes		李敖在母校题写并说明此句，强调才智和工具还要配合时势与时机。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX005	002.9月20日神州文化之旅第二天.txt	263	263	往事如烟，永远新鲜；前程似锦，气象万千	yes		李敖为自己就读过的小学题词，把旧日记忆和未来祝愿并置成联语。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX006	003.9月21日神州文化之旅第三天.txt	63	63	富贵不能淫，贫贱不能移，威武不能屈	yes		李敖引用孟子大丈夫名句，借以说明人格操守不因境遇与压力而转移。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX007	003.9月21日神州文化之旅第三天.txt	77	77	今夜扁舟来诀汝	yes		李敖谈王安石悼亡诗时引用此句，说明离别诀绝的感情力度。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX008	003.9月21日神州文化之旅第三天.txt	77	77	此生从此各西东	yes		李敖接引王安石悼亡诗末句，以“各西东”点出人生离散。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX009	003.9月21日神州文化之旅第三天.txt	79	79	天上明月光，疑是地上霜。举头望明月，低头思故乡	yes		李敖引用《静夜思》谈游子思乡；原文作“床前明月光”，此处保留书中口述/转写异文。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX010	003.9月21日神州文化之旅第三天.txt	201	201	法海真源，尽在于斯	yes		李敖在北京法源寺题词，用“法海”“真源”切合法源寺之名和佛法渊源。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
