id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJCS-001	002.蒋夫人未婚夫小史.txt	21	21	yes		爱屋及乌
LAJJCS-002	002.蒋夫人未婚夫小史.txt	21	21	yes		红颜未嫁身先丧，长使鳏夫泪满襟
LAJJCS-003	002.蒋夫人未婚夫小史.txt	21	21	yes		无福消受
LAJJCS-004	002.蒋夫人未婚夫小史.txt	25	25	yes		窃笑之资
LAJJCS-005	002.蒋夫人未婚夫小史.txt	25	25	yes		请于湘丈，得以越礼侍奉者数夕
LAJJCS-006	002.蒋夫人未婚夫小史.txt	35	35	yes		满坑满谷
LAJJCS-007	002.蒋夫人未婚夫小史.txt	35	35	yes		一肚牢骚
LAJJCS-008	002.蒋夫人未婚夫小史.txt	35	35	yes		粥少僧多
LAJJCS-009	002.蒋夫人未婚夫小史.txt	37	37	yes		国步尚多艰，公不少留，太息前途演荆棘
LAJJCS-010	002.蒋夫人未婚夫小史.txt	37	37	yes		泰山今失望，吾将安仰？恪遵遗训慎行藏
LAJJCS-011	002.蒋夫人未婚夫小史.txt	37	37	yes		有为而发
LAJJCS-012	002.蒋夫人未婚夫小史.txt	49	49	yes		横刀夺爱
LAJJCS-013	002.蒋夫人未婚夫小史.txt	49	49	yes		呼之欲出
LAJJCS-014	003.宋美龄的房事问题.txt	5	5	yes		不可胜数
LAJJCS-015	004.痛哭党军皆缟素，冲冠一怒有红颜.txt	25	25	yes		含糊其辞
LAJJCS-016	005.关于“蒋经国致生母信”.txt	25	25	yes		思之又恨之
LAJJCS-017	005.关于“蒋经国致生母信”.txt	27	27	yes		明察秋毫
LAJJCS-018	005.关于“蒋经国致生母信”.txt	27	27	yes		言不由衷
LAJJCS-019	005.关于“蒋经国致生母信”.txt	29	29	yes		言而由衷
LAJJCS-020	006.蒋经国奉共产党之命不做共产党.txt	21	21	yes		单刀直入
LAJJCS-021	006.蒋经国奉共产党之命不做共产党.txt	21	21	yes		推托之词
LAJJCS-022	006.蒋经国奉共产党之命不做共产党.txt	67	67	yes		不择手段
LAJJCS-023	006.蒋经国奉共产党之命不做共产党.txt	67	67	yes		天渊之别
LAJJCS-024	006.蒋经国奉共产党之命不做共产党.txt	81	81	yes		口口声声
LAJJCS-025	006.蒋经国奉共产党之命不做共产党.txt	83	83	yes		把心一横
LAJJCS-026	006.蒋经国奉共产党之命不做共产党.txt	83	83	yes		踌躇再三
LAJJCS-027	006.蒋经国奉共产党之命不做共产党.txt	83	83	yes		情词恳切
LAJJCS-028	007.蒋经国怎样在赣南开溜？.txt	11	11	yes		先天下之跑而跑
