id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAJJS4-001,蒋介石研究四集,《蒋介石研究四集》自序,《蒋介石研究四集》自序.txt,5,5,不为尧存，不为桀亡,荀子文句,《荀子·天论》,李敖借《荀子》天行有常之意，说明常道不因尧桀存亡而改变。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收荀子文句本体，不收同段骂蒋、政治目的与查禁语境。
LAJJS4-002,蒋介石研究四集,蒋介石比祖宗,001.蒋介石比祖宗.txt,9,9,吾家获免刀锯者，‘何’一字也，岂非天启后耶？,古代姓氏传说,《庐江何氏世系考》所引何姓源流传说,李敖转引何姓源流故事中因“何”字逃过秦令搜捕的感叹。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 校对补入：只收姓氏传说古文句，不收何应钦、蒋介石祖宗比较与人物攻防。
LAJJS4-003,蒋介石研究四集,蒋介石比祖宗,001.蒋介石比祖宗.txt,9,9,姓氏必人，岂从水耶？,古代姓氏传说,《庐江何氏世系考》所引何姓源流传说,李敖转引何姓源流故事中以人旁解释姓氏的机锋。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收姓氏传说中的古文句，不收何应钦、蒋介石祖宗比较与人物攻防。
LAJJS4-004,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,13,13,人向高处爬，水往低处流,俗语,中国俗语,李敖转引《金陵春梦》人物对白中的通行俗语，表示人想往更高处去。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收俗语本体，不收《金陵春梦》对蒋介石身世的叙事与人物对白。
LAJJS4-005,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,47,47,过河就抽板，气走姜二拐。,小说回目/章回套语,唐人《金陵春梦》,李敖转引《金陵春梦》章回收束语，写受恩后翻脸的讽刺。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 校对补入：只收章回式收束语，不收蒋介石身世传说与长篇对白。
LAJJS4-006,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,75,75,鹅吃砻糠鸭吃谷，各人自有各人福。,俗语,中国俗语,李敖转引《金陵春梦》中的民间俗语，说明各人命运各不相同。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收俗语本体，不收郑三发子身世叙事。
LAJJS4-007,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,107,107,贫穷夫妻百事哀，大难来时各自飞,诗句俗语合用,元稹诗句与民间俗语化用,李敖借诗句与俗语的合用，写贫困夫妻在大难中离散无凭。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收成句本体，不收蒋父蒋母合葬疑案与身世攻防。
LAJJS4-008,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,113,113,爷十三、娘十四,民间婚俗俗语,中国俗语,李敖转引旧时早婚风气的民间俗语。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收婚俗俗语本体，不收蒋母出嫁年龄与身世考证。
LAJJS4-009,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,137,137,强龙不斗地头蛇,俗语,中国俗语,李敖转引俗语，说明外来强者也难与本地势力相抗。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收俗语本体，不收《金陵春梦》人物对白和身世传说。
LAJJS4-010,蒋介石研究四集,蒋介石是“郑三发子”吗？,002.蒋介石是“郑三发子”吗？.txt,169,169,在家千日好，出外一时难,俗语,中国俗语,李敖引用古老俗语，说明远行在外处处艰难。,首轮保守收入：《蒋介石研究四集》以蒋介石身世、黄埔、共产党、杨虎城、外蒙、康泽、陈布雷、党国文件与政治攻防为主体；现代党派、政权、领袖、军政、战争、革命、国家民族、官方文件、特务、暗杀、法统、外蒙与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文本、民间俗语、成语、古代典故和诗文句。 只收俗语本体，不收抗战时期交通、投亲与蒋介石身世传说。
