id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LABYKTW-001	yes		1	哀矜弗喜	003.围剿陶百川的一个教训.txt	47	47
LABYKTW-002	yes		1	孔子作《春秋》而乱臣贼子惧	003.围剿陶百川的一个教训.txt	47	47
LABYKTW-003	yes		1	情信辞巧	003.围剿陶百川的一个教训.txt	47	47
LABYKTW-004	yes		1	不为危言核论	003.围剿陶百川的一个教训.txt	49	49
LABYKTW-005	yes		1	不容毛群，斥逐羽族	003.围剿陶百川的一个教训.txt	63	63
LABYKTW-006	yes		1	不容兽群，斥逐哺乳类之族	003.围剿陶百川的一个教训.txt	63	63
LABYKTW-007	yes		1	内疚神明，外惭清议	003.围剿陶百川的一个教训.txt	75	75
LABYKTW-008	yes		1	帮闲的贼子	004.青年党内与老年党外.txt	5	5
LABYKTW-009	yes		1	哑巴吃黄连——有苦说不出	011.别帮国民党讨姨太太！.txt	97	97
LABYKTW-010	yes		1	哑巴吃元宵——心里有数	011.别帮国民党讨姨太太！.txt	97	97
LABYKTW-011	yes		1	言犹在耳，忠岂忘心？	011.别帮国民党讨姨太太！.txt	99	99
LABYKTW-012	yes		1	为何最老最先来	012.不嫌辞费话费辞.txt	15	15
LABYKTW-013	yes		1	朝三暮四或暮三朝四，实质未变	013.猴子必读.txt	61	61
LABYKTW-014	yes		1	楚有养狙以为生者，楚人谓之狙公。旦日，必部分众狙于庭，使老狙率以之山中，求草木之实，赋什一以自奉。或不给，则加鞭箠焉。群狙皆畏苦之，弗敢违也。一日，有小狙谓众狙曰：“山之果，公所树与？”曰：“否也，天生也。”曰：“非公不得而取与？”曰：“否也，皆得而取也。”曰：“然则吾何假于彼而为之役乎？”言未既，众狙皆寤。其夕，相与伺狙公之寝，破栅毁柙，取其积，相携而入于林中，不复归。狙公卒馁而死。	013.猴子必读.txt	79	79
LABYKTW-015	yes		1	世有以术使民而无道揆者，其如狙公乎！唯其昏而未觉也。一旦有开之，其术穷矣！	013.猴子必读.txt	81	81
LABYKTW-016	yes		1	留与苍生作证盟	013.猴子必读.txt	85	85
LABYKTW-017	yes		1	若非吾故人乎？	017.雁行折翼.txt	5	5
LABYKTW-018	yes		1	吾闻汉购我头：千金，邑万户。吾为若德。	017.雁行折翼.txt	5	5
LABYKTW-019	yes		1	忠告而善道之	017.雁行折翼.txt	5	5
LABYKTW-020	yes		1	尔为尔，我为我，虽袒裼裸裎于我侧，尔焉能浼我哉！	017.雁行折翼.txt	47	47
LABYKTW-021	yes		1	耳食之言	017.雁行折翼.txt	47	47
LABYKTW-022	yes		1	谣言止于智者	017.雁行折翼.txt	47	47
LABYKTW-023	yes		1	用师则王，用友则霸，用徒则亡。	017.雁行折翼.txt	73	73
LABYKTW-024	yes		1	唯上智与下愚最难移	017.雁行折翼.txt	87	87
LABYKTW-025	yes		1	心所谓危，不敢不告	017.雁行折翼.txt	93	93
LABYKTW-026	yes		1	没有仆人能侍奉两个主人：不是恨这个，就得爱那个；不是重这个，就得轻那个，你不能同时侍奉上帝，又侍奉财神	017.雁行折翼.txt	99	99
LABYKTW-027	yes		1	同时侍奉上帝和财神的，很快就会发现上帝没了。	017.雁行折翼.txt	99	99
LABYKTW-028	yes		1	泯然众人矣	017.雁行折翼.txt	101	101
LABYKTW-029	yes		1	我的爸爸是一个中美洲白人黑人的混血（creole），他的爸爸是一个黑人，他的爸爸的爸爸是一只猴子；我的家族的起点，好像正是你们家族的终点。	018.放下石头，继续跑吧！.txt	5	5
LABYKTW-030	yes		1	十年以后，斯多克芒的见解，社会上一般人大概也跟上了。但这十年中，斯多克芒自己也不断在进步。所以十年以后，他的见解仍旧比一般人超出十年。就我个人来说，我感到我不断在进步。以前我每个剧本里的主张，如今都渐渐变成一般人的主张。但等他们跟到那一境界的时候，我早就不在那儿了，我又更进一步了。我希望我总是朝前走了。	018.放下石头，继续跑吧！.txt	15	15
