file	line	text	reason	context
002.准伤痕文学.txt	7	伤痕文学	modern-political-news-context	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他...
002.准伤痕文学.txt	7	准伤痕文学	modern-political-news-context	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他...
002.准伤痕文学.txt	7	独与天地精神往来	modern-political-news-context	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他...
002.准伤痕文学.txt	7	回到自古以来的悲哀	modern-political-news-context	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他...
002.准伤痕文学.txt	7	聊以表示对时势的反抗和讽刺	modern-political-news-context	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他...
003.我写《上山上山爱》.txt	3	附记	modern-political-news-context	1935我生那年，鲁迅在《且介亭杂文》的“附记”里，提到国民党政府管制言论，当时主持检查的人删文章，并不告诉读者哪儿被删，弄得文章上气不接下气，读者看了，大惑不解，“你在说什么呀？”
003.我写《上山上山爱》.txt	3	你在说什么呀？	modern-political-news-context	1935我生那年，鲁迅在《且介亭杂文》的“附记”里，提到国民党政府管制言论，当时主持检查的人删文章，并不告诉读者哪儿被删，弄得文章上气不接下气，读者看了，大惑不解，“你在说什么呀？”
003.我写《上山上山爱》.txt	7	超鲁迅	modern-political-news-context	1949年国民党的中华民国亡国了，它逃掉了，逃到台湾，重组了伪政府，按说既然宣布不事先检查了，理应比对付鲁迅那一时代多点言论自由才是，其实不然。事实上，伪政府暗中施出两种方法来“超鲁迅”。第一种方法是“不检即查法”，例如对李敖的书，根本是本本查禁。换句话说，根本检查都不必了，就查禁了事。所以，从形式上看，检查倒真仿佛取消了呢！只是代替的，不是更多的自由，而是更多的查禁而已。
003.我写《上山上山爱》.txt	7	不检即查法	modern-political-news-context	1949年国民党的中华民国亡国了，它逃掉了，逃到台湾，重组了伪政府，按说既然宣布不事先检查了，理应比对付鲁迅那一时代多点言论自由才是，其实不然。事实上，伪政府暗中施出两种方法来“超鲁迅”。第一种方法是“不检即查法”，例如对李敖的书，根本是本本查禁。换句话说，根本检查都不必了，就查禁了事。所以，从形式上看，检查倒真仿佛取消了呢！只是代替的，不是更多的自由，而是更多的查禁而已。
003.我写《上山上山爱》.txt	9	一查永逸法	modern-political-news-context	第二种方法是“一查永逸法”，例如对李敖在杂志上连载的文章，在连载期间即予查禁，前面既被查禁，后续的想印出书也自然不得超生。所以，只禁一期就可一劳永逸，无须期期查禁了。
