score	file	line	text	context
3	001.独裁中的民主.txt	65	群雄并立	这些独裁的局面，在1945年第二次世界大战以后，只剩下苏联的斯大林，西班牙的佛朗哥（Franco）（1939年取得政权）等极少数的政权而已，比起当年那些“群雄并立”“独裁为尚”的风气，显然是衰落了。
3	001.独裁中的民主.txt	65	独裁为尚	这些独裁的局面，在1945年第二次世界大战以后，只剩下苏联的斯大林，西班牙的佛朗哥（Franco）（1939年取得政权）等极少数的政权而已，比起当年那些“群雄并立”“独裁为尚”的风气，显然是衰落了。
3	002.文警论及附件.txt	9	文人	今日的中国，严格的说，没有所谓纯粹的“文人”，纯粹的文人早就饿死了，不饿死的也早就改行摆香烟摊了。今日中国舞文弄墨的一群，除李敖之流清高的一类外，大抵可分两类：
6	002.文警论及附件.txt	15	穿着制服的文艺工作者	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
4	002.文警论及附件.txt	15	文学侍从之臣	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
4	002.文警论及附件.txt	15	御用文人	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
3	002.文警论及附件.txt	15	文字自淫	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
3	002.文警论及附件.txt	15	文字轮回	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
3	002.文警论及附件.txt	15	文字警察	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
3	002.文警论及附件.txt	15	战斗文艺	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义...
