action	id	quote_text	reason
before			校对前条目数：29
added		好读书，不求甚解	003.2000年2月3日.txt:17：校对复核补入；原文明确引为《五柳先生传》文句，属于读书格言。
added		会做生意的两个人是打不起来的	007.2000年2月15日.txt:15：校对复核补入；富兰克林语，句子本体是可独立成立的经济格言。
added		卧薪尝胆	014.2000年2月24日.txt:29：校对复核补入；原文专门讨论成语流变，按传统成语收录。
added		幸福的家庭都是一样的，不幸的家庭各有各的不幸	015.2000年2月25日.txt:23：校对复核补入；原文明确标出托尔斯泰小说来源，属于文学名句。
added		五十年来和五百年内，中国人写白话文的前三名是李敖，李敖，李敖。	026.2000年3月13日.txt:39：校对复核补入；原文明确称为广告词，按非政治写作文句处理。
added		鹦鹉救火	033.2000年3月22日.txt:9：校对复核补入；传统典故成语，未收所在段落的现代政治口号。
added		飞蛾扑火	033.2000年3月22日.txt:9：校对复核补入；传统成语，未收所在段落的现代政治口号。
added		因为你忘记了你也是一害	039.2000年3月30日.txt:13：校对复核补入；李敖由典故和狱中见闻生发的自省警语，非政治语录。
after			校对后条目数：37
