score	file	line	text	context
3	《李敖随写录前集》目录.txt	73	选个国代比叛乱还难	070.“选个国代比叛乱还难”
5	《李敖随写录前集》目录.txt	74	宁入地狱，不坐冤狱	071.“宁入地狱，不坐冤狱”
3	《李敖随写录前集》目录.txt	110	台湾人畏威而不怀德	107.“台湾人畏威而不怀德”
5	《李敖随写录前集》自序.txt	5	东打一拳、西踢一脚	《李敖求是评论杂志》是我56岁时创办的，由于我余生生命贯注的主力是《北京法源寺》以外的几部重要小说，以及非小说的《中国思想史》等书，花在“东打一拳、西踢一脚”式的杂志上面，时间已有限制。因此我用两百页以下的月刊形式，予以掌握和掌舵。
3	006.马英九咬指甲.txt	7	八指头陀	我从没见过马英九。但我从纸上作业，观察入微。前几天我向基竣说：你整天研究苏联，你知道叶利钦乃“八指头陀”吗？他说他从不知道叶利钦只有八个指头，你怎么知道，我说我知道的可多了。（1991年9月2日）
6	014.五佛斩魔也上街头.txt	3	公民投票进入联合国	由民进党等团体及蔡同荣等主办的“公民投票进入联合国”游行，昨日下午除了政治诉求外，队伍中还有“车鼓阵”、“牛犁阵”、“佛祖降白魔”等。据《中国时报》报导：“万佛会龙泉山寺的密宗教友身着黄色僧袍，头戴斗笠成为队伍里的醒目标志。还有戴着狰狞面具的黑魔、白魔沿途叫嚣及五名戴着佛祖面具的教友随行演出，象征着‘除魔斩妖’。”“在游行队伍中，龙泉山寺的教友以其特殊装扮吸...
6	014.五佛斩魔也上街头.txt	3	万佛会龙泉山寺的密宗教友身着黄色僧袍，头戴斗笠成为队伍里的醒目标志。还有戴着狰狞面具的黑魔、白魔沿途叫嚣及五名戴着佛祖面具的教友随行演出，象征着‘除魔斩妖’。	由民进党等团体及蔡同荣等主办的“公民投票进入联合国”游行，昨日下午除了政治诉求外，队伍中还有“车鼓阵”、“牛犁阵”、“佛祖降白魔”等。据《中国时报》报导：“万佛会龙泉山寺的密宗教友身着黄色僧袍，头戴斗笠成为队伍里的醒目标志。还有戴着狰狞面具的黑魔、白魔沿途叫嚣及五名戴着佛祖面具的教友随行演出，象征着‘除魔斩妖’。”“在游行队伍中，龙泉山寺的教友以其特殊装扮吸...
6	014.五佛斩魔也上街头.txt	3	在游行队伍中，龙泉山寺的教友以其特殊装扮吸引众人注目，并散发‘为台湾尊严而战，佛教徒不缺席’的传单；此外并演出‘宗教实验剧’，由戴着黑魔、白魔面具的教友，在锣鼓声中叫嚣，象征‘黑色恐怖’与‘白色恐怖’。而五名戴着‘佛祖’面具的教友一排随行，代表‘五智’，帮助世人辨清是非，排除妖魔。	由民进党等团体及蔡同荣等主办的“公民投票进入联合国”游行，昨日下午除了政治诉求外，队伍中还有“车鼓阵”、“牛犁阵”、“佛祖降白魔”等。据《中国时报》报导：“万佛会龙泉山寺的密宗教友身着黄色僧袍，头戴斗笠成为队伍里的醒目标志。还有戴着狰狞面具的黑魔、白魔沿途叫嚣及五名戴着佛祖面具的教友随行演出，象征着‘除魔斩妖’。”“在游行队伍中，龙泉山寺的教友以其特殊装扮吸...
4	014.五佛斩魔也上街头.txt	3	佛祖降白魔	由民进党等团体及蔡同荣等主办的“公民投票进入联合国”游行，昨日下午除了政治诉求外，队伍中还有“车鼓阵”、“牛犁阵”、“佛祖降白魔”等。据《中国时报》报导：“万佛会龙泉山寺的密宗教友身着黄色僧袍，头戴斗笠成为队伍里的醒目标志。还有戴着狰狞面具的黑魔、白魔沿途叫嚣及五名戴着佛祖面具的教友随行演出，象征着‘除魔斩妖’。”“在游行队伍中，龙泉山寺的教友以其特殊装扮吸...
7	015.宁要大彼得.txt	3	一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’	列宁格勒七日美联社电：“在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。”“一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’”“俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名...
6	015.宁要大彼得.txt	3	在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。	列宁格勒七日美联社电：“在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。”“一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’”“俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名...
6	015.宁要大彼得.txt	3	俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名列宁格勒，恢复为圣彼得堡。更改市名的决定于十月一日生效，不过在市中心一些革命前遗留下的建筑物，早已将许许多多‘列宁格勒’的招牌取下。	列宁格勒七日美联社电：“在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。”“一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’”“俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名...
6	015.宁要大彼得.txt	3	列宁格勒市长发言人说，更改市名的工作至少得耗时十年。他说，更改市名的费用估计将在五千万至一亿五千万卢布之间（官方汇率在八千三百万至二亿四千九百万美元）。	列宁格勒七日美联社电：“在俄罗斯议会允许列宁格勒恢复革命前的旧名圣彼得堡之后，该市大部分居民都感到欣喜，然而一些死硬派共产党员，眼见苏联国父列宁的声名衰落和塑像纷纷倒地，却称更改市名之举是资产阶级的一次胜利。”“一名五十五岁的出租车司机欢呼道，‘此刻终于来到。’他说，‘列宁是狗的名字。’”“俄罗斯最高苏维埃于昨天在莫斯科做成决定，将这个已沿用了六十七年的市名...
3	016.台湾到处是书法家，真不知其丑也！.txt	3	孙法民书法义卖活动第五波	第190期《中央日报》星期天版搞“孙法民书法义卖活动第五波”，满版孙法民鬼字，竟称书法，可恶极了。徒以孙法民是财阀耳！
3	016.台湾到处是书法家，真不知其丑也！.txt	7	先后从其学习者逾三千人	报上又宣传“王愷和九十书法展”说“先后从其学习者逾三千人”，其实这王老头和孙老头一样，毫无才气，如何能成书法家！台湾到处是书法家，真不知其丑也！（1991年9月9日）
3	017.大陆法学家分析台湾“审理”大陆渔民的法律漏洞.txt	3	此间法学界部分学者在昨天举行的‘七二一’事件研讨会上，分析指出台湾方面在‘审理’此事件中的法律漏洞。	中新社北京9月4日电：“此间法学界部分学者在昨天举行的‘七二一’事件研讨会上，分析指出台湾方面在‘审理’此事件中的法律漏洞。”
