id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
"LABKJ-001","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","9","9","顺你自己的性，做你自己的人","外国艺术格言","邓肯相关格言，文中作译语引用","以顺从自我本性、成为自己来概括艺术家反传统的生命姿态。",""
"LABKJ-002","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","25","25","告朔饩羊","论语典故成语","《论语·八佾》“告朔之饩羊”典故","用只存形式而失其实质的古典成语形容貌似怀念。",""
"LABKJ-003","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","65","65","以天下与人易，为天下得人难。","孟子名句","《孟子·滕文公上》语","以让天下给人容易、为天下求得人才困难说明知人善任之难。",""
"LABKJ-004","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","147","147","有所不为，尔后可以有为","孟子成句","《孟子·离娄下》语","以先能有所不做，才能有所作为概括狂狷之士的取舍。",""
"LABKJ-005","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","231","231","附庸风雅","传统成语","传统成语","形容缺乏真学问而装作文雅。","只收成语本体，不收同段苏俄、政治与学术争论语境。"
"LABKJ-006","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","231","231","焚琴煮鹤","传统成语","传统成语","比喻糟蹋美好而高雅的事物。","只收成语本体，不收同段苏俄、政治与学术争论语境。"
"LABKJ-007","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","235","235","妇人之仁","传统成语","传统成语，常见于《史记·淮阴侯列传》等","指出于浅近怜悯而缺乏通盘判断的仁慈。",""
"LABKJ-008","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","235","235","大慈大悲","佛教成语","佛教语汇","以广大慈悲概括对生死痛苦的体恤。",""
"LABKJ-009","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","275","275","饮食男女，人之大欲存焉。","礼记名句","《礼记·礼运》语","以饮食与男女之欲说明性欲为人的自然大欲。",""
"LABKJ-010","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","315","315","盲人领瞎马","世说新语典故变体","《世说新语》“盲人骑瞎马，夜半临深池”变体","以盲者带瞎马比喻缺乏方法训练后可能陷入危险。",""
"LABKJ-011","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","355","355","什么叫国故？与我们现今的世界有什么相关？它不过是世界一种古董。","现代文化格言","吴稚晖《箴洋八股化之理学》引语","以反问说明旧学若不能与当下世界相连，只会成为古董。",""
"LABKJ-012","李敖报刊集","李敖与“编辑室报告”","001.李敖与“编辑室报告”.txt","393","393","不辞其志，不辱其身","论语成句变体","疑《论语·微子》“不降其志，不辱其身”变体，原文作“不辞”","以不放弃志向、不辱没自身概括严肃持守。","校对补入：按原文“不辞”保留，作为《论语》成句变体处理。"
"LABKJ-013","李敖报刊集","《文星杂志选集》导言","002.《文星杂志选集》导言.txt","15","15","秋坟鬼唱","唐诗典故","李贺诗意典故，常见“秋坟鬼唱鲍家诗”","以秋坟鬼唱写被掩埋后的幽冷不平。",""
"LABKJ-014","李敖报刊集","《文星杂志选集》导言","002.《文星杂志选集》导言.txt","21","21","慎终追远","论语成语","《论语·学而》“慎终追远”","以谨慎追念过往来形容保存旧刊选集的苦心。",""
"LABKJ-015","李敖报刊集","“只要寻一个不受人惑的人”","004.“只要寻一个不受人惑的人”.txt","13","13","菩提达摩东来，只要寻一个不受人惑的人。","禅宗语录","禅宗和尚语，李敖转述","以达摩东来寻找不受迷惑者，说明独立思想的旨趣。",""
"LABKJ-016","李敖报刊集","被封杀的《千秋评论》","005.被封杀的《千秋评论》.txt","3","9","自古功名亦苦辛，行藏终欲付何人？

当时黯黯犹承误，末俗纷纷更乱真。

糟粕所传非粹美，丹青难写是精神。

区区岂尽高贤意，独守千秋纸上尘。","王安石诗","王安石《读史》","以史传难尽人物精神、后世纷乱真伪写读史感慨。",""
"LABKJ-017","李敖报刊集","被封杀的《千秋评论》","005.被封杀的《千秋评论》.txt","49","49","自古以来，凡在哲学上和神学上之争论，十分之九都是名词之争。","外国思想格言","艾博特自传所记其父语","以多数哲学和神学争论归结为名词之争。",""
"LABKJ-018","李敖报刊集","被封杀的《千秋评论》","005.被封杀的《千秋评论》.txt","49","49","剩下的那十分之一，其实也还是名词之争。","外国思想格言","艾博特承接其父语的评论","进一步把余下争论也归为名词之争，带出对概念争执的讽刺。",""
